628.statecounty,IA_O'rien,IA_O'Brien
2818.statecounty,TX_Schelicher,TX_Schleicher
1544.fipstwo,f280g35,f28035
39.statecounty,AL_Chambers,AL_Cherokee
1706.countytwo,Halifaxj ,Halifax 
1742.fipstwo,fm37155,f37155
1929.fipstwo,f34107,f34017
159.fips,2130.0,5127
2283.statevalue,vPA,PA
2090.statevalue,HO,OH
2221.fipstwo,41005,f41005
49.statecounty,AK_Hoonah-Angoon Census Area,AL_Covington
211.statecounty,AK_Anchorage Municipality,CA_Madera
295.statefips,41,8
63.county,Denali Borough,Henry 
2481.county,cHarding ,Harding 
1585.county,Preniss ,Prentiss 
1251.countytwo,Csas ,Cass 
374.statecounty,FL_Oscela,FL_Osceola
61.fips,2016.0,1063
2165.statevalue,KO,OK
147.statevalue,RA,AR
143.statecounty,AK_Aleutians West Census Area,AR_Mississippi
157.fipstwo,f02150,f05121
2878.fipstwo,fc49023,f49023
2211.countytwo,Texahs ,Texas 
194.statevalue,wCA,CA
1259.fipstwo,f2603,f26043
84.fipstwo,f02016,f01109
199.fipstwo,f02020,f06015
1802.statecounty,N_DRenville,ND_Renville
191.statevalue,eAZ,AZ
44.fips,2110.0,1029
158.statecounty,AL_Winston,AR_Saline
2620.county,Biley ,Bailey 
2205.countytwo,Pkushmataha ,Pushmataha 
226.statefips,11,6
2307.county,Potte r,Potter 
275.statefips,101,8
367.countytwo,Martn ,Martin 
815.countytwo,Crawxford ,Crawford 
32.fipstwo,f02105,f01005
1147.fipstwo,f2209,f22059
532.statecounty,A_Treutlen,GA_Treutlen
166.statefips,70,5
2636.countytwo,Brwn ,Brown 
1140.county,Fraklin Parish,Franklin Parish
67.statefips,2.0,1
3200.countytwo,Rithcie ,Ritchie 
194.county,Denali Borough,Amador 
92.statefips,2.0,1
29.statecounty,AR_Lawrence,AK_Yukon-Koyukuk Census Area
2135.statecounty,O_HVinton,OH_Vinton
1738.statecounty,NC_Pitt***,NC_Pitt
151.statevalue,AcR,AR
129.statecounty,AL_St. Clair,AR_Izard
905.countytwo,Cherokeeu ,Cherokee 
2008.county,Franklwin ,Franklin 
135.statecounty,AK_Aleutians West Census Area,AR_Lee
19.fipstwo,f02170,f02188
2016.statevalue,NuY,NY
144.statevalue,ArR,AR
180.countytwo,ila ,Gila 
111.fips,2013.0,5029
2156.statevalue,K,OK
132.statevalue,RA,AR
155.statevalue,R,AR
769.county,Moran ,Morgan 
526.fipstwo,f1371,f13271
1571.statecounty,MSMadison,MS_Madison
688.fipstwo,f1063,f16063
1386.countytwo,Rce ,Rice 
2300.countytwo,Montgobmery ,Montgomery 
128.statecounty,AL_Colbert,AR_Independence
2590.countytwo,Robrtson ,Robertson 
1845.county,Douglasd ,Douglas 
2181.statevalue,KO,OK
2080.county,Glallia ,Gallia 
239.statecounty,AK_Aleutians East Borough,CA_Solano
46.statefips,2.0,1
855.statevalue,sIN,IN
1739.statecounty,NC_oPlk,NC_Polk
2160.statevalue,K,OK
157.fips,5033.0,5121
1615.county,eCascade ,Cascade 
1809.county,Star ,Stark 
