468.drawdate,1/01/2016,11/01/2016
249.winningnumbers,0410 20 33 57,04 10 20 33 57
1893.winningnumbers,02 0406 37 47,02 04 06 37 47
197.winningnumbers,7 19 27 40 68,17 19 27 40 68
572.winningnumbers,16 29 446 9 74,16 29 44 69 74
871.drawdate,12/18/012,12/18/2012
2065.drawdate,0a3/08/2022,03/08/2022
258.winningnumbers,28 34 37 56 6l9,28 34 37 56 69
709.drawdate,07/f11/2014,07/11/2014
1447.drawdate,06/05p/2007,06/05/2007
1282.drawdate,01/06/20i09,01/06/2009
276.winningnumbers,02 07c 25 35 44,02 07 25 35 44
441.drawdate,20/03/2017,02/03/2017
586.drawdate,9/15/2015,09/15/2015
406.drawdate,6/06/2017,06/06/2017
1794.winningnumbers,01 0q6 16 30 49,01 06 16 30 49
317.drawdate,041/3/2018,04/13/2018
509.winningnumbers,4 61 66 67 68,34 61 66 67 68
1584.drawdate,02/10/2006***,02/10/2006
1393.drawdate,12/1/12007,12/11/2007
1245.drawdate,5/15/2009,05/15/2009
1326.drawdate,08/05/008,08/05/2008
1248.winningnumbers,05 23 38 93 54,05 23 38 39 54
1129.winningnumbers,0 04 15 27 37,03 04 15 27 37
1871.drawdate,05/13/203,05/13/2003
285.winningnumbers,09 28 305 4 60,09 28 30 54 60
1437.winningnumbers,19 24 30 345 6,19 24 30 34 56
917.winningnumbers,03 11 19 3 36,03 11 19 23 36
295.drawdate,06/292/018,06/29/2018
1019.drawdate,07/192011,07/19/2011
756.drawdate,10/28/2014,01/28/2014
611.drawdate,6/19/2015,06/19/2015
127.winningnumbers,09 14 2736 52,09 14 27 36 52
5.winningnumbers,5 11 25 27 64,05 11 25 27 64
1115.winningnumbers,11 1 40 43 44,11 19 40 43 44
1244.winningnumbers,02 40 09 15 42,02 04 09 15 42
1359.winningnumbers,k14 18 27 31 42,14 18 27 31 42
369.drawdate,10/13/2107,10/13/2017
845.drawdate,03/19/2103,03/19/2013
479.drawdate,09/23/201b6,09/23/2016
379.drawdate,09/08/207,09/08/2017
1736.drawdate,08/27/204,08/27/2004
1878.winningnumbers,05 15 42 50 52,05 15 24 50 52
314.drawdate,04/24/208,04/24/2018
1424.winningnumbers,04 21 46 15 53,04 21 46 51 53
1214.drawdate,09/1/2009,09/01/2009
1642.winningnumbers,07 1 27 35 54,07 18 27 35 54
39.winningnumbers,14 17 2829 44,14 17 28 29 44
1616.drawdate,10/2/2005,10/21/2005
398.drawdate,07/042017,07/04/2017
1780.winningnumbers,8 10 17 37 49,08 10 17 37 49
222.drawdate,03/12/019,03/12/2019
1041.winningnumbers,01 16 29 3 50,01 16 29 36 50
840.winningnumbers,08 1 23 36 41,08 15 23 36 41
1524.drawdate,09/80/2006,09/08/2006
1729.winningnumbers,01 03 151 9 29,01 03 15 19 29
1352.drawdate,k05/06/2008,05/06/2008
768.winningnumbers,08 14 c17 20 39,08 14 17 20 39
1118.winningnumbers,07 13 3 033 54,07 13 30 33 54
1132.winningnumbers,11 3 637 41 55,11 36 37 41 55
1707.winningnumbers,01 19 2 32 49,01 19 22 32 49
821.winningnumbers,15 40 4 550 53,15 40 45 50 53
1824.winningnumbers,08 09s 16 30 31,08 09 16 30 31
373.drawdate,09/9/2017,09/29/2017
699.drawdate,08/51/2014,08/15/2014
897.drawdate,09/1/82012,09/18/2012
1738.drawdate,0d8/20/2004,08/20/2004
376.winningnumbers,09 28 31 5 061,09 28 31 50 61
815.winningnumbers,36 42 s51 52 53,36 42 51 52 53
1149.winningnumbers,05 08 10 3 42,05 08 10 34 42
554.winningnumbers,01 04 36 4w8 57,01 04 36 48 57
71.drawdate,08/i21/2020,08/21/2020
126.winningnumbers,0 406 32 52 64,04 06 32 52 64
842.drawdate,03/29/0213,03/29/2013
957.drawdate,02/21/2021,02/21/2012
688.winningnumbers,21 24 25 404 3,21 24 25 40 43
484.winningnumbers,25 37 58 6975,25 37 58 69 75
742.drawdate,03/1/82014,03/18/2014
336.winningnumbers,14 17 25 48 85,14 17 25 48 58
474.winningnumbers,3639 42 45 48,36 39 42 45 48
1457.drawdate,05m/01/2007,05/01/2007
1974.drawdate,05/17u/2002,05/17/2002
1004.winningnumbers,07 12 19m 23 31,07 12 19 23 31
825.drawdate,r05/28/2013,05/28/2013
1214.winningnumbers,02 09 28 5v1 53,02 09 28 51 53
128.winningnumbers,32 48 5a0 51 64,32 48 50 51 64
