330.locationvalue,"(41.9a103537220529, -87.6944040130463)","(41.9103537220529, -87.6944040130463)"
367.propertytype,Multiamily,Multifamily
442.longitude,-21.724710079999994,-87.72471008
368.propertytype,Multifmaily,Multifamily
549.managementcompany,Lawndale Christan Residential Svcs.,Lawndale Christian Residential Svcs.
61.address,2501 W. Armitage Ave.,1330 E. 53rd St.
45.address,4611 N. Broadway,718-20 N. Troy St.
50.ycoordinate,1864093.117,1853564.459
307.address,10513 S.Michigan Ave.,10513 S. Michigan Ave.
247.managementcompany,Holsten Maagement Corp.,Holsten Management Corp.
369.locationvalue,"(41.819232279869, -87.7053401173226)","(41.891232279869, -87.7053401173226)"
349.address,633W . North Ave.,633 W. North Ave.
257.locationvalue,"(1.779280990198, -87.689679486435)","(41.779280990198, -87.689679486435)"
142.managementcompany,he Brixen,The Brixen
345.locationvalue,"(41.9637520l3399769, -87.65202467695009)","(41.96375203399769, -87.65202467695009)"
5.address,4618 N. Western Ave.,5441 S. Michigan Ave.
30.ycoordinate,1894894.51,1905551.686
327.locationvalue,"(41.8646833344944, -87.69350a47652592)","(41.8646833344944, -87.6935047652592)"
494.propertytype,RO,ARO
511.address,1313 W. 19th S.t,1313 W. 19th St.
241.address,6142 N. aClifornia Ave.,6142 N. California Ave.
223.communityareaname,fUptown,Uptown
146.propertyname,Clarkview Aptsr.,Clarkview Apts.
124.locationvalue,"(41.9613586524698, -87.6985441743689)","(41.9613586524698, -87.6985441743698)"
234.propertyname,MeiCA,MiCA
177.address,12p60 S. Fairfield Ave.,1260 S. Fairfield Ave.
442.xcoordinate,1150136.063,1150056.063
60.ycoordinate,1930676.176,1901816.665
24.ycoordinate,1868414.146,1850714.778
73.longitude,-87.69582442,-87.60503342
74.longitude,-87.61651411,-87.74216784
72.xcoordinate,1176346.441,1186094.259
300.longitude,-27.71605298,-87.71605298
43.latitude,41.82035789,41.91097205
28.latitude,41.88041381,41.98593151
347.xcoordinate,1187360.42,1187273.42
38.communityareaname,Wodolawn,Woodlawn
49.latitude,41.81297966,41.69899564
72.propertyname,Butler pAts.,Butler Apts.
66.xcoordinate,1159807.028,1158535.345
206.managementcompany,Stellar Performnce Inc.,Stellar Performance Inc.
63.phonenumber,773-p572-2755,773-572-2755
97.propertyname,Keeler Rosoevelt Apts.,Keeler Roosevelt Apts.
269.phonenumber,3129-67-6075,312-967-6075
125.managementcompany,The Resurretion Project,The Resurrection Project
347.longitude,-34.58910953,-87.58910953
24.latitude,41.75064862,41.74586011
545.address,21k5 E. 61st St.,215 E. 61st St.
386.communityareaname,Wset Town,West Town
26.longitude,-87.72009772,-87.60993412
50.latitude,41.81297966,41.75332086
72.longitude,-87.62470713,-87.59326131
55.latitude,41.82035789,41.84272915
199.propertytype,Multbifamily,Multifamily
41.latitude,41.86736961,41.70700943
256.xcoordinate,1168714.297,1168646.297
442.communityareaname,oNrth Lawndale,North Lawndale
491.managementcompany,"Urban Prpoerty Advisors, LLC","Urban Property Advisors, LLC"
279.address,6129 S. Cottge Grove Ave.,6129 S. Cottage Grove Ave.
465.longitude,-65.72836921,-87.72836921
49.ycoordinate,1868790.595,1833690.986
36.address,4618 N. Western Ave.,3138-40  S. Indiana Ave.
558.propertyname,Magnola Court Apts.,Magnolia Court Apts.
239.phonenumber,312-248-855,312-248-8355
71.phonenumber,773-i227-6332,773-227-6332
25.longitude,-87.63436122,-87.65478924
153.phonenumber,773-3817-400,773-381-7400
29.latitude,41.9099065,41.96186585
56.latitude,41.8902013,41.93666739
71.ycoordinate,1877940.683,1903659.52
37.latitude,41.88041381,41.90799111
465.xcoordinate,1148726.501,1148723.501
7.latitude,41.82035789,41.7943937
438.locationvalue,"(419.073154253631, -87.6882254516982)","(41.9073154253631, -87.6882254516982)"
19.address,3507 W. North Ave.,1600 N. Talman Ave.
21.managementcompany,Kass Mangement,Kass Management
62.latitude,41.91034383,41.86489079
561.address,727 Ej. 50th Pl,727 E. 50th Pl
15.managementcompany,St. Edmun's Redevelopment Corp.,St. Edmund's Redevelopment Corp.
356.communityareaname,Logna Square,Logan Square
22.latitude,41.9099065,41.89690353
36.latitude,41.82035789,41.83717695
57.address,8132-44 S. Racine Ave.,2124 W. 19th St.
233.communityareaname,Norh Lawndale,North Lawndale
21.longitude,-87.71469504,-87.68895433
480.locationvalue,"(41.8905224213702, -87.t7050254597132)","(41.8905224213702, -87.7050254597132)"
540.propertyname,Ypale Building,Yale Building
22.address,3507 W. North Ave.,808 N. Wells St.
460.propertyname,Naomi & Sylvester mith Senior Living Ctr.,Naomi & Sylvester Smith Senior Living Ctr.
462.managementcompany,Lakshmi Capital Managmeent,Lakshmi Capital Management
513.communityareaname,Edggewater,Edgewater
440.propertytype,AOR,ARO
471.locationvalue,"(41.7909u803898446, -87.6222241137332)","(41.7909803898446, -87.6222241137332)"
21.propertytype,RO,ARO
65.address,2501 W. Armitage Ave.,4427-33 S. Indiana Ave.
59.managementcompany,"Urban Property Avdisors, LLC","Urban Property Advisors, LLC"
181.propertytype,RO,ARO
46.latitude,41.82035789,41.70556659
33.address,3507 W. North Ave.,1050 W. 79th St.
44.address,850 W. Garfield Blvd.,3114 W. Franklin Blvd.
226.locationvalue,"(41.805563433030635, -87.61121843419868)","(41.805563433030365, -87.61121843419868)"
447.propertyname,The Feild's Lofts,The Field's Lofts
368.propertyname,CasaKirk,Casa Kirk
61.latitude,41.8902013,41.79959787
560.managementcompany,Bickerike Apartments,Bickerdike Apartments
484.address,804 E. 77th Place,2804 E. 77th Place
211.propertyname,Rockwell Gardesn Phase IA & IIA,Rockwell Gardens Phase IA & IIA
59.latitude,41.85301339,41.82720892
18.address,8132-44 S. Racine Ave.,3100-36 W. Huron St.
48.ycoordinate,1894894.51,1862817.69
471.address,5701 S. Michigpan Ave.,5701 S. Michigan Ave.
359.propertytype,Seunior,Senior
104.propertytype,RO,ARO
439.communityareaname,Westq Englewood,West Englewood
163.managementcompany,Draper and Krmaer,Draper and Kramer
334.phonenumber,773-716-8392,773-716-3892
396.locationvalue,"(42.0101397756509, -87.6736370200105)","(42.0103197756509, -87.6736370200105)"
