county,statevalue,fips(long),datevalue,lat(double precision),lon(double precision),cases(long),deaths(long),statecases(long),statedeaths(long),newcases(long),newdeaths(long),newstatecases(long),newstatedeaths(long)
Los Angeles,California,6037,08/27/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,4360789.0,65873,1930,21,14660,59
Los ngeles,California,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1407359,25284,4360789.0,65873,0,0,0,0
Los Ageles,California,6037,08/30/2021 12:00:00 AM,34.30828379,-140.56901738781903,1414854,25401,4405324.0,66301,2475,35,10613,119
Los Angeles,California,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1414897,25401,4405324.0,66301,0,0,0,0
Los Angeles,alifornia,6037,09/01/2021 12:00:00 AM,34.30828379,-118.2282411,1419030,25454,4418368.0,66470,2111,20,6798,87
Los Angels,aClifornia,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1419050,25454,4418368.0,66470,0,0,0,0
Los Angeles,California,6037,09/03/2021 12:00:00 AM,34.30828379,-118.2282411,1421616,25477,4435277.0,66540,1056,12,11581,48
Los Angeles,California,6037,09/04/2021 12:00:00 AM,34.30828379,-59.95350776863581,1423620,25514,4445862.0,66651,2004,37,10585,111
Los Angeles,California,4003,09/04/2021 12:00:00 AM,34.30828379,-118.2282411,1423620,25533,4451347.0,66791,0,19,5485,140
Los Angeles,California,6037,09/06/2021 12:00:00 AM,34.30828379,-118.2282411,1423691,25533,4451347.0,66791,0,0,0,0
Los Angeles,California,6037,09/07/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25611,4462876.0,66975,0,0,0,0
Los Angeles,California,6037,09/08/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25630,4472759.0,67100,0,0,4165,42
Los Angeles,California,6037,09/09/2021 12:00:00 AM,34.30828379,-118.2282411,1427868,25630,4472759.0,67100,0,0,0,0
Los Angeles,California,6037,09/10/2021 12:00:00 AM,34.30828379,-118.2282411,1433465,25688,4489563.0,67223,0,0,130,2
Los Angeles,California,6037,09/11/2021 12:00:00 AM,34.30828379,-118.2282411,1435163,25713,4497470.0,67298,0,0,0,0
Los Angeles,California,6037,09/08/2021 12:00:00 AM,34.30828379,-118.2282411,1437073,25767,4608351.0,67645,0,19,10768,163
Los ngeles,California,6037,09/13/2021 12:00:00 AM,34.30828379,-118.2282411,1439011,25775,4610847.0,67672,0,0,0,4
Los Angeles,California,6037,09/09/2021 12:00:00 AM,34.30828379,-118.2282411,1440721,25799,4620663.0,67781,0,0,0,0
Los Angeles,California,6037,09/08/2021 12:00:00 AM,34.30828379,-118.2282411,1442808,25828,4629254.0,67880,0,0,0,0
Los Angeles,California,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1444127,25849,4636268.0,67966,0,0,0,0
Los Angeles,Caliofrnia,6037,09/03/2021 12:00:00 AM,34.30828379,-118.2282411,1445121,25852,4644566.0,68019,0,0,0,0
Los Angeles,California,6037,08/30/2021 12:00:00 AM,34.30828379,-118.2282411,1446348,25870,4651497.0,68087,0,0,0,0
Los Angeles,Caliofrnia,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1448065,25911,4659062.0,68239,0,0,0,0
Los Angeles,California,6037,09/20/2021 12:00:00 AM,34.30828379,-118.2282411,1449923,25942,4668924.0,68392,0,0,-185,12
Los Angeles,California,5800,09/21/2021 12:00:00 AM,34.30828379,-118.2282411,1451438,25972,4676539.0,68551,0,0,0,0
Los Angeles,California,6037,09/22/2021 12:00:00 AM,34.30828379,-118.2282411,1452998,25999,4678891.0,68585,0,0,0,0
Los Angeles,California,6037,09/23/2021 12:00:00 AM,34.30828379,-118.2282411,1454172,26013,4680552.0,68599,0,0,0,0
Los Angeles,California,6037,09/04/2021 12:00:00 AM,34.30828379,-118.2282411,1455155,26035,4698504.0,68767,0,0,0,0
Ls Angeles,California,6037,09/21/2021 12:00:00 AM,34.30828379,-118.2282411,1456275,26047,4704036.0,68826,0,0,0,0
Los Angeles,California,4125,09/26/2021 12:00:00 AM,34.30828379,-118.2282411,1457672,26078,4711012.0,68980,0,0,0,0
Los Angelems,California,3358,09/27/2021 12:00:00 AM,34.30828379,-118.2282411,1459182,26106,4405324.0,69121,0,0,-587,-9
Los Angeles,Clifornia,6037,09/13/2021 12:00:00 AM,34.30828379,-118.2282411,1460645,26126,4729153.0,69225,0,0,0,0
Los Angeles,Calvifornia,6037,09/07/2021 12:00:00 AM,34.30828379,-118.2282411,1462013,26143,4731043.0,69246,0,0,0,4
Los Angeles,California,6037,09/21/2021 12:00:00 AM,34.30828379,-118.2282411,1463039,26153,4732419.0,69256,0,0,0,0
Los Angeles,Calsifornia,6037,09/01/2021 12:00:00 AM,34.30828379,-118.2282411,1463889,26179,4418368.0,69449,0,0,0,0
Los Angeles,California,6037,09/26/2021 12:00:00 AM,22.0623693765836,-118.2282411,1464793,26195,4405324.0,69492,0,0,213,-8
