field_name,dedicated_division,facility,neighborhood,battting_cage(double precision),concession_stand(double precision),back_stop(double precision),infield(double precision),goal_post(double precision),lights(double precision),leftvalue,center,rightvalue,permit,drag,pashek_map_number(double precision),field_renovated,cd,lights_renovated,control_link
Burgwin Field,Schenley,FRICK PARK,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,327,281,294,Yes,Yes,26.0,2008 (R Sprow ),Yes,Yes 2009,Yes
Burgwin Field,Schenley,BROOKLINE MEMORIAL FIELD,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,327,200,227,Yes,Yes,4.0,2008 (R Sprow ),Yes,Yes 2009,Yes
Burgwin Field,Southern,BROOKLINE MEMORIAL FIELD,Southside Slopes,67.0,1.0,1.0,1.0,2.0,1.0,327,250,250,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Burgwin Field,Southern,FRICK PARK,Southside Flates,28.0,1.0,1.0,1.0,2.0,1.0,231,174,120,Yes,Yes,7.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Burgwin Field,Northeast,FRICK PARK,Lower Lawrenceville,7.0,1.0,1.0,1.0,2.0,1.0,327,190,169,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Burgwin Field,Northeast,BROOKLINE MEMORIAL FIELD,Lower Lawrenceville,31.0,1.0,1.0,1.0,2.0,1.0,327,210,205,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Burgwin Field,Western,BROOKLINE MEMORIAL FIELD,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,327,300,300,Yes,Yes,10.0,2009 (Plavchak),No,Yes 2009,No
Devlin Field,Western,FRICK PARK,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,327,200,190,Yes,Yes,26.0,"2005 (R. Sprow $6,693.70), 2008 ( Plavchak $3,416.28)",No,Yes 2009,Yes
Burgwin Field,Southern,BROOKLINE MEMORIAL FIELD,Allentown,89.0,1.0,1.0,1.0,2.0,1.0,327,200,250,Yes,No,12.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Burgwin Field,Southern,FRICK PARK,Southside Slopes,96.0,1.0,1.0,1.0,2.0,1.0,180,190,180,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Devlin Field,Eastern,FRICK PARK,Squirrel Hill oSuth,69.0,2.0,1.0,1.0,2.0,1.0,327,336,260+,Yes,Yes,47.0,"2008 ( Plavchak $13,907.80)",oN,Yes 2009,No
Burgwin Field,Eastern,FRICK PARK,Squirrel Hill South,11.0,2.0,1.0,1.0,2.0,1.0,408,362,267,Yes,Yes,48.0,"2008 ( Plavchak $13,907.80)",kNo,Yes 2009,No
Fort Pitt Field #2,Northern,FRICK PARK,Brighton Heights,97.0,1.0,1.0,1.0,2.0,1.0,327,361,194,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Burgwin Field,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,6.0,1.0,1.0,1.0,2.0,1.0,327,363,263,Yes,Yes,19.0,"2008 ( Plavchak $13,907.80)",oN,Yes 2009,No
Burgwin Field,Northern,BROOKLINE MEMORIAL FIELD,Brighton Heights,72.0,1.0,1.0,1.0,2.0,1.0,327,238,300+,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Burgwin Field,Northern,BROOKLINE MEMORIAL FIELD,Brighton Heights,37.0,1.0,1.0,1.0,2.0,1.0,260,375,252,Yes,Yes,16.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Burgwin Field,Western,HIGHLAND PARK,Broadhead Manor,76.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Burgwin Field,oSuthern,BROOKLINE MEMORIAL FIELD,Brookline,7.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,1.0,2003 (Built in house),o,Yes 2009,No
Fort Pitt Field #2,Schenley,BROOKLINE MEMORIAL FIELD,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,327,190,177,Yes,Yes,26.0,"2004 (R.Sprow 6,953.50)",Yes,Yes 2009,No
Burgwin Field,Schenley,FRICK PARK,Hazelwood,1.0,1.0,1.0,1.0,1.0,1.0,327,310,298,Yes,Yes,26.0,"2004 (R.Sprow 11,202.13)",Yes,Yes 2009,Yes
Burgwin Field,Northern,BROOKLINE MEMORIAL FIELD,Brighton Heights,27.0,1.0,1.0,1.0,2.0,1.0,327,196,197,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Burgwin Field,Southern,FRICK PARK,Overbrook,47.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Chadwick Field,Eastern,BROOKLINE MEMORIAL FIELD,Lincoln-Lemington-Belmar,1.0,1.0,1.0,1.0,2.0,1.0,327,200,250,Yes,Yes,28.0,2007 / 2009,Yes,Yes 2009,No
Fort Pitt Field #2,Western,CHARTIERS PLAYGROUND,nWindgap,1.0,1.0,1.0,1.0,2.0,1.0,305,340,360,Yes,Yes,26.0,"2004 (R. Sprow $8,818.84)",oN,Yes 2009,Yes
Burgwin Field,Western,CHARTIERS PLAYGROUND,Windgap,3.0,27.0,1.0,1.0,2.0,1.0,360,340,305,Yes,No,26.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
Fort Pitt Field #2,Northern,DEVLIN FIELD,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,327,264,178,Yes,Yes,26.0,"2004 (R.Sprow $7,576.48)",Yes,Yes 2009,Yes
Fort Pitt Field #2,Northern,FRICK PARK,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,217,220,170,Yes,Yes,26.0,"2004 (R.Sprow $9,031.20)",Yes,Yes 2009,Yes
Fort Pitt Field #2,Schenley,FRICK PARK,South Oakland,1.0,1.0,1.0,1.0,61.0,1.0,200,200,250,Yes,Yes,46.0,"2004 (R. Sprow $6,794.00)",Yes,Yes 2009,Yes
Fineview Field,Southern,BROOKLINE MEMORIAL FIELD,Brookline***,79.0,2.0,1.0,1.0,2.0,1.0,327,197,197,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",oN,Yes 2009,No
Burgwin Field,Northeast,BROOKLINE MEMORIAL FIELD,Bloomfield,1.0,1.0,1.0,1.0,2.0,1.0,311,260,241,Yes,No,26.0,2007,Yes,Yes 2009,Yes
Devlin Field,Southern,DEVLIN FIELD,Arlington,34.0,1.0,1.0,1.0,2.0,1.0,327,285,269,Yes,Yes,26.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
