Upd,Sites,Comments
06-2005,Pedal Pulse,"pedal pumping with pictures and clips; custom videos, members area"
06-2005,Wet and Messy Shoe Page (the),"messy shoes with photos and stories; videos, chat, forum"
06-2005,Official ASFF Website (the),"forums about foot fetish, shoe fetish, pedal pumping"
05-2005,FootVixens.com,"feet, shoes and more; good pics in samples, an area for members, videos"
05-2005,FeetNHeels.com,"chastity's bare feet, high heels, nylons and sexy feet scenarios; paying site"
05-2005,Neil's Gas Pedal Honeys,pedal pumping; a pay site with a free area
05-2005,AbusedShoes.com,sexy women abuse their sexy shoes and each other; paying site
05-2005,Iffelmaxe.de,"buffalos and crushing, boots, pedal pumping; many pages; pay site"
05-2005,Lady Annabelle,"the bare feet, nyloned feet and feet in high heels of Lady Annabelle"
05-2005,BBCD Boots Page,"women in boots, used boot, street shoots; many pages"
05-2005,Pedal Extreme,"feet and pedal pumping; pay site, videos"
05-2005,Pedal Supreme,"video store and pay-per-view theatre, a members area with clips and video streams"
05-2005,PumpingPedals.com,pedal pumping video store and clips
05-2005,Women In High Heels Forum,"UK message board for high heels, boots, shoe abuse, pedal pumping"
05-2005,Estelle Nice Foot,"bare foot, feet in mules and in sandals; the nice feet of Estelle, a French woman"
05-2005,Chloe Creations,"videos of mistress Chloe, fetishisms, crushing; sessions, a pay site"
05-2005,Prettyfeet's Showcase Group,"Group: sexy size 5 feet, barefeet, in thongs, heels, sandals, PP"
05-2005,FetishWorld.cc,"boots, buffalos, crushing & trampling, feet & high heels, PP; paying site, several languages"
05-2005,Prettyfeet's Dr. Scholl's Showcase Group,"Group: sexy size 5 feet, in Dr. Scholl sandales, PP"
05-2005,Beauty in Car Group,Group: asian women and pedal pumping
05-2005,CarStuckGirls.com,about car stuck with pedal pumping content; DVD-VHS
05-2005,Crissy Cranks Cars,a pedal pumping page offering stories and real-life pedal pumping; pay place
05-2005,Israel Pedal Pumping Group,Group: clips/pics of women driving and pedal pumping
04-2005,Amateur Italian Feet,pro and amateur models from Italy; simply original shots; pay site with many categories
04-2005,Christina's High Heels & Trample World,"high heels, trampling, crushing, pedal pumping; videos, shoe sale, members area"
04-2005,Asian Pedal Pumpers,"movies, close-ups and pedal pumping pics with asian babes; members area"
03-2005,Eve's Sneakers and Socks Web Page,"many photos, clips; videos and shoes for sale"
01-2005,Spiro GPP,"pedal pumping and car crushing, free pics; clips with AlloPass and clips4sale"
01-2005,PedalPumpingGirls.com,pedal pumping videos
01-2005,PedalPumping.org - Pedal Page (the),infos about pedal pumping; photos
08-2004,Slam the Gas Pedal down please Group,Group: a place to worship female feet on the gas pedal
07-2004,German Pedal Pumping,"pedal pumping, cranking, car crushing with clips and photos"
02-2004,High Stepping Home Page,feet in shoes; pedal pumping
09-2002,Driving in High Heels,"pedal pumping, high heels; with AVI's files"
10-2001,Trojan's Pedal Pumping and Foot Fetish,a pedal pumping site with several pages
03-2000,Pézinhos Home Page,Brazilian site with pretty pics from the Net in several galleries
01-2000,PPxtra,links for pedal pumping lovers
