166.assessmentunitid,CT220v3-00-1-L2_01,CT2203-00-1-L2_01
166.ct_two_zero_two_zero_dw_use_attainment,oNt Assessed,Not Assessed
94.ct_two_zero_two_zero_fshcon_use_attainment,Insuffiient Information,Insufficient Information
153.impaired,o,No
4.impaired,oN,No
23.assessmentunitname,Wset Thompson Lake (Thompson),West Thompson Lake (Thompson)
134.units,Arces,Acres
104.ct_two_zero_two_zero_aql_use_attainment,Fully Supportign,Fully Supporting
176.impaired,hYes,Yes
41.ct_two_zero_two_zero_dw_use_attainment,Not Evaluatexd,Not Evaluated
49.ct_two_zero_two_zero_aql_use_usename,"Haitat for Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
91.ct_two_zero_two_zero_rec_use_usename,Rcreation,Recreation
37.assessmentunitid,jCT4013-00-1-L1_01,CT4013-00-1-L1_01
46.ct_two_zero_two_zero_dw_use_attainment,Not Evaluaetd,Not Evaluated
71.watertypename,"LAKE, RFESHWATER","LAKE, FRESHWATER"
88.ct_two_zero_two_zero_fshcon_use_usename,Fih Consumption,Fish Consumption
137.locationdescription,East central Middleield.,East central Middlefield.
90.ct_two_zero_two_zero_rec_use_usename,ecreation,Recreation
178.assessmentunitname,Pzlymouth Lake (Plymouth),Plymouth Lake (Plymouth)
103.ct_two_zero_two_zero_dw_use_attainment,Not Evaluaetd,Not Evaluated
65.assessmentunitid,CT3002-02-1-2L_01,CT3002-02-1-L2_01
7.ct_two_zero_two_zero_dw_use_usename,No Classified For Drinking Water,Not Classified For Drinking Water
143.ct_two_zero_two_zero_rec_use_attainment,Insufficient Informatzion,Insufficient Information
70.units,Acrs,Acres
150.assessmentunitid,CT5202-00-1L3_01,CT5202-00-1-L3_01
12.ct_two_zero_two_zero_rec_use_attainment,Not Assessde,Not Assessed
83.impaired,o,No
45.ct_two_zero_two_zero_fshcon_use_attainment,Injsufficient Information,Insufficient Information
98.ct_two_zero_two_zero_aql_use_usename,"kHabitat for Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
155.ct_two_zero_two_zero_rec_use_usename,Recreatoin,Recreation
31.assessmentunitname,Aspinook Pond (Canterbury/Grisold/Lisbon),Aspinook Pond (Canterbury/Griswold/Lisbon)
43.ct_two_zero_two_zero_rec_use_usename,Recretaion,Recreation
15.units,Aces,Acres
122.units,Arces,Acres
14.useclassname,INLAND SRUFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
49.watertypename,"LAKE, FESHWATER","LAKE, FRESHWATER"
91.watertypename,"LAKE, FRSHWATER","LAKE, FRESHWATER"
144.ct_two_zero_two_zero_dw_use_attainment,Not Evaluted,Not Evaluated
114.ct_two_zero_two_zero_dw_use_usename,Not Classifie For Drinking Water,Not Classified For Drinking Water
143.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient Isnformation,Insufficient Information
6.ct_two_zero_two_zero_aql_use_attainment,Fully Supportign,Fully Supporting
70.ct_two_zero_two_zero_rec_use_usename,Recreatoin,Recreation
110.ct_two_zero_two_zero_aql_use_usename,Habitat for Fish Other Aquatic Life and Wildlife,"Habitat for Fish, Other Aquatic Life and Wildlife"
21.watertypename,"LAKE, FERSHWATER","LAKE, FRESHWATER"
171.ct_two_zero_two_zero_dw_use_attainment,Not Evaluaed,Not Evaluated
176.ct_two_zero_two_zero_rec_use_attainment,Not Supportign,Not Supporting
180.ct_two_zero_two_zero_rec_use_usename,Recreatixon,Recreation
145.ct_two_zero_two_zero_aql_use_attainment,Fully rSupporting,Fully Supporting
137.watertypename,"LAKE, FRESHWATR","LAKE, FRESHWATER"
83.ct_two_zero_two_zero_rec_use_attainment,Not Assesesd,Not Assessed
103.locationdescription,Southwest Watcertown.,Southwest Watertown.
163.locationdescription,Colerbook,Colebrook
94.ct_two_zero_two_zero_dw_use_attainment,Not Assessd,Not Assessed
144.ct_two_zero_two_zero_fshcon_use_usename,Fish Consumpton,Fish Consumption
48.ct_two_zero_two_zero_fshcon_use_attainment,Not Supproting,Not Supporting
156.ct_two_zero_two_zero_dw_use_usename,Not Classifdied For Drinking Water,Not Classified For Drinking Water
87.ct_two_zero_two_zero_aql_use_attainment,Fully Sulpporting,Fully Supporting
51.useclassname,INLAND SURFACE WATERSv CLASS AA,INLAND SURFACE WATERS CLASS AA
69.assessmentunitname,Wayssup Lake (North Stonington),Wyassup Lake (North Stonington)
126.ct_two_zero_two_zero_aql_use_attainment,Fully uSpporting,Fully Supporting
111.ct_two_zero_two_zero_rec_use_attainment,ot Supporting,Not Supporting
161.ct_two_zero_two_zero_fshcon_use_usename,Fish Consumptino,Fish Consumption
115.impaired,es,Yes
12.locationdescription,"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lak.e","Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake."
15.assessmentunitname,Allen Brook Pond (North Haven/allingford),Allen Brook Pond (North Haven/Wallingford)
