objectid(long),paidarea,subarea,tier(long),shortrate(double precision),longrate(double precision),starttime,endtime,morningrate(double precision),morningstart,morningend,dayrate(double precision),daystart,dayend,eveningrate(double precision),eveningstart,eveningend,shape_length(double precision),shape_area(double precision)
1238,Uptown Triangle,Edge,2,1.5,1.0,8AM,6PM,0.5,8AM,11AM,2.0,11AM,6PM,4.0,5PM,8PM,6819.01837622218,1792712.43867898
1737,Denny Triangle,South,1,4.5,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8PM,4230.77030799474,899869.363266429
1738,Fremont,Edge,3,1.5,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8PM,3664.6250331524,436624.969600834
1477,Chinatown/ID,Edge,1,2.5,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8PM,7440.19561061053,2967140.82668816
2081,Belltown,North,1,2.0,1.0,8AM,8PM,0.5,8AM,11AM,2.5,11AM,5PM,2.0,5PM,8PM,11353.2533399121,5546159.1964694
1741,Belltown,South,1,3.0,1.0,8AM,8PM,0.5,8AM,11AM,4.5,11AM,5PM,1.5,5PM,8PM,10650.8597963872,4488839.0412997
1742,12th Avenue,Edge,3,3.0,1.0,8AM,8PM,0.5,8AM,11AM,2.5,11AM,5PM,4.0,5PM,8PM,5453.41830504087,533725.994712751
1743,Westlake Ave N,North,3,1.0,1.0,9AM,4PM,0.5,9AM,11AM,1.5,11AM,4PM,4.0,5PM,8PM,5644.52939576334,283314.793631337
1744,Roosevelt,Edge,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.0,11AM,5PM,1.5,5PM,8PM,7270.26495040722,497035.260009529
2316,Lake Union Park,Edge,2,1.5,1.0,8AM,6PM,1.5,8AM,11AM,1.5,11AM,6PM,4.0,5PM,8PM,805.853111193651,24537.6788762846
1746,Denny Triangle,North,1,2.5,1.0,8AM,8PM,1.5,8AM,11AM,5.0,11AM,5PM,3.0,5PM,8PM,11100.8450834234,4156100.06438978
1747,Uptown,Core,2,1.5,1.0,8AM,10PM,0.5,8AM,11AM,1.5,11AM,5PM,1.0,5PM,10PM,3258.4019248237,531264.866387305
1748,University District,Core,2,2.5,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,2.5,5PM,8PM,13571.4585172636,4229480.85051875
1562,Capitol Hill,North,2,3.0,1.0,8AM,10PM,0.5,8AM,11AM,3.0,11AM,5PM,2.5,5PM,10PM,7892.48231722461,719638.781335523
1750,15th Avenue E,Edge,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,2.0,11AM,5PM,2.0,5PM,8PM,5989.29886315861,448249.581341999
1751,Westlake Ave N,South,3,2.0,1.0,9AM,4PM,0.5,9AM,11AM,1.5,11AM,4PM,4.0,5PM,8PM,4083.47035611182,273589.035508099
1752,Columbia City,Edge,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,4.0,11AM,5PM,4.5,5PM,8PM,2779.41718342161,254853.76855121
1753,Cherry Hill,Edge,3,3.5,1.0,8AM,8PM,2.0,8AM,11AM,1.5,11AM,5PM,0.5,5PM,8PM,3602.67192929833,214365.379730036
1754,Pioneer Square,Edge,1,5.0,1.0,8AM,6PM,1.0,8AM,11AM,3.0,11AM,6PM,4.0,5PM,8PM,16505.5184903339,3176997.35270474
2566,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,1212.61130735217,43197.9460320126
1603,Pioneer Square,Core,1,5.0,1.0,8AM,6PM,0.5,8AM,11AM,4.0,11AM,6PM,4.0,5PM,8PM,5450.82744101496,1155511.07974327
1242,First Hill,Edge,2,5.0,1.0,8AM,8PM,2.5,8AM,11AM,5.0,11AM,5PM,4.5,5PM,8PM,13842.615430232,7650231.79124792
1758,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,12957.8197462517,1428287.07517766
1759,Ballard,Core,2,2.0,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,4.5,5PM,8PM,31236.982263845697,525515.647581832
1760,Ballard Locks,Edge,2,0.0,1.0,8AM,6PM,0.5,8AM,11AM,0.5,11AM,6PM,4.0,5PM,8PM,2586.3478242602,286465.585374977
1761,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,1137.83589223547,42040.424686014
1762,South Lake Union,South,2,3.5,2.0,8AM,6PM,1.5,8AM,11AM,5.0,11AM,6PM,4.0,5PM,8PM,12586.1602859677,8343248.124835
979,Pike-Pine,Edge,2,3.0,2.0,8AM,10PM,0.5,8AM,11AM,4.5,11AM,5PM,5.0,5PM,10PM,11868.2346066172,3674507.97253609
1095,South Lake Union,North,2,2.0,1.0,8AM,6PM,0.5,8AM,11AM,1.5,11AM,6PM,4.0,5PM,8PM,20851.0158994307,3919984.96659777
1765,Commercial Core,Financial,1,5.0,1.0,8AM,8PM,1.5,8AM,11AM,2.5,11AM,5PM,0.5,5PM,8PM,11849.1893342735,3466025.97224582
1766,University District,Edge,2,1.0,1.0,8AM,6PM,1.5,8AM,11AM,1.5,11AM,6PM,4.0,5PM,8PM,13753.9888888787,2128556.24283004
1767,Capitol Hill,South,2,2.5,1.0,8AM,10PM,0.5,8AM,11AM,4.0,11AM,5PM,5.0,5PM,10PM,9380.09666393865,1968653.73405382
1768,Uptown,Edge,2,1.5,1.0,8AM,10PM,0.5,8AM,11AM,4.5,11AM,5PM,3.5,5PM,10PM,17786.2981615968,9042801.31326106
1769,Commercial Core,Retail,1,4.0,1.0,8AM,8PM,2.5,8AM,11AM,4.0,11AM,5PM,2.0,5PM,8PM,9011.14347228239,4937682.20018665
1770,Ballard,Edge,2,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.5,11AM,5PM,4.0,5PM,8PM,1338.80608512933,44573.864362331
1771,Commercial Core,Waterfront,1,5.0,1.0,8AM,8PM,2.0,8AM,11AM,5.0,11AM,5PM,4.0,5PM,8PM,9488.2620633946,2149226.6488485
1772,Green Lake,Edge,3,1.0,1.0,8AM,8PM,2.5,8AM,11AM,4.5,11AM,5PM,3.5,5PM,8PM,29311.16701327249,748872.203306573
