zipcode(long),city,county
20601.0,Waldorf,Charles County
20602.0,Waldorf,Charles County
20603.0,Waldorf,Charles County
20604.0,Waldorf,Charles County
20606.0,Abell,Saint Mary's County
20607.0,Accokeek,Prince George's County
20608.0,Aquasco,Prince George's County
20609.0,Avenue,Saint Mar''ys County
20610.0,Barstow,Calvert County
20611.0,Bel Alton,Charles County
20612.0,Benedict,Charles County
20613.0,Brandywine,Prince George's County
20615.0,Broomes Island,Calvert County
20616.0,Bryans Road,Charles County
20613.0,Bryantown,Charlres County
20618.0,Bushwood,Saint Mary's County
20619.0,California,Saint Mary's County
20620.0,Callaway,Saint Mary's County
20613.0,Chaptico,Saint Mary's County
20622.0,Charlotte Hall,Saint Mary's County
20623.0,Cheltenham,Prince Geore''s County
20624.0,Clements,Saint Mary's County
20612.0,Cobb Island,Charles County
20616.0,Coltons Point,Saint Mary's County
20612.0,Compton,Saint Mary's County
20620.0,Dameron,Saint Mary's County
20618.0,Dowell,Calvert County
20630.0,Drayden,Saint Mary's County
20611.0,Faulkner,Charles County
20634.0,GreatMills,Saint Mary's County
20616.0,Helen,Saint Mary's County
20615.0,Hollywood,Saint Mary's County
20612.0,Hughesville,Charles County
20612.0,Huntingtown,Calvert County
20602.0,Indian Head,Charles County
20608.0,Ironsides,Charles County
20604.0,Issue,Charles County
20606.0,La Plata,Charles County
20720.0,Leonardntown,Saint Mary's County
20602.0,Lexington Park,Saint Mary's County
20606.0,Loveville,Saint Mary's County
20619.0,Lusby,Calvert County
20616.0,Marbury,Charles County
20659.0,Meechanicsville,Saint Mary's County
20618.0,Morganza,Saint Mary's County
20607.0,Mount Victoria,Charles County
20687.0,Nanjemoy,Charles County
20634.0,Newburg,Charles County
20667.0,Park Hall,Saint Mary's County
20604.0,Patuxent River,Saint Mary's County
20604.0,Piney Point,Saint Mary's County
20607.0,Pomfret,Charles County
20603.0,Port Republic,Calvert County
20687.0,Port Tobacco,Charles County
20607.0,Prince Frederick,Calvert County
20603.0,Ridge,Saint Mary's County
20601.0,Rock Point,Charles County
20602.0,Saint Inigoes,Saint Mary's County
20613.0,Saint Leonard,Calvert County
20604.0,Saint Marys City,Saint Mary's County
20687.0,Scotland,Saint Mary's County
20688.0,Solomons,Calvert County
20607.0,Sunderland,Calvert County
20607.0,Tall Timbers,Saint Mary's County
20610.0,Valley Lee,Saint Mary's County
20618.0,Welcome,Charles County
20609.0,White Plains,Chales County
20608.0,Southern Md Facility,Prince George's County
20634.0,Annapolis Junction,Howard County
20609.0,Lanham,Prince George's County
20606.0,Beltsville,Prince George's County
20610.0,Beltsville,Prince George's County
20620.0,Lnaham,Prince George's County
20609.0,Laurel,Prince George's County
20608.0,Laurel,Prince George's County
20619.0,Laurel,Prince George's County
20606.0,Bladensburg,Prince George's County
20602.0,Lothian,Anne Arjundel County
20604.0,Mount Rainier,Prince George's County
20606.0,North Beach,Calvert County
20601.0,Bowie,Prince George's County
20611.0,Bowie,Prince George's County
20604.0,Bowie,Prince Georhge''s County
20607.0,Bowie,Prince George''s Conty
20604.0,Bowie,Prince Geonrge''s County
20720.0,Bowile,Prince George's County
20619.0,Bowie,Prince George's County
20622.0,Brentwood,PrinceGeorge''s County
20609.0,Laurel,Howard County
20606.0,Laurel,Anne Arundel County
20610.0,Laurel,Prince George's County
20607.0,Laurel,Prince Gneorge''s County
20611.0,Capitol Heightes,Prince George's County
20613.0,Chesapeake Beach,Calvert County
20615.0,Churchton,Anne Arundel County
20618.0,Clinton,Prince George's County
20602.0,Owings,alvert County
20602.0,Riverdale,Prince George's County
20613.0,Riverdale,Prince Georges'' County
20618.0,College Park,Prince George's County
20603.0,College Park,Prince George's County
20659.0,College Park,Prince George's County
20601.0,Capitol Heights,Prince George's County
20604.0,Fort Washington,Prince George's County
20622.0,Oxon Hill,Prince George's County
20618.0,Suitland,Prince George's County
20604.0,District Heights,Prince George''s Couty
20602.0,Temple Hills,Prince George's County
20611.0,Fort Washington,Prince George's County
20610.0,Oxon Hill,Prince George's County
20687.0,Deale,Anne Arundel County
20615.0,Suitland,Prince George's County
20609.0,District Heights,Prince George's County
20604.0,Dunkirk,Calvert County
20602.0,Fort George G Meade,Anne Arundel County
20616.0,Temple Hills,Prince George's County
20608.0,Friendship,Anne Arundel County
20688.0,Fulton,Howard County
20616.0,Andrews Air Force Base,Prince George's County
20610.0,Savage,Howard County
20601.0,Shady Side,Anne Arundel County
20618.0,Galesville,Anne Arundel County
20613.0,Greenbelt,Prince George's County
20604.0,Glenn Dale,Prince George's County
20601.0,Greenbelt,Prince George's County
20659.0,Greenbelt,Prince George's County
20611.0,Upper Marlboro,Prince George's County
20608.0,Upper Marlboro,Prince Geovrge''s County
20603.0,Upper Marlboro,Prince George's County
20775.0,Upper Marlboro,Prince George's County
20602.0,Harwood,Anne Arundel County
20601.0,Highland,Howard County
20607.0,West River,Anne Arundel County
20620.0,Tracys Landing,Anne Arundel County
20619.0,Hyattsville,Prince George's County
20602.0,Hyattsville,rince George''s County
20687.0,Hyattsville,Prince George's County
20610.0,Hyattsville,Prince George's County
20610.0,Hyattsville,Prince George's County
20622.0,Hyattsville,Prince George's County
20603.0,Hyattsville,Prince George's County
20606.0,Capitol Heights,Prince George's County
20612.0,Capitol Heights,Prince George's County
20606.0,Upper Marlboro,Prince George's County
20607.0,Jessup,Howard County
20619.0,Southern Md Facility,Prince George's County
20659.0,Capitol Heights,Prince George's County
20615.0,Bethesda,Montgomery County
20620.0,Bethesda,Montgomery County
20601.0,Glen Echo,Montgomery County
20619.0,Bethesda,Montgomery Conty
20603.0,Bethesda,Montgomery County
20606.0,Chevy Chase,Montgomery County
20606.0,Bethesda,Montgomery County
20602.0,Btehesda,Montgomery County
20603.0,Cabin John,Montgomery County
20604.0,Bethesda,Montgomery County
20606.0,Chevy Chase,Montgomery County
20615.0,Bethesda,Montgomery County
20607.0,Olney,Montgomery County
20601.0,Olney,Montgomery County
20603.0,Brookeville,Montgomery County
20619.0,Poolesville,Montgomeyr County
20611.0,Barnesville,Montgomery County
20615.0,Beallsville,Montgomery County
20720.0,Boyds,Montgomery County
20612.0,Dickerson,Montgomery County
20610.0,Rockville,Montgomery County
20610.0,Rockville,Montgomery County
20601.0,Rockville,Montgomery County
20603.0,Rockville,Montgomery County
20616.0,Rockville,Montgomery County
20659.0,Rockville,Montgomery County
20602.0,Rockville,Montgomery County
20603.0,Potomac,Montgomery County
20604.0,Derwood,Montgomery County
20616.0,Rockville,Montgomery County
20623.0,Potomac,Montgomery County
20602.0,Sandy Spring,Montgomery County
20607.0,Ashton,Montgomery County
20608.0,Brinklow,Montgomery County
20611.0,Burtonsville,Montgomery County
20601.0,Spencerville,Montgomery County
20601.0,Clarksburg,Montgomery County
20634.0,Damascus,Montgomery County
20607.0,Germantown,Montgomery Coutny
20612.0,Germantown,Montgomery County
20602.0,Germantown,Montgomery County
20606.0,Gaithersburg,Montgomery County
20775.0,Gaithersburg,Montgomery County
20622.0,Gaithersburg,Montgomery County
20608.0,Washington Grove,Montgomery County
20630.0,Gaithersburg,Montgomery County
20602.0,Gaithersburg,Montgomer County
20609.0,Gaithersburg,Montgomery County
20607.0,Gaithersburg,Montgomery County
20613.0,Montgomery Villagie,Montgomery County
20619.0,Bethesda,Montgomery County
20622.0,Kensington,Montgomery County
20601.0,Bethesda,Montgomrey County
20618.0,Bethesda,Montgomery County
20607.0,Kensington,Montgoumery County
20601.0,Garrett Park,Montgomery County
20612.0,Suburb Maryland Fac,Montgomery County
20618.0,Gaithersburg,Montgomery County
20622.0,Gaithersburg,Montgomery County
20624.0,Silver Spring,Montgomery County
20602.0,Silver Spring,Montgomery County
20603.0,Silver Spring,Montgomery Counbty
20603.0,Silver Spring,Montgomery County
20603.0,Silver Spring,Montgomery County
20667.0,Silver Spring,Montgomery County
20622.0,Silver Spring,Mnotgomery County
20720.0,Silver Spring,Montgomery County
20604.0,Silver pring,Montgomery County
20620.0,Silver Spring,Montgomery County
20609.0,Takoma Park,Montgomery County
20619.0,Tkoma Park,Montgomery County
20606.0,Silver Spring,Montgomery County
20687.0,Silver Spring,Montgomery County
20688.0,Silver Spring,Montgomery County
20615.0,Silver Spring,Montgomery County
20615.0,Silver Spring,Montgomery County
20622.0,Silver Spring,Montgomery County
20612.0,Aberdeen,Harford County
20606.0,Aberdeen Proving Ground,Harford County
20601.0,Abingdon,Harford County
20602.0,Gunpowder,Harford County
20609.0,Arnold,Anne Arundel County
20609.0,Baldwin,Baltimore County
20618.0,Bel Air,Harqford County
20619.0,Bel Air,Harford County
20601.0,Belcamp,Harford County
20687.0,Benson,Harford County
20720.0,Boring,Baltimore County
20602.0,Brooklandville,Baltimore County
20622.0,Butler,Baltimore County
20616.0,Chase,BaltimoreCounty
20611.0,Churchville,Harford County
20609.0,Clarksville,Howard County
20604.0,Cockeysville,Baltimore County
20609.0,Hunt Valley,Baltimore County
20603.0,Crownsville,Anne Arundel County
20610.0,Darlington,Harford County
20606.0,Davidsonville,Anne Arundel County
20607.0,Dayton,Howard Cuonty
20608.0,Edgewater,Anne Arundel County
21040.0,Edgewood,Harford County
21041.0,Ellcott City,Howard County
21042.0,Ellicott City,Howard County
20609.0,Ellicott City,Howard County
20606.0,Columbia,oward County
21045.0,Columbia,Howard County
21046.0,Columbia,Howard County
21047.0,Fallston,Harford County
21048.0,Finkskburg,Carroll County
21050.0,Forest Hill,Harford County
21051.0,Foork,Baltimore County
21052.0,Fort Howard,Baltimore County
21053.0,reeland,Baltimore County
21054.0,Gambrills,Anne Arundel County
21056.0,Gibson Island,Anne Arundel County
21057.0,Glen Arm,Baltimore County
21060.0,Glen Burnie,Ann eArundel County
21061.0,Glen Burnie,Anne Arundel Couny
21062.0,Glen Burnie,Anne Arundel County
21065.0,HuntV alley,Baltimore County
21071.0,Glyndon,Baltimore County
21074.0,Hampstead,Carroll County
21075.0,Elkridge,Howadr County
21076.0,Hanover,Anne Arundel Countky
21077.0,Harmans,Anne Arundel County
21078.0,Havre De Grace,Harford County
21082.0,Hydes,Baltimore County
21084.0,Jarrettsvville,Harford Cowunty
21085.0,Joppa,Harford County
21087.0,Kingsville,Baltimore County
21088.0,Lineboro,Carroll County
21090.0,Linthicum Heights,Anne Arundel County
21092.0,Long Green,Baltimore County
21093.0,Lutherville Timonium,Baltimore County
21094.0,Lutherville Timonium,Baltimore County
21098.0,Hanover,Ane Arundel County
21102.0,anchester,Carrojll County
21104.0,Marriottsville,Carroll County
21105.0,Maryland Line,Baltimore xCounty
21106.0,Mayo,Anne Arundel County
21108.0,Millersville,Anne Arundel County
21111.0,Monkton,Baltimore County
21113.0,Odenton,Anne Arundel County
21114.0,Crofton,Anne Arundel County
21117.0,Owings Mills,Baltimore County
21120.0,Parkton,Baltimore County
21122.0,Pasadena,Anne Arundel County
21123.0,Pasadena,Anne Arundel County
21128.0,Perry Hall,Baltimore County
21130.0,Perryman,Harford County
21131.0,Phoenix,Baltimore County
21132.0,Pylesville,Harford County
21133.0,iRandallstown,Baltimore County
21136.0,Reisterstown,Baltimore County
21139.0,iderwood,Baltimore County
21140.0,Riva,nAne Arundel County
21144.0,Severn,Anne Arudnel County
21146.0,Severna Park,Anne Arundel County
21150.0,Simpsonville,Howard County
21152.0,Sparks Glencoe,Baltimore County
21153.0,Stevenson,Baltimore County
21154.0,Street,Harford County
21155.0,Upperco,Baltimore County
21156.0,Upper Falls,Baltimore County
21157.0,Westminster,Carroll County
21158.0,Westminster,Carroll County
21160.0,Whiteford,Harford County
21161.0,White Hall,Harford County
21162.0,White Marsh,Baltimore County
21163.0,Woodstock,Hoard County
21201.0,Baltimore,Baltimore City
21202.0,Baltimore,Baltimore City
21203.0,Baltimore,Baltimore City
21204.0,Towson,Baltimore County
21205.0,Baltimore,Baltimore City
21206.0,Baltiomre,Baltimore City
21207.0,Gwynn eOak,Baltimoer County
21208.0,Pikesville,Baltimorne County
21209.0,Baltimore,Batimore City
21210.0,Baltmore,nBaltimore City
21211.0,Baltimore,Baltimore City
21212.0,Baltimore,Baltimore City
21213.0,Baltimore,Baltimore City
21214.0,Baltimore,Baltimore City
21215.0,Baltimore,Baltimore City
21216.0,Baltimore,Baltimore Cty
21217.0,Baltimore,Baltimore City
21218.0,Baltmore,aBltimore City
21219.0,Sparrows Point,Baltimore County
21220.0,Middle River,Baltimvore County
21221.0,Essex,Baltimore County
21222.0,Dudnalk,Baltimore County
21223.0,Baltimore,Baltimore City
21224.0,Baltimore,Baaltimore City
21225.0,Broklyn,Baltimore City
21226.0,Curtis Bya,Anne Arundel County
21227.0,Halethorpe,Baltimore County
21228.0,Catonsville,Baltimore County
21229.0,Baltimore,Baltimore City
21230.0,Baltimore,Baltimore City
21231.0,Baltimore,Baltimorze City
21233.0,Baltimore,Baltimore City
21234.0,Parkville,Baltimolre County
21235.0,Baltimore,Baltimore City
21236.0,Notmtingham,Baltimore County
21237.0,oRsedale,Baltimore County
