OBJECTID,Case_id,SN_Full,Geo_State,Prjt_Name,Ref_Num,Acq_Method,Int_Acq,Esmt_Rgts,Acc_Rgts,Esmt_exp,Acq_Fund,Fund_Year,Purpose,Pmnt_Made,Acq_Value,Width,Length_Feet,Length_Miles,Area_Acq,Deed_Sign,Recorded,County_Rec,Tax_ID,Rsts_Acq,NGO_Name,NGO_Invol,Title_Acpt,Public_Display,Source,Other_Funds,Appropriation_Reference,Administrating_Agency,Media_Links,Photo_Links,ID,SHAPE_Length,SHAPE_Area
1,26520,OROR   008879,OR,ROGUE_NWSR,SD-M-2,,Fee,Exclusive,,,"LWCF;",,"RECREATION,21","$30,629.0","$30,300.0",,,,20.88,1971/10/11 00:00:00+00,VOL278 PG734,JOSEPHINE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,1971/12/17 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0740732046496885,0.000293707826182762
2,26939,OROR   012878,OR,ROGUE_NWSR,SD-M-19,,Fee,Exclusive,,,"LWCF;",,"RECREATION,81",$20.0,"$18,000.0",,,,80.01,1974/01/11 00:00:00+00,VOL297 PAGE296,JOSEPHINE,,ALL SURFACE RIGHTS U.S.,,,1974/02/15 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0268971513230227,3.54053032185514e-05
3,33014,OROR   035131,OR,,RE-M-952,,Easment,,,,"LWCF;",,RECREATION,"$4,000.0",$550.0,20,,1.634,3.9,,80-10996,JACKSON,,,,,1982/09/09 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,,,0.0526761143462891,8.69220051382873e-05
4,33166,OROR   016169,OR,PACIFIC CREST TRAIL,RE-M-899,,Easment,,,,"LWCF;",,RECREATION,$0.00,$0.00,20,1800,,0.8,1976/02/26 00:00:00+00,76-07926,JACKSON,,,,,1976/06/29 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Pacific%20Crest,,0.0480941224599265,6.94554173972075e-05
5,44714,IDI    027048,ID,"CRUTCHERS CROSSING;KM",,,Fee,Exclusive,,,"LWCF;",,,"$100,000.0","$100,000.0",,,,160,1989/08/30 00:00:00+00,INSTR #200293,OWYHEE,,,,,1989/10/04 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,,,0.0340076674857975,7.07065553210768e-05
6,61106,IDI    032566,ID,BLUE CREEK BAY,,,Fee,Exclusive,,,"LWCF;",,"RECREATION AREA,RIPARIAN","$384,590.0","$384,590.0",,,,50,1999/02/19 00:00:00+00,INSTR #1576776,KOOTENAI,,"EXCLUSIVE, EXCLUSIVE, SUBJECT TO PRIOR RIGHTS, SUBJ PRIOR RIGHTS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,1999/04/01 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0232599445280593,2.42406332011461e-05
7,61184,IDI    030359,ID,COUGAR BAY,,,Fee,Exclusive,,,"LWCF;",,"11;WILDLIFE AREA,WETLANDS,11;WETLAND,11;RIPARIAN,11;RECREATION ARE","$535,000.0","$920,000.0",,,,11.64,1994/03/28 00:00:00+00,INSTR#1352214,KOOTENAI,,"ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, SUBJECT TO PRIOR RIGHTS, SUBJ PRIOR RIGHTS",,,1994/04/29 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,https://www.blm.gov/press-release/bureau-land-management-expands-access-cougar-bay-area-through-land-acquisition,,,0.0359759572845717,7.79857295025233e-05
8,63358,IDI    032091,ID,45 RANCH,SN-IDI33176PT&FD,,Easment,Exclusive,,,"LWCF;",,"240;AG-GRAZING,240;RECREATION,WILDLIFE,240;WIDLIFE AREA,240;RIPARIAN",$0.0,"$432,000.0",,,,240,2000/06/09 00:00:00+00,INSTR #232776,OWYHEE,,"NONEXCLUSIVE, NONEXCLUSIVE",,,2000/07/21 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,,,0.0484645802025409,0.000105870477520946
9,63379,IDI    031252,ID,GAMLIN LAKE PARKING,,,Fee,Exclusive,,,"LWCF;",,"5;RECREATION AREA","$29,000.0","$36,600.0",,,,5.23,1996/02/07 00:00:00+00,INSTR #481388,BONNER,,"ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, EXCLUSIVE, EXCLUSIVE",,,1996/03/01 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0211846707822113,8.21554764378317e-06
10,66107,OROR   052741,OR,STEENS MTN,PROJ-H045,,Easment,Exclusive,,,"LWCF;",,,$43.0,$757.0,50,4225,,4.85,1997/06/20 00:00:00+00,970124,HARNEY,,EXCLUSIVE,,,1997/07/23 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.0511046823134914,7.0896482019283e-05
11,66222,OROR   015167,OR,ROGUE RIVER FOOT TR,RE-M-885,,,Exclusive,,,"LWCF;",,,$790.0,$790.0,30,1538,,0.6,1975/05/25 00:00:00+00,VOL 40 PAGE 637,CURRY,,,,,1975/12/05 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,,,0.0162258107378892,1.66060337171566e-05
12,84175,IDI    028908,ID,UPPER SNAKE,,,Fee,Exclusive,,,"LWCF;",,,"$25,300.0","$25,300.0",,,,36.15,1993/05/04 00:00:00+00,INSTR #247399,MADISON,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,1993/08/12 00:00:00+00,Yes,CadNSDI,,,,,,,0.0295594739783959,1.11286906384307e-05
13,88537,IDI    030983,ID,"GARDEN CREEK RANCH;DT",SN-IDI30984,Donation,Easment,Exclusive,,,"LWCF;",,"RECREATION,1122;REC AREA,1122,WILDLIFE",$0.0,"$72,000.0",,,,1121.75,1995/02/21 00:00:00+00,INSTR #596662,NEZ PERCE,,"SUBJECT TO PRIOR RIGHTS, SUBJ PRIOR RIGHTS",,,1995/04/11 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.203052311184123,0.000525637208024085
14,88992,IDI    028400,ID,NEIL BROWN,,,Easment,Exclusive,,,"LWCF;",,,"$173,200.0","$173,200.0",,,,324.08,1992/01/16 00:00:00+00,"INSTR#831236;RERECORD",BONNEVILLE,,"EXCLUSIVE, EXCLUSIVE",THE NATURE CONSERVANCY,,1992/07/27 00:00:00+00,Yes,CadNSDI,,,,,,,0.0684637555414745,0.00017590333146619
