county,district,co_dist_code,site_code,school_site,total_enrollment,telephone,principal,principles_email,mailing_address,mailing_city,mailing_state,mailing_zip,grades_low_high,certified_staff
ADAIR       ,PEAVINE                       ,01-C019,105.0,Peavine Public School         ,126.0,(918) 696-7818,Jack Ritchie,jritchie@peavinepanthers.net,PO Box 389,Stilwell,OK,74960.0,PK-08,14.0
ADAIR       ,MARYETTA                      ,01-C022,105.0,Maryetta Public School        ,681.0,(918) 696-2285,Rhonda Brown,rbrown@maryetta.k12.ok.us,"Rural Route 6, Box 2840",Stilwell,OK,74960.0,PK-08,65.0
ADAIR       ,ROCKY MOUNTAIN                ,01-I025,105.0,Rocky Mountain Public School  ,188.0,(918) 696-7509,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,"Rural Route 1, Box 665",Stilwell,OK,74960.0,PK-08,17.0
ADAIR       ,ZION                          ,01-C028,105.0,Zion Public School            ,352.0,(918) 696-7866,Joey O'neal,j_oneal@zionjets.com,PO Box 347,Stilwell,OK,74960.0,PK-08,33.0
ADAIR       ,DAHLONEGAH                    ,01-C029,105.0,Dahlonegah Public School      ,134.0,(918) 696-7807,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,"Rural Route 1, Box 1795",Stilwell,OK,74960.0,PK-08,17.0
ADAIR       ,GREASY                        ,01-C032,105.0,Greasy Public School          ,90.0,(918) 696-7768,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,Rural Route 1 Box 1589,Bunch,OK,74931.0,PK-08,11.0
ADAIR       ,WATTS                         ,01-I004,105.0,Watts ES                      ,199.0,(918) 422-5131,Tony Mitchell,tmitchell@wattsschool.com,"Rural Route 2, Box 1",Watts,OK,74964.0,PK-08,22.0
ADAIR       ,WATTS                         ,03-I007,705.0,Watts HS                      ,113.0,(918) 422-5132,Tony Mitchell,tmitchell@wattsschool.com,"Rural Route 2, Box 1",Watts,OK,74964.0,09-12,14.0
ADAIR       ,WESTVILLE                     ,01-I011,105.0,Westville ES                  ,651.0,(918) 723-4355,Ryan Swank (Pk-2),rswank@westville.k12.ok.us,PO Box 410,Westville,OK,74965.0,PK-06,50.0
ADAIR       ,WESTVILLE                     ***,01-I011,610.0,Westville JHS                 ,176.0,(918) 723-3432,Shelly Cooper,scooper@westville.k12.ok.us,PO Box 410,Westville,OK,74965.0,07-08,33.0
ADAIR       ,WESTVILLE                     ,01-I011,705.0,Westville HS                  ,332.0,(918) 723-5644,Renae Price,rprice@westville.k12.ok.us,PO Box 410,Westville,OK,74965.0,09-12,47.0
ADAIR       ,STILWELL                      ,05-I006,105.0,Stilwell ES                   ,411.0,(918) 696-7656,Mark Lea,mlea@stilwellk12.org,10 South Sixth Street,Stilwell,OK,74960.0,PK-04,43.0
ADAIR       ,STILWELL                      ,01-I025,505.0,Stilwell MS                   ,257.0,(918) 696-2685,Dale Girdner,dgirdner@stilwellk12.org,12 North Seventh Street,Stilwell,OK,74960.0,05-08,31.0
ADAIR       ,STILWELL                      ,01-C028,705.0,Stilwell HS                   ,660.0,(918) 696-7276,Ramona Ketcher,rketcher@stilwellk12.org,1801 West Locust Street,Stilwell,OK,74960.0,09-12,58.0
ADAIR       ,CAVE SPRINGS                  ,01-I004,105.0,Cave Springs ES               ,39.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,PO Box 200,Bunch,OK,74931.0,PK-04,7.0
ADAIR       ,CAVE SPRINGS                  ,01-I030,505.0,Cave Springs MS               ,37.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,PO Box 200,Bunch,OK,74931.0,05-08,11.0
ADAIR       ,CAVE SPRINGS                  ,01-I025,705.0,Cave Springs HS               ,107.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,PO Box 200,Bunch,OK,74931.0,09-12,13.0
ALFALFA     ,BURLINGTON                    ,02-I001,105.0,Burlington ES                 ,131.0,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,PO Box 17,Burlington,OK,73722.0,PK-08,21.0
