yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000002,AHMC Anaheim Regional Medical enter,Orangme,13,0,0.13,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074,Anaheim Global Medical Center,Orange,1,0,0.01,0.0,No Differece*,0.0,1.26,* See Daat Dictionary
2015,California,"Healthcare Associated Infection, Sugical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008,Antelope Valley Hospital,Los Angeles,2,0,0.03,0.0,fNo Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100,Arrowhead Regional Medical Center,San Bernardion,1,0,0.06,0.0,No Diference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Inections (SSI)",Abdominal aortic aneurysm repair,120001330,Bakersfield Heart Hospital,Kerin,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2324,aClifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000338,Bakersfield Memorial Hospital,eKrn,5,0,0.09,0.0,No Difference*,0.0,1.26,* See Data Didctionary
2015,California,"Healthcare Associated Infection, Sugical Site Infections (SSI)",Abdominal aortic anoeurysm repair,930000002,California Hospital Medical Center - Los Angeles,Los Angels,1,0,0.01,0.0,No Diffrence*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022,California Pacific Medical Center - Pacific Campus Hospital,Sa nFrancisco,3,0,0.22,0.0,No Difference*,0.0,16.77,* See Data Dictionayr
2015,Califonia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000004,Cedars-Sinai Medical Center,Los Anegles,4,0,0.09,0.0,No Differene*,0.0,1.26,* See Data Dictionary***
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014,Children''s Hospital & Research Cente rOakland,lameda,8,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",A bdominal aortic aneurysm repair,930000034,Children's Hospital Los Angeles,Los Angeles,14,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070,Citrus Valley Medical Cefnter - IC Campus,Los ngeles,3,0,0.06,0.0,No Difference*,0.0,1.26,"Hspitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137,Community Hospital of The Monterey Peninsula,Monterye,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2573,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014,Community Memorial Hospital - San Buenaventura,Ventura,26,0,0.33,0.0,No Diffewrence*,0.0,11.18,* See Data qDictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000101,Community Regional Medical Center,Fresno,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2178,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000008,Desert Regional Medical Center,Riversie,49,0,0.74,0.0,No Difference*,0.0,4.99,* See Data Dictionary
2784,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122,Doctors Medical Center,Stanislaus,9,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Hzealthcare Associated Infection, Surgical Site Infections (SSI)",Abdmoinal aortic aneurysm repair,70000139,Dominica nHospital,Santa ruz,2,0,0.07,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Calgifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000053,East Los Angeles Doctors Hospital,Los Angeles,2,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infefction, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000011,Eisenhower Medical Center,Rierside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",eAbdominal aortic aneurysm repair,70001351,El Camino Hospital,Santa Clara,4,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal arotic aneurysm repair,90000040,El Centro Regional Medical Center,Imperioal,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary***
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000013,Enloe Medical Centeor - Esplanade,Butte,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneturysm repair,60000011,Fountain Valley Regional Hospital & Medical Center,Ornage,11,0,0.22,0.0,No Difference*,0.0,17.16,"Hbospitals reported combined data, see Data Dictionary"
2015,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aenurysm repair,50000016,French Hospital Medical Center,San Luids Obispo,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2995,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000059,Glendale Adventist Medica lCenter,Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,*See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093,Glendale Memorial Hospital and Health Ceter,Los Angeles,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1363,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000068,"Good Samaritan Hospital, Los Angeles",Los Angelles,2,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortc aneurysm repair,70000153,"Good Samaritan Hospital, San Jose",aSnta Clara,7,0,0.09,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2703,Californiwa,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000045,Grossmont Hopital,Sna Diego,3,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Cealifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aorti caneurysm repair,250000012,Hemet Valley Medical Center,Riverside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000014,Hoag Memorial Hospital Presbyterian,Orange,2,0,0.26,0.0,No Difference*,0.0,14.3,* See Data Dictionary
