year,state,hai,operative_procedure,facility_id_one,facility_name_one,county,procedure_count,infection_count,predicted_infection_count,sir,comparison,sirci_nine_five_lower_limit,sirci_nine_five_upper_limit,notes
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000002,AHMC Anaheim Regional Medical Center,Orange,11,0,0.124,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000005,Alhambra Hospital Medical Center,Los Angeles,1,0,0.01,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000425,Alta Bates Summit Medical Center,Alameda,2,0,0.043,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008,Antelope Valley Hospital,Los Angeles,1,0,0.012,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,3,0,0.056,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000004,Cedars-Sinai Medical Center,Los Angeles,12,0,0.282,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014,Children's Hospital & Research Center Oakland,Alameda,7,0,0.086,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000129,Children's Hospital Central California,Madera,15,0,0.5,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034,Childrens Hospital Los Angeles,Los Angeles,20,0,0.181,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137,Community Hospital of The Monterey Peninsula,Monterey,1,0,0.01,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014,Community Memorial Hospital - San Buenaventura,Ventura,22,0,0.308,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000101,Community Regional Medical Center,Fresno,3,0,0.05,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000008,Desert Regional Medical Center,Riverside,40,0,0.625,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122,Doctors Medical Center,Stanislaus,13,0,0.2,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139,Dominican Hospital,Santa Cruz,2,0,0.052,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000053,East Los Angeles Doctors Hospital,Los Angeles,1,0,0.008,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001351,El Camino Hospital,Santa Clara,5,0,0.063,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,230000013,Enloe Medical Center - Esplanade,Butte,8,0,0.09,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000011,Fountain Valley Regional Hospital & Medical Center,Orange,14,0,0.164,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000016,French Hospital Medical Center,San Luis Obispo,2,0,0.028,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000058,Garfield Medical Center,Los Angeles,1,0,0.012,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000153,"Good Samaritan Hospital, San Jose",Santa Clara,11,0,0.182,,,,,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,80000045,Grossmont Hospital,San Diego,4,0,0.058,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000014,Hoag Memorial Hospital Presbyterian,Orange,13,0,0.227,,,,,
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000026,Huntington Memorial Hospital,Los Angeles,162,0,1.404,0.0,No Difference,0.0,2.13,
