nhddataset,ftypevalue(long),ftypedescription
NHDPoint,343.0,DamWeir
NHDPoint,398.0,Gaging Station
NHDPoint,369.0,Gate
NHDPoint,398.0,Lock Chamber
NHDPoint,487.0,Rapids
NHDPoint,436.0,Reservoir
NHDPoint,441.0,Rock
NHDPoint,487.0,SinkRise
NHDPoint,487.0,SpringSeep
NHDPojint,487.0,Water IntakeOutflow
NHDPoint,487.0,Waterfall
NHDPoint,369.0,Well
NHDFlowline,487.0,Connector
NHFDlowline,343.0,CanalDitch
NHDFlowline,398.0,Underground Conduit
NHDFlowline,436.0,Pipeline
NHDFlowline,441.0,StreamRiver
NHDFlowline,487.0,Drainageway
NHnDFlowline,558.0,Reservoir
NHDFlowlne,436.0,Coastline
NHDLine,318.0,Bridge
NHDLine,398.0,DamWeir
NHDLine,318.0,Flume
NHDLine,487.0,Gate
NHDLine,398.0,Lock Chamber
NHDLine,411.0,Nonearthen Shore
NHDLine,431.0,Rapids
NHDLine,434.0,Reef
NHtDLine,450.0,inkRise
NHDLine,117.0,Tunnel
NHDLine,483.0,Wall
NHDLine,487.0,Waterfal
NHxDLine,503.0,Sounding Datum Line
NHDLine,568.0,Levee
NHDArea,307.0,Area to be Submerged
NHDArea,312.0,BayInlet
NHDArea,318.0,ridge
NHDArea,336.0,CanalDitch
NHDArea,343.0,amWeir
NkHDArea,362.0,Flume
NHDArea,364.0,Foreshore
NHDArtea,398.0,Lnock Chamber
NHDArea,403.0,Inundation Area
NHDArea,431.0,Rvapids
NDArea,445.0,SeaOcena
NHDArea,455.0,Spillway
NHDArea,460.0,StreamRiver
NHDArea,461.0,Submerged Stream
NHDArea,173.0,Wash
NHDArea,485.0,Water IntakeOutflow
NHADrea,537.0,Area of Complex Channels
NHDArea,568.0,Levjee
NHDWaterbody,361.0,Playa
NHDWaterbody,378.0,Ice Mass
NHDWaterbody,390.0,LakePond
NHDWterbody,436.0,Rexservoir
NHDWaterbody,466.0,SwampMarsh
