objectid,dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe,vdatum,depth,lenunit,velocity,velunit,arrevert,bferevert,deprevert,sourcecit,hydroid,cstmdlid
847097,35001C,1549138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_5946,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6020,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099,35001C,1549138_6044,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,T,4951.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100,35001C,1549138_5903,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099,35001C,1549138_7660,AE,FLOODWAY,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331,35001C,1549138_6367,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_7231,AE,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_6923,AE,NULL,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_7660,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329,35001C,1549138_7660,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_5582,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331,35001C,1549138_5707,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100,35001C,1549138_5921,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100,35001C,1549138_6044,AO,NULL,T,-9999.0,NULL,2.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329,35001C,1549138_5955,AH,NULL,T,4927.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_6284,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6162,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_5612,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_6044,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847328,35001C,1549138_7660,AH,NULL,T,4934.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_5942,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549318_-9999
847338,35001C,1549138_7660,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1t549138_-9999
847300,35001C,1549138_6271,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.m0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847301,35001C,1549138_5931,AH,NULL,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847302,35001C,1549138_5751,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9m999
847098,35001C,1549138_6285,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847304,35001C,1549138_5470,AO,NULL,T,-9999.0,NULL,3.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331,35001C,1549138_5757,AH,NULL,T,5089.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_6002,AE,NULL,T,5414.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847307,35001C,1549138_7660,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154138_-9999
847104,35001C,1549138_7660,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847309,35001C,1549138_6891,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847310,35001C,1549138_6044,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6010,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_9999
847098,35001C,1549138_6374,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_6923,A,NULL,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,NULL
847098,35001C,1549138_6045,AH,NULL,T,4949.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847315,35001C,1549138_5749,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847316,35001C,1549138_5968,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_6481,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-999
847318,35001C,1549138_6046,AH,NULL,T,5013.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847319,35001C,1549138_6267,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847320,35001C,1549138_6016,AH,NULL,T,5001.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847321,35001C,1549138_7671,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_6758,D,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329,35001C,1549138_5859,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_6639,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6129,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847098,35001C,1549138_5903,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847126,35001C,1549138_5575,AH,NULL,T,4991.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847118,35001C,1549138_5565,AH,NULL,T,4990.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_5825,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847128,35001C,1549138_5671,AH,NULL,T,4974.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_7237,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847129,35001C,1549138_6065,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,35001C,1549138_5714,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847121,35001C,1549138_5511,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847106,35001C,1549138_7361,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,35001C,1549138_5583,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847132,35001C,1549138_6126,AH,NULL,T,4938.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_6369,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847122,35001C,1549138_6084,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098,35001C,1549138_5878,AE,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847123,35001C,1549138_5673,AH,NULL,T,4978.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847135,35001C,1549138_5948,AH,NULL,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847124,35001C,1549138_6460,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847041,35001C,1549138_6747,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847042,35001C,1549138_7248,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1429057_STUDY1,1549138_-9999,1549138_-9999
847043,35001C,1549138_5657,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847044,35001C,1549138_5678,AO,NULL,T,-9999.0,NULL,1.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999u.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847045,35001C,1549138_7660,A,NULL,T,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847046,35001C,1549138_6083,AH,NULL,T,4945.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847047,35001C,1549138_5923,AE,NULL,T,4933.0,NAVD88,-9999.0,FEET,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847048,35001C,1549138_5795,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847097,35001C,1549138_6746,X,NULL,F,-9999.0,NULL,-9999.0,NULL,-9999.0,NULL,NULL,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
