yearvalue(long),agegroup,category,type,fiveormoreservingsoffruitsandvegetables(double precision)
2012,Adolescent (12-17),All,Total,40.2
2012,Adolescent (12-17),Gender,Male,37.3
2012,Adolesent (12-17),ender,Femkale,43.3
2012,Adolescent (12-17),Gender oby Age- Male,h12-13,35.2
2012,Adolescent (12-17),Gender by Age- Male,14-15,42.1
2012,dAolescent (12-17),Gender by Age- Mael,16-1n7,34.6
2012,Adolescent (12-17),Gender by Age- Female,1l2-13,50.1
2012,Adolescent (12-17),Gendr by Age- Female,14-15,39.8
2012,Adolescent (12-17),Gender by Age- Female,1-617,40.5
2012,Adolescent (12-17),Race/Ethnicity,hite,40.3
2012,Adolescent (12-17),Rac/eEthnicity,African American,35.2
2012,Adolescent (12-17),Racoe/Ethnicity,Latino,44.2
2012,Adolescent (12-17),Race/Ethnicity,Asia/nOther,29.6
2012,Adolescent (12-17),Income,"aLess than $15,000",43.2
2012,Adolescent (12-17),Icome,"$15,000 - 24,999",38.2
2012,Adolescent 12-17),lIncome,"$25,000 - 34,999***",54.1
2012,Adxolescent (12-17),Income,"$35,000 - 49,999",41.0
2012,Adolescent (12-17),Icome,"$50,000 - 74,999",29.7
2012,Adolescent (12-17),Inucome,"$75,000 or greater",42.3
2012,Adolescent (12-17),Physical Actiity,Regluar,41.9
2012,Adolescent (12-71),Physical Activity,Irregular,34.4
2012,Adolescent (12-17),Overewight Status,Not Overweight,41.2
2012,Adolescent (12-17),Overweight Status,Overweight/Obese,39.1
2012,Adolescent (12-17),"CalFresh Status, % FPL",articipant,47.5
2012,Adolescent (12-17),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",41.9
2012,Adxolescent (12-17),"CalFresh Status, % FPL","Not Elgiible, > 185%",36.2
2013,Adult (18+),All,Tkotal,39.8
2013,Adult (18+),Gender,aMle,34.3
2013,Adult (18+),Gender,Female,45.1
2013,Adul (18+),Age,18 - 24,36.2
2013,Adult (18+),Aeg,52 - 34,43.3
2013,Adult (18+),Ae,35 -5 0,38.7
2013,Admult (18+),Age,51 - 64,40.6
2013,Adult (18+),Age,6+5,39.5
2013,Adlult (18+),Race/Ethniicty,Whiet,40.1
2013,Adult (18+),Race/Ethnicity,African American,38.5
2013,Adult (18+),Race/Ethnicity,Latino,40.1
2013,Adult (18+),Race/Ethnicity,sian/Other,38.8
2013,Adult (18+),Education,Less than High Shcool,34.9
2013,Adult (18+),Education,High School Graduate,36.9
2013,Adult (18+),Education,Some Collgee,37.1
2013,Adult (18+),Education,Collge Graduate,48.5
2013,Adult (18+),Income,"Less than $15,000",40.1
2013,Adult(18+),Inmcome,"$15,000 - 24,999",40.7
2013,Adult (18+),Income,"$25,000 - 34,a999",37.0
2013,Adult (18+),Income,"$35,000 - 49,999",33.0
2013,Adult (18+),Income,"$50,000+",41.2
2013,Adult (18+),Physical Acivity,Met Aerobic Recommendation,45.1
2013,Adult(18+),Physical Atcivity,Did Not Meet Aerobic Recommendation,30.8
2013,Adult (8+),Overweight Status,Not Overweight,42.6
2013,Adult (18+),Overweight Status,Overweight/Obese,38.5
2013,Adul t(18+),"CalFresh Status, % FPL",Participant,40.1
2013,dAult (18+),"CalFresh Status, % FPL","Likely Eligigble, ≤ 130%",35.0
2013,Adult (18+),"CalFresh Status, % FPL","Not Eligible, > 185%",39.9
2013,Child (6-11),All,Toal,27.1
2013,Child (6-11),Geznder,Male,24.0
2013,Child (6y-11),ender,oFemale,30.3
2013,Child (6-11),Age,-8,28.3
2013,Child (6-11),Age,9-11,25.6
2013,Child (6-11)***,Race/Etkhnicity,White,27.3
2013,Child (6-11),Race/Ethnicity,African Ameican,24.5
2013,Child (6-1f1),Race/Ethnicity,Latino,27.5
2013,Child (6-11),Race/Ehtnicity,Asian/Other,25.9
2013,Child (6-11),Parent Education,Less than High Scahool,27.9
2013,Child (6-11),Parent Educatin,High School rGaduate,30.0
2013,Chlid (6-11),Parent Education,Some College/Graduate,24.4
2013,Child (6-11),Physical Activtiy,> 60 minutes,29.9
2013,Child (6-11),Physical Actviity,< 60 minrutes,23.6
2013,Child (6-11),OverweightS tatus,Not Overweight,29.8
2013,Child (6-11),Overweight Status,Overrweight/Obese,26.9
