OBJECTID,PlanYear,DensityType,Shape__Area,Shape__Length
1,0,2,164439.921569824,3223.57774018648
2,0,2,105421.936340332,2369.69564526572
3,0,2,96244.1091918945,2061.51127665252
4,0,2,205268.188415527,2194.57873977192
5,0,2,138619.111083984,2727.57834090043
6,0,0,45265.6158447266,1178.00028457792
7,0,2,46191.7229003906,1107.59867707082
8,0,4,294768.313171387,2187.49077832531
9,0,7,878683.016662598,4320.64788048073
10,0,2,93754.7623291016,1983.46405437699
11,0,4,248319.461791992,3342.32859839425
12,0,2,58168.0415039063,3369.82059690154
13,0,2,160835.882751465,3317.55284154382
14,0,0,163469.378356934,3454.82720164238
15,0,2,80692.2941894531,1759.23686446715
16,0,2,399972.053649902,5739.28998136565
17,0,2,86111.5498657227,1806.5526342679
18,0,2,59254.7034912109,1280.57243763706
19,0,2,121594.173400879,1547.48564628368
20,0,2,188947.558837891,3679.0347325352
21,0,2,128859.372802734,2935.09694032176
22,0,2,55982.3720092773,1079.8375958859
23,0,0,98476.5943603516,2281.15100265587
24,0,2,67915.1616210938,1433.78857218452
25,0,2,165752.37701416,3498.26810478522
26,0,2,54409.1511230469,1305.23502556928
27,0,3,54819.2336425781,1267.54664162476
28,0,2,94941.2137451172,1795.05639963555
29,0,0,117944.736450195,1915.83675244438
30,0,7,507185.879394531,3017.89288544814
31,0,2,65486.2474365234,1503.39975087992
32,0,2,27447.7384643555,706.781944501768
33,0,3,51983.6883544922,1059.84341596403
34,0,3,69024.4123535156,1419.09172865395
35,0,2,56931.9827880859,1317.0045598574
36,0,3,135758.405273438,1748.23680523214
37,0,0,159951.282836914,1599.76323002491
38,0,3,155139.420837402,2334.90184289655
39,0,2,54628.3048706055,1208.08905559064
40,0,2,40188.7268066406,961.042112143795
41,0,2,67204.4190673828,1593.42828259083
42,0,2,167382.084777832,2380.80202039099
43,0,2,35558.0844116211,897.388719277747
44,0,2,105332.655761719,2262.34395864723
45,0,2,82750.2631225586,1773.15572671163
46,0,3,45617.8574829102,1253.78976472484
47,0,2,60922.8757324219,1365.82928205823
48,0,0,51532.7420043945,996.742841149823
49,0,2,82590.9700927734,1731.67636053684
50,0,2,19915.8905029297,609.224439499552
51,0,2,35153.9994506836,742.722724246507
52,0,0,232340.384277344,3199.7895339206
53,0,2,75706.5239257813,1507.51279855951
54,0,0,163236.990722656,2154.66885084161
55,0,2,51680.0111694336,1177.9772862405
56,0,2,101721.750366211,2287.09465726934
57,0,2,37381.9212036133,971.224107422815
58,0,1,196912.66394043,2518.31178114042
59,0,2,56271.684753418,1311.46053549612
60,0,2,119407.379150391,2375.60973968897
61,0,2,103381.452941895,2042.82317924089
62,0,2,73868.3690185547,1655.80871705053
63,0,2,24045.7030639648,646.048757697062
64,0,3,84658.3397827148,1195.44496336349
65,0,2,86334.623840332,1889.61542369351
66,0,4,2658065.84423828,8493.26566901366
67,0,0,170186.5859375,2653.52900286491
68,0,4,152514.583190918,1602.07832134108
69,0,3,642466.362792969,4516.31948656363
70,0,2,200695.269836426,3103.43425686229
71,0,4,598269.304992676,3766.08482017783
72,0,2,125336.716552734,2584.4041897857
73,0,2,58131.9083251953,1334.56283012877
74,0,2,26067.6124267578,711.859490551559
75,0,3,25538.4606933594,911.555477801077
76,0,2,122336.823730469,2435.89678865526
77,0,2,126861.298950195,2309.41323059101
78,0,3,654073.43560791,3518.02364276002
79,0,0,60214.9609375,1201.18642687294
80,0,3,11124.2991943359,461.612904325977
81,0,2,110212.075378418,2392.29722001754
82,0,2,114186.678100586,1931.77778097041
83,0,2,89084.1348266602,1758.69412203843
84,0,2,20647.6435546875,637.332232304694
85,0,2,89302.673828125,1830.76765607446
86,0,1,350749.632751465,2461.20940887085
87,0,3,62906.322265625,1503.5832362779
88,0,2,100228.973754883,1885.68233729872
89,0,4,563219.084960938,3998.67056933875
90,0,2,207246.193359375,2304.55986809547
91,0,2,58277.9765625,1414.6043136451
92,0,0,107006.907470703,2423.31548224454
93,0,2,123809.727294922,2612.218554139
94,0,3,48412.7556762695,994.994095946927
95,0,2,140025.716247559,1620.00751056839
96,0,2,43311.9219360352,878.76784489351
97,0,2,74316.5173950195,1426.11811732393
98,0,3,356142.004333496,2360.90802533866
99,0,2,95050.2268066406,1910.000621409
100,0,2,217354.402648926,4170.88639695055
101,0,2,71088.7063598633,2640.33863913295
102,0,0,30854.4407348633,711.994291695226
103,0,2,113854.401550293,2503.85260684818
104,0,2,120474.254211426,1536.62619532569
105,0,2,104288.108947754,1380.72879970551
106,0,0,137032.681213379,2501.07677583468
107,0,2,103823.896118164,2265.44731777491
108,0,2,25073.3674316406,656.157251464773
