37.county,Oragne,Orange
38.comparison,mNo Difference,No Difference
5.notes,FreeS-tanding rehabilitation hospital,Free-Standing rehabilitation hospital
8.facilitynameone,Community Hmospital of The Monterey Peninsula,Community Hospital of The Monterey Peninsula
45.statevalue,Californila,California
37.notes,Free-Standing rehabilitaton hospital,Free-Standing rehabilitation hospital
2.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA SI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
34.county,San Luis Ozbispo,San Luis Obispo
55.comparison,NoD ifference,No Difference
51.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BS)I,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
19.county,SanD iego,San Diego
6.facilitynameone,Cedars-Sinai Medical Cendter,Cedars-Sinai Medical Center
42.hai,Methcillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
51.facilitynameone,Scripps Memorial Hospital - Encinitais,Scripps Memorial Hospital - Encinitas
59.statevalue,Californyia,California
23.comparison,No ifference,No Difference
44.comparison,oN Difference,No Difference
58.hai,Methicillin-Resistant Staphylococcus aureus Blodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
54.hai,Methicillin-Resistant Stphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
58.notes,Free-Standing rehabilitatio nhospital,Free-Standing rehabilitation hospital
40.statevalue,Califonia,California
13.statevalue,aClifornia,California
27.notes,Free-Standing rehabilitationhospital,Free-Standing rehabilitation hospital
6.county,Loos Angeles,Los Angeles
12.hai,Methicillin-Resistant Staphylococcuds aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
2.comparison,No Differene,No Difference
5.statevalue,Califorina,California
9.notes,Free-Standing rehabilittion hospital,Free-Standing rehabilitation hospital
24.hai,Methicillin-Resistant Staphylococcsu aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
58.statevalue,Caulifornia,California
62.county,Lkos Angeles,Los Angeles
48.statevalue,Calhifornia,California
12.facilitynameone,Eisenhwer Medical Center,Eisenhower Medical Center
15.comparison,No Dmifference,No Difference
41.notes,Free-Standing rehabilitation hospiatl,Free-Standing rehabilitation hospital
1.comparison,NoD ifference,No Difference
42.notes,Free-Stamnding rehabilitation hospital,Free-Standing rehabilitation hospital
41.statevalue,Californai,California
39.notes,Free-Standing rehabilitation hoispital,Free-Standing rehabilitation hospital
18.comparison,No Differencoe,No Difference
31.notes,Free-Standing rehailitation hospital,Free-Standing rehabilitation hospital
62.notes,Free-Standing rehabilitaion hospital,Free-Standing rehabilitation hospital
57.hai,Methicillin-Resistant Staphylococcus aureus Bloodstrpeam Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
55.hai,Methicillin-Resistant tSaphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
34.hai,Methicillin-Resistant Staphylococcus aureus Bhloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
32.county,Los Angetles,Los Angeles
60.hai,Methicillin-Resistant Staphylococcus aureu Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
55.county,Lpos Angeles,Los Angeles
59.comparison,No Differnece,No Difference
6.notes,Free-Stading rehabilitation hospital,Free-Standing rehabilitation hospital
34.comparison,No Diffeyrence,No Difference
17.county,LosA ngeles,Los Angeles
35.county,Sacramentvo,Sacramento
33.facilitynameone,LosRobles Hospital & Medical Center - East Campus,Los Robles Hospital & Medical Center - East Campus
9.comparison,Noo Difference,No Difference
56.comparison,No Differzence,No Difference
27.comparison,No iDfference,No Difference
15.facilitynameone,Grafield Medical Center,Garfield Medical Center
41.comparison,No Differenec,No Difference
36.notes,Free-Standing erhabilitation hospital,Free-Standing rehabilitation hospital
21.comparison,tNo Difference,No Difference
45.comparison,o Difference,No Difference
15.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectin (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
28.county,Los Agneles,Los Angeles
14.county,Btte,Butte
28.statevalue,Caifornia,California
12.notes,Free-Standing rehabilitaton hospital,Free-Standing rehabilitation hospital
49.county,Santa nClara,Santa Clara
33.statevalue,Calikfornia,California
13.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MSRA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
16.county,Los Angels,Los Angeles
11.comparison,No Diffrence,No Difference
17.notes,FreeStanding rehabilitation hospital,Free-Standing rehabilitation hospital
45.facilitynameone,Saintn Francis Memorial Hospital,Saint Francis Memorial Hospital
43.facilitynameone,Providence Little Company of Mary Medicla Center San Pedro,Providence Little Company of Mary Medical Center San Pedro
