Period,Abstracts,Downloads,Unnamed: 3
2015 Jul,4,5,
2015 Jun,6,3,
2015 May,7,4,
2015 Apr,11,6,
2015 Mar,6,6,
2015 Feb,3,3,
2015 Jan,5,6,
2014 Dec,5,1,
2014 Nov,7,4,
2014 Oct,11,5,
2014 Sep,11,7,
2014 Aug,5,4,
2014 Jul,7,5,
2014 Jun,11,7,
2014 May,10,3,
2014 Apr,7,7,
2014 Mar,10,5,
2014 Feb,3,3,
2014 Jan,2,2,
2013 Dec,2,7,
2013 Nov,1,4,
2013 Oct,3,9,
2013 Sep,2,3,
2013 Aug,2,4,
2013 Jul,8,3,
2013 Jun,10,5,
2013 May,1,2,
2013 Apr,0,0,
2013 Mar,0,0,
2013 Feb,1,6,
2013 Jan,2,4,
2012 Dec,0,6,
2012 Nov,1,9,
2012 Oct,3,11,
2012 Sep,2,5,
2012 Aug,6,13,
2012 Jul,1,1,
2012 Jun,3,5,
2012 May,9,14,
2012 Apr,3,3,
2012 Mar,7,9,
2012 Feb,2,6,
2012 Jan,3,1,
2011 Dec,0,3,
2011 Nov,2,6,
2011 Oct,2,4,
2011 Sep,3,3,
2011 Aug,1,3,
2011 Jul,5,6,
2011 Jun,7,7,
2011 May,8,15,
2011 Apr,21,2,
