objectid,cyclevalue,namevalue,locationvalue,acres,nhdbasin,aquaticlife,recreation,fishconsumption,drinkingwatersupply,shape_area,shape_length
1.0,2010,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",2.74,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,119447.385192871,3245.84224236113
2.0,2010,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,85.9,2030101,Not Supporting,Not Supporting,Fully Supporting,Not Assessed,3741697.38323975,11258.4021938887
3.0,2010,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",95.56,1100006,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting,4162510.79046631,14645.9219289646
5.0,2010,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",15.79,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,687951.067810059,4462.58250700232
6.0,2010,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",4.97,1100006,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,216249.04095459,3312.56720848001
7.0,2010,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",70.53,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,3072259.65930176,11639.4607225449
9.0,2010,Allen Brook Pond (North Haven/Wallingford),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.",4.79,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,208496.927490234,2759.56665168017
14.0,2010,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",21.58,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,940092.739685059,4467.48722353844
15.0,2010,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",22.92,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,998367.83996582,4155.48366401178
16.0,2010,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",2.72,1100004,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,118638.844787598,1654.87117050694
17.0,2010,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,189.28,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8245167.04309082,24334.3122219758
30.0,2010,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside).",580.57,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,25289589.4596558,72327.8061340757
34.0,2010,Roseland Lake (Woodstock),Southeast section of Woodstock.,96.38,1100001,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,4198419.69787598,10217.3549885235
45.0,2010,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",308.86,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13453792.1264038,64711.4490705193
47.0,2010,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",57.2,1100002,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,2491844.77581787,14935.9782479158
54.0,2010,Amos Lake (Preston),"East of Rte 164, Preston.",112.42,1100003,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,4897161.93151855,13730.4604963511
58.0,2010,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.",98.94,1090005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,4309780.11901855,13629.4506635298
61.0,2010,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",339.25,1100005,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,14777856.5875244,60747.8782723668
66.0,2010,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",29.59,1100003,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,1288826.92077637,5134.89383571494
85.0,2010,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook.",65.66,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2860026.72747803,9102.20490686439
86.0,2010,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",5.3,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,230909.922790527,2783.445119483
92.0,2010,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",25.77,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1122637.76074219,9200.12640639479
93.0,2010,Ball Pond (New Fairfield),New Fairfield,80.7,1100005,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,3515310.78204346,9286.3574751367
95.0,2010,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",56.75,1100005,Fully Supporting,Not Supporting,Fully Supporting,Fully Supporting,2472100.46374512,8916.19982310384
96.0,2010,"Housatonic, Lake (Shelton/Derby/Seymour/Oxford/Monroe)","From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",346.29,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,15084482.8284302,69430.8367148112
97.0,2010,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",4.02,1100005,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,175247.794189453,1855.56413565994
98.0,2010,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",100.3,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4369071.7041626,19245.3777138373
100.0,2010,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,214.44,1080207,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9341263.7723999,60317.9244968144
103.0,2010,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,385.75,1080207,Fully Supporting,Fully Supporting,Not Supporting,Fully Supporting,16803189.2424316,52352.7224736564
