contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,What's in a name?,,[],True,[],"What's in a name?. Nature Phys3, 507 (2007).",32,0,0,aplusplus,10.1038/nphys696,https://doi.org/10.1038/nphys696,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys696,3
thesis,"Gone, but not forgotten",,[],True,"[""Mark Buchanan""]","Buchanan, M. Gone, but not forgotten. Nature Phys3, 509 (2007).",240,2,1,aplusplus,10.1038/nphys688,https://doi.org/10.1038/nphys688,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys688,3
thesis,The method of science,,[],True,"[""David Goodstein""]","Goodstein, D. The method of science. Nature Phys3, 509 (2007).",505,0,1,aplusplus,10.1038/nphys689,https://doi.org/10.1038/nphys689,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys689,3
books & arts,A complex mind,,[],True,"[""Hubert Goenner""]","Goenner, H. A complex mind. Nature Phys3, 511 (2007).",107,0,0,aplusplus,10.1038/nphys687,https://doi.org/10.1038/nphys687,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys687,3
research highlights,A strip revealed...and more,,[],True,[],"A strip revealed... and more. Nature Phys3, 513 (2007).",23,0,0,aplusplus,10.1038/nphys694,https://doi.org/10.1038/nphys694,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys694,3
news & views,Phenomenal weather,,[],True,"[""George W. Preston""]","Preston, G. Phenomenal weather. Nature Phys3, 515–516 (2007).",7,0,0,aplusplus,10.1038/nphys677,https://doi.org/10.1038/nphys677,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys677,3
news & views,Try this at home,,[],True,"[""Alison Wright""]","Wright, A. Try this at home. Nature Phys3, 516 (2007).",15,0,0,aplusplus,10.1038/nphys692,https://doi.org/10.1038/nphys692,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys692,3
news & views,A game of five halves,,[],True,"[""Vladimir J. Goldman""]","Goldman, V. A game of five halves. Nature Phys3, 517–518 (2007).",53,3,1,aplusplus,10.1038/nphys681,https://doi.org/10.1038/nphys681,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys681,3
news & views,Crackling crossover,,[],True,"[""James P. Sethna""]","Sethna, J. Crackling crossover. Nature Phys3, 518–519 (2007).",63,0,15,aplusplus,10.1038/nphys682,https://doi.org/10.1038/nphys682,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys682,3
news & views,Beyond the screen of time,,[],True,"[""Carlo Rovelli""]","Rovelli, C. Beyond the screen of time. Nature Phys3, 520–521 (2007).",21,8,0,aplusplus,10.1038/nphys690,https://doi.org/10.1038/nphys690,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys690,3
news & views,Silicon takes a spin,,[],True,"[""Ron Jansen""]","Jansen, R. Silicon takes a spin. Nature Phys3, 521–522 (2007).",25,3,15,aplusplus,10.1038/nphys686,https://doi.org/10.1038/nphys686,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys686,3
news & views,Identification without labels,,[],True,"[""Andreas Trabesinger""]","Trabesinger, A. Identification without labels. Nature Phys3, 522 (2007).",28,0,0,aplusplus,10.1038/nphys691,https://doi.org/10.1038/nphys691,,8,nphys,nature physics,1185926400,2007-08-01,,https://www.nature.com/articles/nphys691,3
