478.longitude,-65.63229325426207,-87.6797791725
502.locationvalue,"(41.91071448, -8.72621042)","(41.91071448, -87.72621042)"
424.buffersize,,B
270.locationvalue,"(41.8012178091, -87.6740803441)","(41.8011278091, -87.6740803441)"
130.address,3850 WFULLERTON AVE,3850 W FULLERTON AVE
70.address,1049 oW BRYN MAWR AVE,1049 W BRYN MAWR AVE
91.xcoordinate,1490506.3965375624,1133912.4701892291
383.communityareaname,CHICAGO LAN,CHICAGO LAWN
368.xcoordinate,623773.7293265427,1175247.3682053008
138.buffersize,xB,B
201.locationvalue,"(41.8910335471, -87.7a553096457)","(41.8910335471, -87.7553096457)"
433.locationvalue,"(41.8157711158, -87.6893858937)","(41.8157711158, -87.6893858973)"
265.communityareaname,EDGExWATER,EDGEWATER
390.buffersize,***,B
206.storename,DOMINICK'S # 120012,DOMINICK'S # 12/0012
215.longitude,-77.91422521514424,-87.6281111483
293.longitude,-131.58132931089483,-87.7083728782
282.longitude,-113.9499316276407,-87.6182417299
358.storename,BEBRATE FRUIT MARKET,BERBATE FRUIT MARKET
421.communityareaname,SOUTH LAWNDcALE,SOUTH LAWNDALE
281.longitude,-100.6812950442128,-87.6415330496
500.address,29s24 E 92ND ST,2924 E 92ND ST
264.storename,OLIVE MOUNT MRAT,OLIVE MOUNT MART
284.storename,JEWE FOOD STORE #3514,JEWEL FOOD STORE #3514
358.xcoordinate,1458220.9580349985,1132942.4846033207
319.communityareaname,EAST GARFIELpD PARK,EAST GARFIELD PARK
40.longitude,-92.78844692829276,-87.6881717161
79.storename,KOL TUV KOSHvER FOODS INC,KOL TUV KOSHER FOODS INC
470.longitude,-103.03118648559904,-87.6064174294
84.xcoordinate,1010909.5768400002,1196899.785259481
144.xcoordinate,842345.8512499733,1137524.3342756743
157.buffersize,,A
216.longitude,-89.74384390560702,-87.6469060276
29.communityareaname,BELMNT CRAGIN,BELMONT CRAGIN
47.locationvalue,"(41.7786847162,- 87.7142516633)","(41.7786847162, -87.7142516633)"
330.storename,WALLY' INTERNATIONAL MARKET,WALLY'S INTERNATIONAL MARKET
46.locationvalue,(41.9028592342 -87.6918885843),"(41.9028592342, -87.6918885843)"
263.communityareaname,LAKEV IEW,LAKE VIEW
319.xcoordinate,1443548.1637532832,1157790.043250908
157.storename,JEWEL FOOD STOReE #3241,JEWEL FOOD STORE #3241
478.buffersize,,A
464.longitude,-74.43393793743388,-87.7288749604
501.communityareaname,MOUNT GREENWOD,MOUNT GREENWOOD
154.buffersize,***,A
439.storename,"DOnMINICK'S Finer Foods, Inc. #1695","DOMINICK'S Finer Foods, Inc. #1695"
27.longitude,-46.99575049418151,-87.7064970959
4.address,5220 S PULAShKI RD,5220 S PULASKI RD
476.storename,ALDIS #08,ALDI'S #08
335.storename,KAMDA PLAZA INC,KAMDAR PLAZA INC
490.storename,JEWEL FOOD STOER #3210,JEWEL FOOD STORE #3210
474.address,3745 N LINCOLN qAVE,3745 N LINCOLN AVE
321.locationvalue,"(41.8h080472717, -87.7041188223)","(41.8080472717, -87.7041188223)"
444.longitude,-57.147801765434664,-87.69579779
89.locationvalue,"(41.780390747, -87.6378127282)","(41.7870390747, -87.6378127282)"
53.communityareaname,BELMNOT CRAGIN,BELMONT CRAGIN
431.communityareaname,ALBANY ARK,ALBANY PARK
254.xcoordinate,883435.8215802975,1196917.3210595995
62.locationvalue,"(41.8934080204, -87.6264377t426)","(41.8934080204, -87.6264377426)"
18.address,11730 S MARSFHIELD AVE,11730 S MARSHFIELD AVE
407.locationvalue,"(41.9325791837, -87.67j8327456)","(41.9325791837, -87.678327456)"
153.longitude,-72.23277119613223,-87.7205408964
373.locationvalue,"(41.8804994508, 87.735595961)","(41.8804994508, -87.735595961)"
56.locationvalue,"(41.69631368, -87a.59663224)","(41.69631368, -87.59663224)"
262.longitude,-49.21830639380138,-87.6828583216
199.xcoordinate,780269.3490758731,1144945.502930937
87.storename,NAnNCE FOOD MART,NANCE FOOD MART
348.storename,ALDI #0,ALDI #30
199.communityareaname,PORTAGE PAK,PORTAGE PARK
465.buffersize,***,A
192.communityareaname,WEST OWN,WEST TOWN
349.xcoordinate,1741050.5613350125,1129750.3958213264
217.buffersize,***,A
384.locationvalue,"(41.92399i18266, -87.7722891067)","(41.9239918266, -87.7722891067)"
152.buffersize,wA,A
154.storename,ALDIINC #58,ALDI INC #58
353.storename,NEW LA SETRELLA FOODS INC.,NEW LA ESTRELLA FOODS INC.
359.storename,Hegewisch Fruijt Market Inc.,Hegewisch Fruit Market Inc.
394.address,7530 S TONY ISLAND AVE,7530 S STONY ISLAND AVE
113.storename,SUPERMERCvADO EL GUERO NO. 8,SUPERMERCADO EL GUERO NO. 8
81.locationvalue,"(41j.8667243541, -87.6259611484)","(41.8667243541, -87.6259611484)"
114.address,360v0 N LAKE SHORE DR,3600 N LAKE SHORE DR
268.longitude,-47.18804322919733,-87.7315572163
162.xcoordinate,798297.2702556391,1199061.9749984262
252.communityareaname,HUMBOLDT PAKR,HUMBOLDT PARK
78.communityareaname,BqEVERLY,BEVERLY
488.buffersize,tB,B
73.longitude,-99.75926036268231,-87.7877071626
176.address,5202W GRAND AVE,5202 W GRAND AVE
386.xcoordinate,732630.1363048865,1126189.3171740803
234.address,4934 S KEZIE AVE,4934 S KEDZIE AVE
497.locationvalue,"(41.9385697153, -87.6979459455l)","(41.9385697153, -87.6979459455)"
28.xcoordinate,801853.2548092427,1168645.9152298884
360.buffersize,***,A
280.communityareaname,CHICGO LAWN,CHICAGO LAWN
5.xcoordinate,766121.6217376352,1165027.7966924468
143.locationvalue,"(41.6995474147, -876427519151)","(41.6995474147, -87.6427519151)"
171.xcoordinate,1063460.8852682232,1150568.177099948
276.buffersize,,A
233.communityareaname,ILNCOLN SQUARE,LINCOLN SQUARE
267.locationvalue,"(41.88558042, -87.6859569108)","(41.88558042, -87.6589569108)"
354.longitude,-53.579256497732636,-87.6547432794
209.communityareaname,WSET RIDGE,WEST RIDGE
269.address,627 S ASHLAND AVE,6257 S ASHLAND AVE
7.buffersize,iB,B
76.buffersize,***,A
216.address,4250  MARINE DR,4250 N MARINE DR
91.storename,WILLIAM'S PRODUCuE,WILLIAM'S PRODUCE
416.storename,CRESPO'S FODO MART,CRESPO'S FOOD MART
39.storename,SHOP & SAVEMARKET,SHOP & SAVE MARKET
190.buffersize,,A
241.longitude,-80.93199029515662,-87.6660398556
354.address,6058 S RACINE AE,6058 S RACINE AVE
124.longitude,-52.48767409811427,-87.6641862307
292.communityareaname,NEAR WET SIDE,NEAR WEST SIDE
179.buffersize,***,B
381.xcoordinate,1432885.7386841483,1158559.9659015764
316.storename,SAVE-AL-OT  #859,SAVE-A-LOT  #859
113.longitude,-61.35783541933758,-87.6784122433
273.locationvalue,"4(1.9580048015, -87.6496537356)","(41.9580048015, -87.6496537356)"
189.longitude,-98.06223414021866,-87.6671044665
