id,obsdate,asm(double precision),asmdoneone(double precision),asmd(double precision),asmddoneone(double precision),asmi(double precision),asmidoneone(double precision),rpm(double precision),rpmdoneone(double precision),rpmd(double precision),rpmddoneone(double precision),rpmi(double precision),rpmidoneone(double precision),loadfactor(double precision),loadfactordoneone(double precision),loadfactord(double precision),loadfactorddoneone(double precision),loadfactori(double precision),loadfactoridoneone(double precision),enplanei(double precision),enplaneidoneone(double precision),enplaned(double precision),enplaneddoneone(double precision),enplane(double precision),enplanedoneone(double precision),airrpmtsi(double precision),airrpmtsidoneone(double precision),airrtmfm(double precision),airrtmfmdoneone(double precision),railfrtcarloads(long),railfrtcarloadsdoneone(long),railfrtintermodal(long),railfrtintermodaldoneone(long),railpm(double precision),railpmdoneone(double precision),transit(double precision),transitdoneone(double precision),petroleum(double precision),petroleumdoneone(double precision),naturalgas(double precision),naturalgasdoneone(double precision),waterborne(double precision),waterbornedoneone(double precision),truckdoneone(double precision),vmt(double precision),vmtdoneone(double precision),tsifreight(double precision),tsifreightc(double precision),tsipassenger(double precision),tsipassengerc(double precision),tsitotal(double precision),tsitotalc(double precision),indpro(double precision),manuf(double precision),invtosales(double precision),idxairrpm(double precision),idxairrtmfm(double precision),idxrailfrtcarloads(double precision),idxrailfrtintermodal(double precision),idxrailpm(double precision),idxtransitdoneone(double precision),idxpetroleumdoneone(double precision),idxnaturalgasdoneone(double precision),idxwaterbornedoneone(double precision),idxtruckdoneone(double precision)
SApTD200001,1/01/2000,76146639.0,77903749.0,56288872.0,57542634.0,19857767.0,20361115.0,48263245.0,53786439.0,34913749.0,39603400.0,13349496.0,14183039.0,63.4,69.0,62.0,68.8,67.2,69.7,4952.0,5182.0,41540.0,47899.0,46492.0,53082.0,49843099.0,56149146.0,2182683.0,2472843.0,1402926,1422005,723747,767692,366607410.0,446570569.0,724934.0,768726.0,215985.0,212916.0,2510.5,1809.7,48.4,55.3,80.0,203442.0,227235.0,105.1,0.5,95.8,-0.1,102.0,0.1,98.845068351,100.69017704,1.58,0.9515,0.9632,1.0164,1.0055,0.9581,0.9763,0.9518,0.966,1.1202,1.068
SATD200002,02/01/2000,73011377.0,78582274.0,54329819.0,57846230.0,18681558.0,20736044.0,48580127.0,55679369.0,36005847.0,40680663.0,12574280.0,14998706.0,66.5,70.9,66.3,70.3,67.3,72.3,4812.0,5448.0,43714.0,48581.0,48526.0,54029.0,49931931.0,58114353.0,2341123.0,2528673.0,1341942,1420026,710611,766229,366139276.0,444289404.0,756536.0,767812.0,210132.0,225978.0,2330.7,1830.2,42.0,48.7,78.4,199261.0,228727.0,103.2,-1.8,98.2,2.5,101.5,-0.5,99.208080261,97.084808681,1.56,0.9848,0.985,1.0149,1.0036,0.9532,0.9751,1.0102,0.977,0.9848,1.0471
SATD200003,030/1/2000,80308529.0,79340986.0,59913798.0,58420370.0,20394731.0,20920617.0,59632014.0,56737811.0,43901516.0,41190104.0,15730498.0,15547706.0,74.3,71.5,73.3,70.5,77.1,74.3,5787.0,5549.0,52977.0,48750.0,58764.0,54299.0,61478163.0,58703082.0,2699633.0,2492678.0,1452147,1409950,771025,764954,453096388.0,455034153.0,843730.0,787902.0,216833.0,220030.0,2050.6,1722.9,52.5,52.5,74.7,232490.0,230237.0,99.7,-3.4,99.6,1.4,99.7,-1.8,99.584792768,99.767561393,1.55,0.9948,0.9709,1.0077,1.0019,0.9762,1.0006,0.9836,0.9197,1.0619,0.9967
SATD200004,04/01/2000,78139993.0,79340373.0,57402637.0,58381386.0,20737356.0,20958986.0,57636732.0,57794009.0,41954244.0,41730715.0,15682488.0,16063294.0,73.8,72.8,73.1,71.5,75.6,76.6,5688.0,5701.0,50344.0,49808.0,56032.0,55509.0,58981617.0,59286695.0,2528558.0,2553401.0,1386030,1400408,747905,764080,473751011.0,466886830.0,757458.0,774284.0,219340.0,222416.0,1783.3,1840.5,52.2,50.8,72.6,227698.0,229068.0,97.9,-1.8,99.9,0.3,98.6,-1.1,100.20552695,101.49628784,1.58,1.0047,0.9946,1.0009,1.0008,1.0017,0.9833,0.9943,0.9825,1.0289,0.9692
SATD200c005,05/01/2000,80515093.0,79073488.0,58896522.0,58164512.0,21618571.0,20908976.0,59749900.0,59066689.0,43168824.0,42723278.0,16581076.0,16343412.0,74.2,74.7,73.3,73.5,76.7,78.2,5892.0,5830.0,52309.0,50274.0,58201.0,56104.0,61223861.0,61159770.0,2528225.0,2521697.0,1440661,1405399,772852,762024,481725263.0,474343733.0,818246.0,782221.0,225649.0,218980.0,1632.9,1970.4,53.5,52.5,73.2,242501.0,229651.0,98.8,0.9,102.5,2.6,100.0,1.4,100.50197769,99.714734437,1.59,1.0364,0.9823,1.0045,0.9981,1.0177,0.9934,0.9789,1.0518,1.063,0.9766
SATD200006,06/012000,80393854.0,78960326.0,58286914.0,57663055.0,22106940.0,21297271.0,64046964.0,58245764.0,45856363.0,41920487.0,18190601.0,16325277.0,79.7,73.8,78.7,72.7,82.3,76.7,6400.0,5738.0,54673.0,49310.0,61073.0,55047.0,65601574.0,59679582.0,2537148.0,2513860.0,1390222,1394715,763056,754028,517102460.0,458026768.0,793911.0,787008.0,225621.0,220780.0,1513.1,1880.6,50.4,48.5,75.0,242963.0,230024.0,99.7,0.9,100.8,-1.7,100.1,0.1,100.56109523,101.3066819,1.6,1.0113,0.9792,0.9969,0.9876,0.9827,0.9995,0.987,1.0039,0.9822,1.0015
SATD200007,07/01/2000,83853711.0,78961510.0,60607052.0,57652381.0,23246659.0,21309129.0,66435577.0,58213064.0,47303803.0,41728756.0,19131774.0,16484308.0,79.2,73.7,78.0,72.4,82.3,77.4,7014.0,5821.0,55568.0,50301.0,62582.0,56123.0,67898320.0,59205009.0,2461623.0,2476880.0,1377790,1400455,760109,757872,564747276.0,472158141.0,743746.0,790086.0,228889.0,222306.0,1525.6,1737.5,53.3,49.6,72.9,245140.0,228840.0,97.7,-2.0,100.4,-0.4,98.5,-1.6,100.37036564,100.32609937,1.6,1.0033,0.9648,1.001,0.9926,1.013,1.0034,0.9938,0.9275,1.0036,0.9734
SATD200008,08/01/2000,84702734.0,79335499.0,61479288.0,57945032.0,23223446.0,21390467.0,65252958.0,57170055.0,46457758.0,40785511.0,18795200.0,16384544.0,77.0,72.1,75.6,70.4,80.9,76.6,6881.0,5912.0,54474.0,50274.0,61355.0,56185.0,67028338.0,58538180.0,2623412.0,2566890.0,1473014,1401872,814860,756782,558060051.0,476059621.0,787064.0,789597.0,231542.0,225257.0,1653.1,1850.6,50.9,48.3,74.7,247832.0,229339.0,99.6,1.9,99.5,-0.9,99.6,1.1,100.10066883,98.937749857,1.62,0.992,0.9999,1.002,0.9912,1.0214,1.0028,1.007,0.9879,0.9779,0.9975
SATD20000l9,09/01/2000,79912506.0,81499474.0,57899315.0,59915434.0,22013191.0,21584040.0,55470176.0,60215842.0,38372644.0,43100533.0,17097532.0,17115309.0,69.4,73.9,66.3,71.9,77.7,79.3,5859.0,6431.0,46363.0,52449.0,52222.0,58879.0,56441629.0,61033729.0,2711279.0,2763544.0,1427099,1417716,789037,766507,446489429.0,480830132.0,802516.0,792728.0,222945.0,225377.0,1475.0,1858.3,47.3,48.5,74.1,227899.0,231166.0,99.7,0.1,102.7,3.2,100.7,1.1,100.49410254,101.68503712,1.59,1.0343,1.0765,1.0133,1.004,1.0316,1.0067,1.0075,0.992,0.9816,0.9887
SATD200010,10/01/2000,82627553.0,81261137.0,60761374.0,59533343.0,21866179.0,21727794.0,57979416.0,59547445.0,41820446.0,42749087.0,16158970.0,16798358.0,70.2,73.3,68.8,71.8,73.9,77.3,5635.0,6213.0,50920.0,51769.0,56555.0,57982.0,58834210.0,59465173.0,2839068.0,2642956.0,1489125,1395460,859903,782684,462329685.0,487322185.0,851255.0,796582.0,234903.0,234324.0,1567.9,1872.4,50.8,47.8,74.2,236491.0,230372.0,99.5,-0.2,101.0,-1.7,100.0,-0.7,100.15040092,99.584237579,1.6,1.0077,1.0295,0.9974,1.0251,1.0455,1.0116,1.0475,0.9995,0.968,0.9907
