groupnumbernoprecedingzeroes,grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes,seriestitle,seriesnumberandtitle
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,6.0,CORRECTIONAL INSTITUTION ADMINISTRATION,0006-CORRECTIONAL INSTITUTION ADMINISTRATION
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,7.0,CORRECTIONAL OFFICER,0007-CORRECTIONAL OFFICER
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,11.0,BOND SALES PROMOTION SERIES,0011-BOND SALES PROMOTION SERIES
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,17.0,EXPLOSIVES SAFETY,0017-EXPLOSIVES SAFETY
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,18.0,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,0018-SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,19.0,SAFETY TECHNICIAN,0019-SAFETY TECHNICIAN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,20.0,COMMUNITY PLANNING,0020-COMMUNITY PLANNING
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,21.0,COMMUNITY PLANNING TECHNICIAN,0021-COMMUNITY PLANNING TECHNICIAN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,23.0,OUTDOOR RECREATION PLANNING,0023-OUTDOOR RECREATION PLANNING
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,25.0,PARK RANGER,0025-PARK RANGER
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,28.0,ENVIRONMENTAL PROTECTION SPECIALIST,0028-ENVIRONMENTAL PROTECTION SPECIALIST
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,29.0,ENVIRONMENTAL PROTECTION ASSISTANT,0029-ENVIRONMENTAL PROTECTION ASSISTANT
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,30.0,SPORTS SPECIALIST,0030-SPORTS SPECIALIST
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,50.0,FUNERAL DIRECTING,0050-FUNERAL DIRECTING
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,60.0,CHAPLAIN,0060-CHAPLAIN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,62.0,CLOTHING DESIGN,0062-CLOTHING DESIGN
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,72.0,FINGERPRINT IDENTIFICATION,0072-FINGERPRINT IDENTIFICATION
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,80.0,SECURITY ADMINISTRATION,0080-SECURITY ADMINISTRATION
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,81.0,FIRE PROTECTION AND PREVENTION,0081-FIRE PROTECTION AND PREVENTION
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,82.0,UNITED STATES MARSHAL,0082-UNITED STATES MARSHAL
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,83.0,POLICE,0083-POLICE
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,84.0,NUCLEAR MATERIALS COURIER,0084-NUCLEAR MATERIALS COURIER
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,85.0,SECURITY GUARD,0085-SECURITY GUARD
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,86.0,SECURITY CLERICAL AND ASSISTANCE,0086-SECURITY CLERICAL AND ASSISTANCE
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,89.0,EMERGENCY MANAGEMENT SPECIALIST,0089-EMERGENCY MANAGEMENT SPECIALIST
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,90.0,GUIDE,0090-GUIDE
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,95.0,FOREIGN LAW SPECIALIST SERIES,0095-FOREIGN LAW SPECIALIST SERIES
0.0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,99.0,GENERAL STUDENT TRAINEE,0099-GENERAL STUDENT TRAINEE
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",101.0,SOCIAL SCIENCE,0101-SOCIAL SCIENCE
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",102.0,SOCIAL SCIENCE AID AND TECHNICIAN,0102-SOCIAL SCIENCE AID AND TECHNICIAN
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",105.0,SOCIAL INSURANCE ADMINISTRATION,0105-SOCIAL INSURANCE ADMINISTRATION
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",106.0,UNEMPLOYMENT INSURANCE,0106-UNEMPLOYMENT INSURANCE
100.0,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",107.0,HEALTH INSURANCE ADMINISTRATION,0107-HEALTH INSURANCE ADMINISTRATION
