172.newvalue,55328,29787
188.newvalue,56922,29644
108.monthvalue,EDC,DEC
237.newvalue,51482,20975
232.used,87571,63931
114.monthvalue,JNU,JUN
208.monthvalue,AgPR,APR
3.newvalue,58871,34225
222.monthvalue,JN,JUN
1.monthvalue,AJN,JAN
231.newvalue,51618,34794
153.used,19440,59261
2.monthvalue,FaEB,FEB
68.newvalue,50800,35186
84.used,110412,42611
140.monthvalue,AGU,AUG
195.used,105931,67288
21.used,24847,58279
87.monthvalue,AMR,MAR
170.newvalue,56198,24257
66.newvalue,7724,37333
164.used,17570,61268
44.used,25651,69589
233.used,28398,60551
223.monthvalue,JL,JUL
186.used,112741,67827
65.monthvalue,AMY,MAY
136.used,94964,60899
190.monthvalue,OT,OCT
133.monthvalue,JAdN,JAN
27.used,86966,68766
65.used,105386,62944
127.used,115449,52146
141.used,19629,54525
34.used,84841,57046
59.used,89040,52776
234.used,84526,55978
81.used,108940,51206
170.monthvalue,EB,FEB
109.monthvalue,JAyN,JAN
184.used,98070,62740
183.used,98743,72717
71.used,94474,50593
91.monthvalue,JUzL,JUL
36.monthvalue,DCE,DEC
22.used,23667,62417
46.monthvalue,xOCT,OCT
216.monthvalue,uDEC,DEC
47.monthvalue,NVO,NOV
131.monthvalue,NV,NOV
90.monthvalue,JNU,JUN
215.monthvalue,qNOV,NOV
59.monthvalue,NVO,NOV
127.newvalue,52648,26593
34.newvalue,51387,34839
139.monthvalue,JUoL,JUL
144.used,98595,44021
143.monthvalue,NOlV,NOV
169.newvalue,7749,25835
30.newvalue,64352,42758
192.used,20637,51261
20.monthvalue,UG,AUG
146.used,23548,46154
57.newvalue,48758,35334
54.monthvalue,JNU,JUN
56.newvalue,6746,37151
197.monthvalue,oMAY,MAY
51.monthvalue,AR,MAR
218.monthvalue,EB,FEB
194.newvalue,48359,21448
66.used,23489,61175
157.monthvalue,JNA,JAN
23.newvalue,63989,30155
185.monthvalue,AMY,MAY
116.monthvalue,UAG,AUG
12.used,93929,42461
91.newvalue,58494,22836
239.newvalue,48999,20511
66.monthvalue,iJUN,JUN
140.used,96696,56801
188.used,106624,69737
76.monthvalue,ARP,APR
178.used,111616,61678
16.used,94606,61856
200.used,110165,69867
211.used,89413,68577
52.newvalue,7785,34099
168.used,109224,56592
175.monthvalue,UJL,JUL
158.monthvalue,bFEB,FEB
225.monthvalue,SrEP,SEP
79.monthvalue,JcUL,JUL
160.monthvalue,AuPR,APR
244.monthvalue,AR,APR
101.used,86727,52548
27.monthvalue,MR,MAR
137.monthvalue,AY,MAY
124.monthvalue,ARP,APR
125.used,90712,55096
223.newvalue,62173,26190
55.monthvalue,JL,JUL
205.monthvalue,JN,JAN
245.monthvalue,MYA,MAY
242.monthvalue,EB,FEB
76.newvalue,7220,30769
204.monthvalue,DCE,DEC
220.newvalue,7892,13700
45.monthvalue,SPE,SEP
80.monthvalue,fAUG,AUG
198.monthvalue,JNU,JUN
127.monthvalue,JL,JUL
221.monthvalue,MyAY,MAY
180.monthvalue,DCE,DEC
212.monthvalue,AxUG,AUG
227.monthvalue,NV,NOV
7.monthvalue,JL,JUL
176.used,21139,70887
235.monthvalue,JLU,JUL
100.monthvalue,yAPR,APR
16.monthvalue,PAR,APR
240.monthvalue,DCE,DEC
60.used,86370,50097
205.newvalue,61417,31090
195.newvalue,53210,26914
177.monthvalue,SEdP,SEP
115.monthvalue,JL,JUL
130.monthvalue,CT,OCT
159.monthvalue,MRA,MAR
120.monthvalue,xDEC,DEC
124.newvalue,57456,27467
4.used,105027,59817
74.newvalue,59708,22819
161.used,112253,57563
50.used,21627,51372
179.used,23454,58037
243.newvalue,54405,26148
24.monthvalue,oDEC,DEC
49.used,97970,50745
