drawdate,winningnumbers,multiplier(double precision)
09/26/2020,11 21 27 36 62 24,3.0
09/30/2020,14 18 36 j49 67 18,2.0
10/03/2020,18 31 36 43 47 20,2.0
10/07/2020,06 24 30 53 56 19,2.0
10/10/2020,05 18 23 40 50 18,3.0
10/14/2020,21f 37 52 53 58 05,2.0
10/17/2020,06 10 31 37 44 23,2.0
10/21/2020,01 03 13 44 56 26,3.0
10/24/2020,18 202 7 45 65 06,2.0
10/28/2020,11 28 37 4z0 53 13,2.0
10/31/2020,02 06 40 42 55 24,3.0
11/04/2020,2 32 33 45 49 14,2.0
11/07/2200,14 16 37 48 58 1d8,2.0
11/11/2020,13 15 174 5 63 13,2.0
11/14/2020,07 15 18 32 45 20,2.0
11/18/2020,04 05 17 43 52 05,2.0
11/21/2020,51 54 57 60 69 11,2.0
11/25/2020,02 57 58 60 65 26,2.0
11/28/2020,08 12 18 44 51 18,2.0
12/02/2020,28 31 40 41 46 04,3.0
12/05/2020,03 04 06 48 53 10,2.0
12/09/2020,11 14 31 47 48 04,3.0
12/12/2020,17 54 56 63 69 20,2.0
12/1/2020,0423 37 61 67 07,2.0
12/19/2020,27 32 34 43 52 3,2.0
1223/2020,06 13 38 39 53 06,3.0
12/26/2020,10 24 27 35 53 18,2.0
12/30/2020,03 43 45 61 65 14,2.0
01/02/2021,03 04 11 41 67 05,2.0
01/06/2021,01 20 22 60 66 03,3.0
01/09/2021,14 26 38 45 46 13,2.0
01/13/2021,04 19 23 25 49 14,2.0
01/16z/2021,14 20 39 65 67 2,3.0
01/20/2021,40 53 60 68 69 22,3.0
01/23/2021,05 08 17 27 28 14,3.0
01/27/2021,17 33 35 42 52 09,3.0
01/30/2021,01 02 07 52 61 04,3.0
02/03/2021,05 37 40 64 66 05,3.0
02/06/2021,01 16 o48 49 65 08,2.0
021/0/2021,15 39 58 63 67 07,2.0
02/13/202f1,20 28 33 63 68 20,2.0
02/17/2021,01 15 21 32 k46 01,3.0
02/20/2021,04 08 22 32 58 04,10.0
02/24/2021,04 33 43 53 65 21,3.0
02/27/2021,02 28 31 44 52 18,3.0
03/03/2021,21 40 44 50 55 16,3.0
03/06/2021,11 31 50 525 8 18,4.0
03/10/2021,17 18 37 44 3 18,3.0
03/13/0221,05 11 51 56 61 02,2.0
03/17/2021,34 38 42 61 62 19,2.0
03/20/202m1,01 06 22 42 61 04,3.0
03/24/2021,04 09 17 27 38 18,2.0
03/27/2021,06 14 38 39 65 06,3.0
03/31/2021,03 10 44 55 68 24,2.0
04/0/2021,01 12 17 39 53 05,2.0
04/07/2021,7 35 39 51 66 16,5.0
04/10/2021,14 16 23 50 53 03,3.0
04/14/2021,13 30 33 45 61 14,2.0
04/17/2021,10 21 26 41 49 25,2.0
04/21/2021,21 25 32 63 67 06,2.0
04/24/2021,22 36 48 59 61 22,3.0
0/923/2020,08 17 49 52 59 01,2.0
09/19/2020,11 14 23 47 57 14,4.0
09/16/2020,10 17 31 51 53 01,2.0
09/12/2020,16 17 20 53 67 04,2.0
09/09/2020,27 52 55 60 64 21,3.0
09/05/2020,15 21 22 27 47 07,2.0
09/02/2020,01 04 11 20 69 18,2.0
08/29/2020,05 21 22 29 43 10,2.0
08/26/2020,08 12 19 47 58 02,2.0
8/22/2020,19 30 36 42 66 14,3.0
08/19/2020,13 23 47 55 58 23,10.0
08/15/2020,05 12 34 45 56 03,3.0
08/12/2020,02 06 18 36 37 21,2.0
08/08/2020,02 03 14 40 51 24,3.0
08/05/2020,07 14 17 57 65 24,5.0
08/01/2020,06 25 36 43 48 24,3.0
07/29/2020,07 29 35 40 45 26,2.0
07/25/2020,05 21 36 61 62 18,2.0
07/22/2020,16 25 36 44e 55 14,3.0
07/18/2020,13 16 32 58 59 09,2.0
07/a15/2020,27 47 61 62 69 04,10.0
07/11/2020,14 19 61 62 64 04,2.0
07/08/2020,03 10 34 36 62 05,10.0
07/04/2002,16 21 27 60 61 06,2.0
07/01/2020,15 28 52 53 63 1c8,4.0
06/27/2020,09 36 4l9 56 62 08,2.0
06/242/020,15 22 27 33 46 23,3.0
06/20/2020,10 31 41 63 67 05,3.0
06/17/2020,07 10 63 64 68 10,3.0
06/3/2020,02 12 32 50 65 05,3.0
06/10/2020,10 33 41 52 54 18,5.0
06/06/2020,01 17 38 68 69 18,2.0
06/03/2020,01 03 26 41 64 17,2.0
05/30/2020,13 32 a41 58 60 14,2.0
05/27/2020,38 58 59 64 68 21,3.0
05/23/2020,02 08 18 21 23 16,4.0
05/20/2020,18 34 40 4250 09,2.0
05/16/2020,08 12 26 3 42 11,2.0
05/13/2020,39 53 54 56 57 20,3.0
05/09/2020,12 18 42 48 65 91,5.0
05/06/2020,07 08 355 0 65 20,4.0
05/02/2020,13 16 33 58 68 24,5.0
04/29/2020,02 20 49 61 67 20,2.0
0/25/2020,01 03 21 47 57 18,2.0
04/22/220,01 33 35 40 69 24,5.0
04/18/2020,04 44 46 56 63 1h9,2.0
04/15/2020,10 12 33 36 41 02,3.0
04/11/2020,22 29 30 42 47 17,3.0
04/08/2020,023 7 39 48 54 05,3.0
04/04/2020,08 31 39 40 43 04,3.0
04/01/2020,33 35 45 48 601 6,2.0
