characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
Total,NULL,NULL,2000,35.5%,0.45,NULL,9452.0,144.0,NULL
Total,NULL,NULL,2001,36.3%,0.45,NULL,9845.0,148.0,NULL
Total,NULL,NULL,2002,36.7%,0.43,NULL,10033.0,141.0,NULL
Total,NULL,NULL,2003,37.8%,0.43,NULL,10364.0,143.0,NULL
Total,NULL,NULL,2004,38%,0.42,NULL,10611.0,144.0,NULL
Total,NULL,NULL,2005,38.9%,0.43,NULL,10834.0,146.0,NULL
Total,NULL,NULL,2006,37.3%,0.42,NULL,10586.0,144.0,NULL
Total,NULL,NULL,2007,38.8%,0.42,NULL,11161.0,148.0,NULL
Total,NULL,NULL,2008,39.6%,0.42,NULL,11466.0,149.0,NULL
Total,NULL,NULL,2009,41.3%,0.42,NULL,12073.0,153.0,NULL
Total,NULL,NULL,2010,41.2%,0.57,NULL,12213.0,170.0,NULL
Total,NULL,NULL,2011,42%,0.59,NULL,12570.0,190.0,NULL
Total,NULL,NULL,2012,41%,0.62,NULL,12456.0,218.0,NULL
Total - Male,Male,NULL,2000,32.6%,0.6,NULL,4343.0,100.0,NULL
Total - Male,Male,NULL,2001,33.6%,0.63,NULL,4543.0,102.0,NULL
Total - Male,Male,NULL,2002,33.7%,0.59,NULL,4629.0,98.0,NULL
Total - Male,Male,NULL,2003,34.3%,0.59,NULL,4697.0,98.0,NULL
Total - Male,Male,NULL,2004,34.7%,0.59,NULL,4865.0,100.0,NULL
Total - Male,Male,NULL,2005,35.3%,0.59,NULL,4973.0,101.0,NULL
Total - Male,Male,NULL,2006,34.1%,0.58,NULL,4874.0,100.0,NULL
Total - Male,Male,NULL,2007,35.5%,0.58,NULL,5156.0,103.0,NULL
Total - Male,Male,NULL,2008,37%,0.58,NULL,5383.0,105.0,NULL
Total - Male,Male,NULL,2009,38.4%,0.59,NULL,5640.0,107.0,NULL
Total - Male,Male,NULL,2010,38.3%,0.78,NULL,5698.0,117.0,NULL
Total - Male,Male,NULL,2011,39.1%,0.8,NULL,5953.0,122.0,NULL
Total - Male,Male,NULL,2012,37.6%,0.79,NULL,5731.0,146.0,NULL
Total - Female,Female,NULL,2000,38.4%,0.6,NULL,5109.0,108.0,NULL
