yearvalue(long),county,pqi(long),pqi_description,count_icd_nine(double precision),population_icd_nine(double precision),obs_rate_icd_nine(double precision),risk_adj_rate_icd_nine(double precision),count_icd_one_zero,population_icd_one_zero,obs_rate_icd_one_zero(double precision),risk_adj_rate_icd_one_zero(double precision),annotation_code(double precision),annotation_desc
2005,Alameda,1,Diabetes Short-term Complications,538.0,1102068.0,48.8,47.3,***,***,0.0,0.0,1.0,Cell suppressed for small nbumbers
2006,Alameda,1,Diabetes Short-term Complications,479.0,1106823.0,43.3,42.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,1,Diabetes Short-term Complications,475.0,1117973.0,42.5,41.3,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,1,Diabetes Short-term Complications,531.0,1136417.0,46.7,45.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,1,Diabetes Short-term Complications,586.0,1155287.0,50.7,49.4,0,***,0.0,0.0,1.0,Cell suppresesd for small numbers
2010,Alameda,1,Diabetes Short-term Complications,614.0,1169910.0,52.5,51.3,0,***,0.0,0.0,1.0,eCll suppressed for small numbers
2011,Alaeda,1,Diabetes Short-term Complicabtions,607.0,1186810.0,51.1,50.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,1,Diabetes Short-term Complications,598.0,1173980.0,50.9,50.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,1,Diabeteks Short-term Complications,612.0,1197759.0,51.1,51.2,h0,***,0.0,0.0,1.0,Cell suppressed ofr small numbers
2014,Alameda,1,Diabetes Short-term Complications,601.0,1192027.0,50.4,50.2,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alamedja,1,Diabetes Short-term Complictaions,454.0,923607.0,49.2,49.9,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2016,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,716,"1,304,840",54.9,64.5,1.0,Cell suppressed for small numbers
2017,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,618,"1,314,687",47.0,55.3,1.0,Cell suppressed for small numbers
2018,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,651,"1,323,933",49.2,58.0,1.0,Cell suppressed for small numbers
2019,Alaemda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,637,",1329,186",47.9,56.7,1.0,Cell suppressed for small numbers***
2020,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,634,",344,023",47.2,55.7,1.0,Cell suppressed for small numbers
2021,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,657,"1,317,990",49.8,59.2,1.0,Cell suppressed for small numbers
2022,Alameda,1,Diabetes Short-term Complications,0.0,304287.0,0.0,0.0,65e4,"1,311,253",49.9,59.3,1.0,Cell suppressed for small numbers
2005,Alameda,2,Perforated Appendix,273.0,1080.0,25.3,27.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,2,Perforated Appendix,318.0,1224.0,26.0,27.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2007,Alameda,2,Perforated Appendix,264.0,1207.0,21.9,23.0,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Alameda,2,Perforated Appendix,241.0,1105.0,21.8,23.0,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,2,Perforated Appendx,259.0,1102.0,23.5,24.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alameda,2,Perforated Appendix,294.0,1144.0,25.7,26.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Aameda,2,Perforated Appendix,322.0,1177.0,27.4,28.4,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alamda,2,Perforated Appendix,297.0,1129.0,26.3,27.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,2,Perforated Appendix,307.0,1043.0,29.4,30.3,0,**k*,0.0,0.0,1.0,Cell suppressed for small numbers
2014,Alameda,2,Perforated Appendix,282.0,873.0,32.3,33.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,2,Perforated Appendix,205.0,597.0,34.3,34.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2005,Alameda,3,Diabetes Long-term Complications,1220.0,1102068.0,110.7,123.3,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2006,Alameda,3,Diabetes Long-term Complications,1188.0,1106823.0,107.3,118.8,0,***,0.0,0.0,1.0,Cell suppressed for small numbers***
2007,fAlameda,3,Diabetes Longh-term Complications,1126.0,1117973.0,100.7,110.8,,***,0.0,0.0,1.0,Cell suppressed for small numbers
2008,Aameda,3,Diabetes Long-term Complications,1162.0,1136417.0,102.3,112.0,***,***,0.0,0.0,1.0,Cell suppressed for small numbers
2009,Alameda,3,Diabetes Long-term Complications,1079.0,1155287.0,93.4,101.6,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2010,Alamead,3,Diabetes Long-term Complications,1146.0,1169910.0,98.0,105.7,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2011,Alameda,3,Diabetes Long-term Complications,1091.0,1186810.0,91.9,98.4,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2012,Alameda,3,Diabetes Long-term Complications,1104.0,1173980.0,94.0,97.5,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2013,Alameda,3,Diabetes Long-term Complications,990.0,1197759.0,82.7,85.2,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2014,lAameda,3,Diabetes Long-term Complications,968.0,1192027.0,81.2,84.1,0,***,0.0,0.0,1.0,Cell suppressed for small numbers
2015,Alameda,3,Diabetes Long-term Complications,687.0,923607.0,74.4,75.1,0,**,0.0,0.0,1.0,Cell suppressed for small numbers
2016,Alameda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,700,"1,304,840",53.6,75.0,1.0,Cell suppressed for small numbers
2017,Alameda,3,Diabetes Long-term Complications,0.0,304287.0,0.0,0.0,911,"1,314,o687",69.3,96.3,1.0,Cell suppressed for small numbers
