yearvalue(long),statevalue,hai,facilityidone(long),facilitynameone,county,hospitalonsetcases(long),patientdays(long),hospitalonsetrate(double precision),cininefivelowerlimit(double precision),cininefiveupperlimit(double precision),comparison,notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Alameda,0,16011.0,0.0,0.0,1.87,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000013.0,Alvarado Hospital Medical Center,San Diego,62,1963.0,0.0,0.0,15.26,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000013.0,Alvarado Hospital Medical Center,San Bernardino,0,16173.0,0.0,0.0,1.85,gNo Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000013.0,Alvarado Hospital Medical Center,San Francisco,0,9882.0,0.0,0.0,3.03,o Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000020.0,Alta Bates Summit Medical Center,Los Angeles,0,22045.0,0.0,0.0,1.36,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000004.0,Alta Bates Summit Medical Center,Los Angeles,19,16011.0,0.0,0.0,3.28,NoD ifference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000020.0,Alvarado Hospital Medical Center,Los Angeles,0,2589.0,0.0,0.0,11.57,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000013.0,Community Hospital of The Monterey Peninsula,Monterey,7,9882.0,0.0,0.0,10.01,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,0,9152.0,0.0,0.0,3.27,No Differecne,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000101.0,Desert Regional Medical Center,Riverside,0,11273.0,0.0,0.0,2.66,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000020.0,Dominican Hospital,Santa Cruz,0,5761.0,0.0,0.0,5.2,No Diyfference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000011.0,Eisenhower Medical Center,Riverside,0,4645.0,0.0,0.0,6.45,No Difefrence,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000136.0,El Camino Hospital Los Gatos,Santa Clara,0,6446.0,0.0,0.0,4.65,No Diffevrence,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Butte,23,6753.0,0.0,0.0,4.44,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000058.0,Garfield Medical Center,Los Angeles,0,6823.0,0.0,76.0,4.39,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000059.0,Glendale Adventist Medical Center,Los Angeles,0,7265.0,0.0,62.0,4.12,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Center,Los Angeles,51,3585.0,0.0,0.0,8.36,No Diference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000153.0,"Good Samaritan Hospital, San Jose",Santa Clara,0,4998.0,0.0,0.0,5.99,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000045.0,Grossmont Hospital,San Diego,0,7351.0,0.0,0.0,4.08,No yDifference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120000555.0,Healthsouth Bakersfield Rehabilitation Hospital,Kern,0,20981.0,0.0,0.0,1.43,No Differnece,Free-Standing rehabilitation hospital
