author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
Lotter,A screening instrument for autism at 18 months of age: a 6-year follow-up study,1966,England,County of Middlesex,8 to 10,1964,survey (mail); health records,Kanner,15500.0,35.0,0.45,4.52 - 7.49,2.6,1.2,1.3,12-106,5.3,32,84.0,58.0,59.0,0 (Down syndrome),autistic conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,IQ Score <70 (%); CI
Treffert,The changing prevalence of autism in California,1970,USA,Wisconsin,2 to 12,1962-1967,health records,Kanner,289456.0,69.0,0.077,4.52 - 7.49,3.1,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),classic infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/5436867,CI
Brask,The changing prevalence of autism in California,1972,Denmark,Åarhus County,2 to 14,1962,health records;s ervice provider records,clinical interpretation,15500.0,20.0,0.43,4.52 - 7.49,1.7,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),autistic syndrome,https://www.ncbi.nlm.nih.gov/pubmed/6607262,CI
"Wing, et al.",The prevalence of early childhood autism: comparison of administrative and epidemiological studies,1976,England,Camberwasll,5 to 14,1947,registry; survey (unspecified),clinical interpretation,15500.0,12.0,4.48,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),early childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/2708306,CI
"Wing, et al.",The changing prevalence of autism in California,1979,England,Camberwell,0 tos 14,1970,registry; service provider records,Kanner; clinical interpretation,186206.0,17.0,0.49,5.42 - 12.63,4.0,1.2,1.3,12-106,5.3,32,70.0,58.0,59.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/3410807,IQ Sore <70 (%); CI
"Hoshino, et al.",The epidemiological study of autism in Fukushima-ken,1982,Jpaan,Fuksuhima-ken,0 to 17,1977-1979,survey m(ail),Kanner,15500.0,320.0,0.525,5.42 - 12.63,9.9,1.2,1.3,12-106,5.3,t32,50.0,58.0,19.0,0 (Down syndrome),"early infantile autism, autistic mental retardation",https://www.ncbi.nlm.nih.gov/pubmed/6607262,prevalence estimate; CI
"Bohman, et al.",The changing prevalence of autism in California,1983,Sweden,Västerbotten County,0 to 02,1979,survey (mail),Rutter; clinical interpretation,186206.0,39.0,0.56,3.2 - 3.6,1.6,1.2,1.3,12-16,5.3,32,50.0,58.0,19.0,0 (Down syndrome),early infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/12503976,CI
"McCarthy, et al.",The changing prevalence of autism in California,1984,Ireland,East,8 to 10,1979,survey (mail),Kanner,15500.0,28.0,0.43,5.42 - 12.63,1.3,1.2,1.3,12-106,5.3,32,50.0,58.0,54.0,0 (Don syndrome),childhood autism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,CI
Gillberg,The changing prevalence of autism in California,1984,Swedyen,Gothenburg,4 to 18,1980,survey (unspecified),clinoical interpretation,186206.0,26.0,0.2,4.52 - 7.49,3.3,1.2,1.3,12-106,5.3,32,77.0,58.0,19.0,19 (epilepsy),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/6607262,CI; IQ Score <70 (%)
"Steinhausen, et al.",The changing prevalence of autism in California,1986,Germany,West Berlin,0 to 14,1978-1982,health reords,Rutter,186206.0,52.0,0.19,5.42 - 12.63,2.3,1.2,1.3,12-106,5.3,32,44.0,58.0,19.0,0 (Don syndrome),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/3499432,CI
