29.ftypedescription,SnikRise,SinkRise
43.nhddataset,HDArea,NHDArea
43.ftypevalue,899,403
31.nhddataset,NlHDLine,NHDLine
40.ftypedescription,Fulme,Flume
31.ftypedescription,Wuall,Wall
35.nhddataset,NHDArae,NHDArea
30.nhddataset,NHDiLne,NHDLine
27.ftypedescription,Rpaids,Rapids
6.ftypedescription,Reesrvoir,Reservoir
11.ftypedescription,Waterfall***,Waterfall
32.ftypedescription,Waetrfall,Waterfall
39.nhddataset,NmHDArea,NHDArea
34.ftypedescription,Lvee,Levee
20.ftypevalue,702,566
33.ftypevalue,913,503
35.ftypedescription,Area to be Submrged,Area to be Submerged
9.ftypevalue,844,458
44.ftypedescription,Rapds,Rapids
57.ftypedescription,kSwampMarsh,SwampMarsh
5.nhddataset,NHDPoitn,NHDPoint
18.ftypedescription,Draingeway,Drainageway
52.ftypedescription,Levlee,Levee
18.ftypevalue,942,468
16.nhddataset,NHDFlowqline,NHDFlowline
36.ftypedescription,BayInltet,BayInlet
5.ftypevalue,946,431
