yearvalue(long),dataset,locationvalue,ge_oid,sex,age_range,population(long),associatesdegree(long),associatesdegreepercent(double precision),bachelorsdegree(long),bachelorsdegreepercent(double precision),graduateorprofessionaldegree(long),graduateorprofessionaldegr_one(double precision),total_post_secondary_attainment(long),total_post_secondary_attainme_one(double precision),datevalue,object_id(long)
2021,2017-2021,"Tempe, Arizona",1600000US0473000,All,25 years and older,115591,8823,7.6,33685,29.0,23359,20.1,65867,56.98,2021/12/31 07:00:00+00,1
2021,2017-2021,"Tempe, Arizona",1600000US0473000,Female,25 years and older,53261,4621,8.7,14295,26.8,11570,21.7,30486,57.24,2021/12/31 07:00:00+00,2
2021,2017-2021,"Tempe, Arizona",1600000US0473000,Male,25 years and older,62921,4202,6.7,19390,30.8,11789,18.7,35381,56.23,2021/12/31 07:00:00+00,3
2020,2016-2020,"Tempe, Arizona",1600000US0473000,All,25 years and older,121374,9214,7.6,32757,27.0,23702,19.5,65673,54.11,2020/12/31 07:00:00+00,4
2020,2016-2020,"Tempe, Arizona",1600000US0473000,Female,25 years and older,58009,3983,6.9,15733,27.0,11730,20.2,31446,54.21,2020/12/31 07:00:00+00,5
2020,2016-2020,"Tempe, Arizona",1600000US0473000,Male,25 years and older,63365,5231,8.3,17024,27.0,11972,18.9,34227,54.02,2020/12/31 07:00:00+00,6
2019,2015-2019,"Tempe, Arizona",1600000US0473000,All,25 years and older,115591,8704,7.5,31163,27.0,22619,19.6,62486,54.06,2019/12/31 07:00:00+00,7
2019,2015-2019,"Tempe, Arizona",1600000US0473000,Female,25 years and older,54760,4251,7.8,14826,27.1,10739,19.6,29816,54.45,2019/12/31 07:00:00+00,8
2019,2015-2019,"Tempe, Arizona",1600000US0473000,Male,25 years and older,60831,4453,7.3,16337,26.9,11880,19.5,32670,53.71,2019/12/31 07:00:00+00,9
2018,2014-2018,"Tempe, Arizona",1600000US0473000,All,25-64,91991,6697,7.3,24739,26.9,16516,18.0,47952,52.1,2018/12/31 07:00:00+00,10
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,25-64,42118,3208,7.6,11905,28.3,7889,18.7,23002,54.6,2018/12/31 07:00:00+00,11
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,25-34,15842,918,5.8,5330,33.6,2863,18.1,9111,57.5,2018/12/31 07:00:00+00,12
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,35-44,8527,663,7.8,2233,26.2,1859,21.8,4755,55.8,2018/12/31 07:00:00+00,13
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Female,45-64,17749,1627,9.2,4342,24.5,3167,17.8,9136,51.5,2018/12/31 07:00:00+00,14
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,25-64,49873,3489,7.0,12834,25.7,8627,17.3,24950,50.0,2018/12/31 07:00:00+00,15
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,25-34,22612,1422,6.3,6373,28.2,3487,15.4,11282,49.9,2018/12/31 07:00:00+00,16
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,35-44,10195,883,8.7,2644,25.9,2025,19.9,5552,54.5,2018/12/31 07:00:00+00,17
2018,2014-2018,"Tempe, Arizona",1600000US0473000,Male,45-64,17066,1184,6.9,3817,22.4,3115,18.3,8116,47.6,2018/12/31 07:00:00+00,18
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,89022,6968,7.8,24294,27.3,15098,17.0,46360,52.1,2017/12/31 07:00:00+00,19
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,41070,3446,8.4,11653,28.4,7401,18.0,22500,54.8,2017/12/31 07:00:00+00,20
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,15016,1200,8.0,1200,8.0,2541,16.9,4941,32.9,2017/12/31 07:00:00+00,21
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8427,690,8.2,2470,29.3,1606,19.1,4766,56.6,2017/12/31 07:00:00+00,22
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,17627,1556,8.8,4264,24.2,3254,18.5,9074,51.5,2017/12/31 07:00:00+00,23
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,47952,3522,7.3,12641,26.4,7697,16.1,23860,49.8,2017/12/31 07:00:00+00,24
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,21199,1441,6.8,6113,28.8,2684,12.7,10238,48.3,2017/12/31 07:00:00+00,25
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,10281,1036,10.1,2803,27.3,1828,17.8,5667,55.1,2017/12/31 07:00:00+00,26
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,16472,1045,15.785497285840892,3725,22.6,3185,19.3,7955,48.3,2017/12/31 07:00:00+00,27
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,87077,6960,8.0,23358,26.8,14468,16.6,44786,51.4,2016/12/31 07:00:00+00,28
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,40037,3444,8.6,11184,27.9,7170,17.9,21798,54.4,2016/12/31 07:00:00+00,29
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,14555,1290,8.9,1290,8.9,2555,17.6,5135,35.3,2016/12/31 07:00:00+00,30
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8242,756,13.449524045999926,2208,26.8,1435,17.4,4399,53.4,2016/12/31 07:00:00+00,31
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,17240,1398,15.10554841208438,4204,24.4,3180,18.4,8782,50.9,2016/12/31 07:00:00+00,32
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,47040,3516,7.5,12174,25.9,7298,15.5,22988,48.9,2016/12/31 07:00:00+00,33
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,20715,1706,8.2,5726,27.6,2356,11.4,9788,47.3,2016/12/31 07:00:00+00,34
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9752,896,9.2,2735,28.0,1734,17.8,5365,55.0,2016/12/31 07:00:00+00,35
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,16573,914,5.5,3713,22.4,3208,19.4,7835,47.3,2016/12/31 07:00:00+00,36
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,83680,6851,8.2,22128,26.4,13681,16.3,42660,51.0,2015/12/31 07:00:00+00,37
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,38757,3348,8.6,10298,26.6,6666,17.2,20312,52.4,2015/12/31 07:00:00+00,38
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,13377,1204,9.0,1204,9.0,2306,17.2,4714,35.2,2015/12/31 07:00:00+00,39
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8030,769,14.541167919609345,1847,23.0,1352,16.8,3968,49.4,2015/12/31 07:00:00+00,40
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,44923,3503,3.5646822452166864,11830,26.3,7015,15.6,22348,49.7,2015/12/31 07:00:00+00,41
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,19318,1527,7.9,5538,28.7,2271,11.8,9336,48.3,2015/12/31 07:00:00+00,42
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9752,1019,10.4,2566,26.3,1682,17.2,5267,54.0,2015/12/31 07:00:00+00,43
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,15853,957,6.0,3726,23.5,3062,19.3,7745,48.9,2015/12/31 07:00:00+00,44
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,82061,6835,8.3,21698,26.4,12742,15.5,41275,50.3,2014/12/31 07:00:00+00,45
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,38325,3367,8.8,9958,26.0,6403,16.7,19728,51.5,2014/12/31 07:00:00+00,46
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,13235,1117,8.4,1117,8.4,2144,16.2,4378,33.1,2014/12/31 07:00:00+00,47
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8370,900,10.8,1942,23.2,1404,16.8,4246,50.7,2014/12/31 07:00:00+00,48
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,16720,1350,8.1,4165,24.9,2855,17.1,8370,50.1,2014/12/31 07:00:00+00,49
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,43736,3468,7.9,11740,26.8,6339,14.5,21547,49.3,2014/12/31 07:00:00+00,50
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,18989,1578,8.3,5581,29.4,1805,9.5,8964,47.2,2014/12/31 07:00:00+00,51
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9460,977,10.3,2391,25.3,1625,17.2,4993,52.8,2014/12/31 07:00:00+00,52
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,15287,913,6.0,3768,24.6,2909,19.0,7590,49.7,2014/12/31 07:00:00+00,53
