OBJECTID,Potential_Treatment_Area_Name,FIAT_Planning_Area_Name,Treatment_Purpose_Need,Total_Acres_Potential_Treament_,Treatment_Type,Treatment_Within_Ongoing_Projec,Priority_for_Implementation,FIAT_Assessment_Area,Priority_Ranking,SHAPE_Length,SHAPE_Area
1,Paulina Conifer Encroachment,Paulina,Encroachment,5822.249,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,63321.625710497,-23561805.5565446
2,Paulina Conifer Encroachment,Paulina,Encroachment,32342.078,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,58118.6311795527,-130883745.202001
3,Humphrey Ranch Invasive Annual Grasses,Paulina,Invasives,6248.502,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,19674.3262732743,-25286789.5249116
4,Congleton Ranch Invasive Annual Grasses,Paulina,Invasives,6786.5859,"Restoration; Fuels",Yes,High,Central Oregon,1,26007.1829780052,-27464338.9628931
5,Durgan Ranch Invasive Annual Grasses,Paulina,Invasives,24727.35,"Restoration; Fuels",Yes,High,Central Oregon,1,49408.7922451678,-100068031.240538
6,Paulina Invasive Annual Grasses,Paulina,Invasives,56021.992,"Restoration; Fuels",Yes,Low,Central Oregon,3,187931.083704836,-226712964.427152
7,Grass Butte Conifer Encroachment,12 Mile,Encroachment,2064.842,"Restoration; Fuels",Yes,High,Central Oregon,1,13486.1721382149,-8356024.28086804
8,Summit Reservoir Conifer Encroachment,12 Mile,Encroachment,39714.102,"Restoration; Fuels",Yes,High,Central Oregon,1,60377.5553323393,-160717283.243383
9,Summit Reservoir Conifer Encroachment,12 Mile,Encroachment,45492.586,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,70209.5697447861,-184101958.495122
10,Ibex Butte Invasive Annual Grasses,12 Mile,Invasives,56590.656,"Restoration; Fuels",Yes,High,Central Oregon,1,96001.3710215053,-229014154.173611
11,Yreka Rim Invasive Annual Grasses,12 Mile,Invasives,36261.793,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,52291.7170928908,-146746275.100901
12,Brothers Conifer Encroachment,Brothers,Encroachment,104128.86,"Restoration; Fuels",Yes,Low,Central Oregon,3,110898.743112492,-421394538.172339
13,South Fork Hill Invasive Annual Grasses,Brothers,Invasives,28122.582,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,56344.1029380581,-113808049.233245
14,Brothers Invasive Annual Grasses,Brothers,Invasives,11245.641,"Restoration; Fuels",Yes,Low,Central Oregon,3,38430.5382240362,-45509492.0555782
15,Brothers Invasive Annual Grasses,Brothers,Invasives,178071.84,"Restoration; Fuels",Yes,High,Central Oregon,1,138459.689159603,-720631157.722981
16,Brothers Invasive Annual Grasses,Brothers,Invasives,14.73428,"Restoration; Fuels",Yes,High,Central Oregon,1,2909.37622694404,-59627.5156090638
17,Dickerson Well Fuel Break,Brothers,Sagebrush_Protection_Enhance,110.729,Fuels,Yes,Low,Central Oregon,3,29443.6333102023,-448104.183962162
18,Dickerson Well Fuel Break,Brothers,Sagebrush_Protection_Enhance,298.80481,Fuels,Yes,Moderate,Central Oregon,2,79405.3361174535,-1209217.4275021
19,Rivers Post Office Fuel Break,Brothers,Sagebrush_Protection_Enhance,177.02196,Fuels,Yes,High,Central Oregon,1,46940.3400451787,-716377.70915998
20,Dickerson Well Fuel Break,Brothers,Sagebrush_Protection_Enhance,82.797501,Fuels,Yes,Moderate,Central Oregon,2,22141.4247600735,-335069.268365981
21,12 Mile Invasive Annual Grasses,12 Mile,Invasives,119926.16,"Restoration; Fuels",Yes,Low,Central Oregon,3,188228.779568891,-485324031.324987
22,Experimental Sagebrush Thinning,Brothers,Sagebrush_Protection_Enhance,363.12927,"Restoration; Fuels",Yes,High,Central Oregon,1,9319.56886975246,-1469531.9861554
23,Experimental Sagebrush Thinning,12 Mile,Sagebrush_Protection_Enhance,141.42249,"Restoration; Fuels",Yes,High,Central Oregon,1,3958.24007243266,-572316.520563871
24,Eimgrant X\Culp Ranch Road Fuel Break,Hay Creek,Invasives_SagebrushPE,48.583481,Fuels,No,High,Central Oregon,1,32328.6150401915,-196610.372310233
25,968 Road Fuel Break,Hay Creek,Sagebrush_Protection_Enhance,23.452099,Fuels,No,Low,Central Oregon,3,15589.4359521867,-94907.2788261399
26,Hay Creek Confer Encroachment,Hay Creek,Encroachment,35778.391,Restoration,Yes,High,Central Oregon,1,60597.9635944751,-144790002.966554
27,Camp Creek Rd Fuel Break,Brothers,Sagebrush_Protection_Enhance,66.860153,Fuels,Yes,High,Central Oregon,1,17835.27570476,-270571.993087728
28,Camp Creek Rd Fuel Break,Brothers,Sagebrush_Protection_Enhance,66.302094,Fuels,Yes,High,Central Oregon,1,17680.4749698805,-268315.03885589
29,Berger Ridge Conifer Encroachment,Brothers,Encroachment,53436.344,"Restoration; Fuels",Yes,High,Central Oregon,1,79985.4986256616,-216249216.313247
30,Berger Ridge Conifer Encroachment,Brothers,Encroachment,9539.8418,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,43793.4448786053,-38606369.831056
31,Pringle Flat Conifer Encroachment,Brothers,Encroachment,50318.602,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,82423.6754630633,-203632152.75754
32,Ibex Butte Fuel Break,12 Mile,Sagebrush_Protection_Enhance,198.18286,Fuels,Yes,High,Central Oregon,1,52761.012570269,-802010.197491371
33,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,6702.1821,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,25486.9777717183,-27122768.3170988
34,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,1085.2598,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,12790.8983451383,-4391890.56123635
35,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,184.32204,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,5637.12036757881,-745924.788863718
36,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,12.008631,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,1377.29089976517,-48597.2030906369
37,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,836.37335,"Restoration; Fuels",Yes,Moderate,Central Oregon,2,11900.8229343454,-3384682.85034194
38,Twelve Mile Reservoir Conifer Encroachment,12 Mile,Encroachment,77278.969,"Restoration; Fuels",Yes,High,Central Oregon,1,127854.876493953,-312736904.945392
39,Twelve Mile Conifer Encroachment,12 Mile,Encroachment,27230.998,"Restoration; Fuels",Yes,Low,Central Oregon,3,91527.4149461226,-110200017.923647
40,Twelve Mile Conifer Encroachment,12 Mile,Encroachment,14300.905,"Restoration; Fuels",Yes,Low,Central Oregon,3,43321.0611938134,-57873708.9797695
41,Paulina Conifer Encroachment,Paulina,Encroachment,48556.598,"Restoration; Fuels",Yes,High,Central Oregon,1,52234.7205437501,-196501580.662298
42,Experimental Sagebrush Thinning,Brothers,Sagebrush_Protection_Enhance,67.46685,"Restoration; Fuels",Yes,High,Central Oregon,1,3248.81096942209,-273028.656241472
43,Antelope Flat-Big Lost Conifer 1st Priority,Antelope Flat-Big Lost,Encroachment,67717.133, , ,High,"Snake, Salmon, and Beaverhead",1,190280.905112595,-274041457.152722
44,Antelope Flat-Big Lost Conifer 2nd Priority,Antelope Flat-Big Lost,Encroachment,31083.664, , ,Moderate,"Snake, Salmon, and Beaverhead",2,124612.659091995,-125791104.8877
45,Antelope Flat-Big Lost Restoration 2nd Priority,Antelope Flat-Big Lost,Sagebrush_Protection_Enhance,5735.4121, , ,Moderate,"Snake, Salmon, and Beaverhead",2,28529.9435646568,-23210384.378864
46,Bennett Hill Annual 1st Priority,Bennett Hill,Invasives,21996.297, , ,High,"Snake, Salmon, and Beaverhead",1,455569.303439272,-89015836.1470727
47,Bennett Hill Annual 2nd Priority,Bennett Hill,Invasives,60236.578, , ,Moderate,"Snake, Salmon, and Beaverhead",2,596887.084935277,-243768734.926628
48,Bennett Hill Fuels 1st Priority,Bennett Hill,Sagebrush_Protection_Enhance,14507.491, , ,High,"Snake, Salmon, and Beaverhead",1,186237.92103837,-58709724.201242
49,Big Desert Cedar Butte Conifer 1st Priority,Big Desert,Encroachment,5110.1875, , ,High,"Snake, Salmon, and Beaverhead",1,30752.6425180963,-20680190.4220918
50,Big Desert Fuel Breaks 1st Priority,Big Desert,Sagebrush_Protection_Enhance,8551.0391, , ,High,"Snake, Salmon, and Beaverhead",1,758333.135920462,-34604820.0090932
51,Big Desert Restoration 1st  Priority,Big Desert,Sagebrush_Protection_Enhance,56128.32, , ,High,"Snake, Salmon, and Beaverhead",1,153927.474898078,-166520014.270172
52,Big Desert Restoration 1st Priority,Big Desert,Sagebrush_Protection_Enhance,151187.22, , ,High,"Snake, Salmon, and Beaverhead",1,479096.625070977,-611832865.652591
53,Big Desert Restoration 2nd Priority,Big Desert,Sagebrush_Protection_Enhance,43175.984, , ,Moderate,"Snake, Salmon, and Beaverhead",2,232291.445775326,-148662210.089231
54,Big Desert Restoration 3rd Priority,Big Desert,Sagebrush_Protection_Enhance,3385.4021, , ,Low,"Snake, Salmon, and Beaverhead",3,38584.2824804415,-13700232.9457608
55,Birch Creek Mahogany Butte Conifer 2nd Priority,Birch Creek,Encroachment,24154.488, , ,Moderate,"Snake, Salmon, and Beaverhead",2,98052.0529771787,-97749723.3297853
56,Hat Creek Conifers 1st Priority,Hat Creek,Encroachment,66223.289, , ,High,"Snake, Salmon, and Beaverhead",1,105023.764964196,-267996101.756609
57,Hat Creek Conifers 2nd Priority,Hat Creek,Encroachment,2346.0042, , ,Moderate,"Snake, Salmon, and Beaverhead",2,27993.0501134428,-9493940.68440726
58,Lemhi Birch Conifer 1st Priority,Lemhi Birch,Encroachment,94146.883, , ,High,"Snake, Salmon, and Beaverhead",1,211700.278235684,-380998852.291413
59,Lemhi Birch Conifer 2nd Priority,Lemhi Birch,Encroachment,1050.0117, , ,Moderate,"Snake, Salmon, and Beaverhead",2,17671.8425065319,-4249245.64888941
60,Lemhi Birch Restoration 2nd Priority,Lemhi Birch,Sagebrush_Protection_Enhance,5565.6191, , ,Moderate,"Snake, Salmon, and Beaverhead",2,24937.8956680572,-22523256.4148409
61,Lemhi Birch Restoration 3rd Priority,Lemhi Birch,Sagebrush_Protection_Enhance,6205.8364, , ,Low,"Snake, Salmon, and Beaverhead",3,20173.7579431032,-25114124.1669146
62,Little Lost Restoration 2nd Priority,Little Lost,Sagebrush_Protection_Enhance,5575.6021, , ,Moderate,"Snake, Salmon, and Beaverhead",2,25249.8682713188,-22563656.1634381
63,Magic  Annual 2nd Priority,Magic,Invasives,29144.607, , ,Moderate,"Snake, Salmon, and Beaverhead",2,617519.415481546,-117944015.022689
64,Magic  Annual 3rd Priority,Magic,Invasives,25189.396, , ,Low,"Snake, Salmon, and Beaverhead",3,371669.517337323,-101937851.666866
65,Magic Annuals 1st Priority,Magic,Invasives,86888.336, , ,High,"Snake, Salmon, and Beaverhead",1,952157.367596648,-351624538.812467
