127.locationvalue,"(41.888062, -87.626842)","(41.735341, -87.693452)"
124.locationvalue,"(41.849302, -87.622658)","(41.876342, -87.636323)"
185.id,85.0,212
115.id,193.0,719
414.locationvalue,"(41.751171, -78.673157)","(41.751171, -87.673157)"
1154.street,VincennesAve,Vincennes Ave
1135.vehiclevolumebyeachdirectionoftraffic,East Bound: 5800 / Wst Bound: 6000,East Bound: 5800 / West Bound: 6000
510.locationvalue,"(41.814595, -87.k743349)","(41.814595, -87.743349)"
984.vehiclevolumebyeachdirectionoftraffic,North Bound: 490 / / Oneway North Bound,North Bound: 4900 / / Oneway North Bound
213.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,North Bound: 5400 / South Bound: 5700
388.locationvalue,"41.877853, -87.652996)","(41.877853, -87.652996)"
1111.dateofcount,10/30/200j6,10/30/2006
1112.dateofcount,10/19/006,10/19/2006
165.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,South Bound: 13000/ Oneway South Bound 
1070.locationvalue,"(41.872493, b-87.725399)","(41.872493, -87.725399)"
177.locationvalue,"(41.992042, -87.714036)","(41.878356, -87.618837)"
1121.dateofcount,08/24/2p006,08/24/2006
103.locationvalue,"(41.777072, -87.62526)","(41.939787, -87.837966)"
206.vehiclevolumebyeachdirectionoftraffic,North Bound: 1100 / South Bound: 1400,South Bound: 8100/ Oneway South Bound
269.locationvalue,"(41.788454, -87.606097)","(41.924726, -87.705876)"
1276.trafficvolumecountlocationaddress,2302 North,2032 North
63.id,277.0,337
600.street,Harklem Ave,Harlem Ave
688.dateofcount,3/28/2006,03/28/2006
549.dateofcount,10/16/20w06,10/16/2006
1247.locationvalue,"(41.755119, -87.586152)","(41.755119, -87.586125)"
87.vehiclevolumebyeachdirectionoftraffic,East Bound: 2300 / West Bound: 1900,North Bound: 5600 / South Bound: 5200
134.id,1328.0,1126
45.vehiclevolumebyeachdirectionoftraffic,East Bound: 5800 / West Bound: 5200,North Bound: 3600 / South Bound: 4700
482.locationvalue,"(41.699481, -87.56564)","(41.699481, -87.656564)"
128.vehiclevolumebyeachdirectionoftraffic,East Bound: 2300 / West Bound: 1900,North Bound: 12900 / South Bound: 11100
1117.trafficvolumecountlocationaddress,32 South,322 South
864.street,North Atve,North Ave
151.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,North Bound: 9800 / South Bound: 9300
198.id,674.0,949
66.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,East Bound: 3600 / West Bound: 5000
1225.vehiclevolumebyeachdirectionoftraffic,East Bound: 1i4500 / West Bound: 18200,East Bound: 14500 / West Bound: 18200
192.id,1050.0,1042
178.dateofcount,30/28/2006,03/28/2006
100.locationvalue,"(41.974889, -87.669587)","(41.994513, -87.663898)"
238.id,960.0,1240
657.trafficvolumecountlocationaddress,950 South,9450 South
148.id,960.0,66
885.dateofcount,1004/2006,10/04/2006
80.id,819.0,298
774.dateofcount,10/1/82006,10/18/2006
20.id,819.0,518
897.vehiclevolumebyeachdirectionoftraffic,North Boun: 9300 / South Bound: 10000,North Bound: 9300 / South Bound: 10000
248.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,East Bound: 32800 / / Oneway East Bound 
249.trafficvolumecountlocationaddress,2920 Norht,2920 North
140.locationvalue,"(41.974889, -87.669587)","(41.7504, -87.5528)"
695.vehiclevolumebyeachdirectionoftraffic,North Bound 14000 / South Bound: 13100,North Bound: 14000 / South Bound: 13100
396.trafficvolumecountlocationaddress,9300 West,3900 West
124.id,1367.0,1343
686.street,Miflwaukee Ave,Milwaukee Ave
1210.trafficvolumecountlocationaddress,312 0West,3120 West
133.locationvalue,"(41.890186, -87.632548)","(41.947109, -87.661464)"
233.trafficvolumecountlocationaddress,5913 Norht,5913 North
488.trafficvolumecountlocationaddress,461 North,641 North
177.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / West Bound: 4800,East Bound: 8900 / West Bound: 8700
311.street,Oak Park vAe,Oak Park Ave
819.street,Devon vAe,Devon Ave
1151.locationvalue,"(41.8739, -87.686234)","(41.87389, -87.686234)"
706.vehiclevolumebyeachdirectionoftraffic,Esat Bound: 3800 / West Bound: 3500,East Bound: 3800 / West Bound: 3500
804.vehiclevolumebyeachdirectionoftraffic,East Bound: 3200 / Weist Bound: 3400,East Bound: 3200 / West Bound: 3400
1214.dateofcount,08/15/q2006,08/15/2006
1072.dateofcount,08/4/2006,08/14/2006
1048.dateofcount,032/8/2006,03/28/2006
624.street,Rbacine Ave,Racine Ave
13.id,1328.0,1104
1105.trafficvolumecountlocationaddress,320 Suoth,320 South
283.dateofcount,03/29a/2006,03/29/2006
212.locationvalue,"(41.992042, -87.714036)","(41.838419, -87.617465)"
358.street,95th t,95th St
619.street,75h St,75th St
1184.trafficvolumecountlocationaddress,162 Norht,162 North
145.locationvalue,"(41.849302, -87.622658)","(41.878842, -87.620705)"
534.trafficvolumecountlocationaddress,2501 Soth,2501 South
272.id,414.0,1208
172.id,1297.0,220
814.trafficvolumecountlocationaddress,80 South,480 South
943.dateofcount,08/24/2l006,08/24/2006
58.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / West Bound: 4800,North Bound: 5200 / South Bound: 5100
666.street,Grad Ave,Grand Ave
205.id,193.0,485
210.id,1286.0,289
955.totalpassingvehiclevolume,12507,12500
70.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound: 10500,North Bound: 10300 / South Bound: 9800
213.id,1199.0,240
921.locationvalue,"(41.854367, -87.630093)","(41.853467, -87.630093)"
198.locationvalue,"(41.992042, -87.714036)","(41.910066, -87.710829)"
1186.vehiclevolumebyeachdirectionoftraffic,North Bound:7 800 / South Bound: 8800,North Bound: 7800 / South Bound: 8800
130.vehiclevolumebyeachdirectionoftraffic,North Bound: 1500 / South Bound: 1500,East Bound: 3900 / West Bound: 3200
112.vehiclevolumebyeachdirectionoftraffic,East Bond: 7800 / West Bound: 7600,East Bound: 7800 / West Bound: 7600
37.locationvalue,"(41.792663, -87.582231)","(41.764877, -87.666635)"
140.vehiclevolumebyeachdirectionoftraffic,East Bound: 9700 / West Bound: 8400,North Bound: 3500 / South Bound: 3900
170.dateofcount,08/31/2060,08/31/2006
1043.locationvalue,"(41.722917, -87.53861)8","(41.722917, -87.538618)"
681.vehiclevolumebyeachdirectionoftraffic,East Bound: 12700 / / Oneway Egast Bound ,East Bound: 12700 / / Oneway East Bound 
713.locationvalue,"(41.738109, -87.718381)","(41.738019, -87.718381)"
1150.trafficvolumecountlocationaddress,a4637 South,4637 South
1154.totalpassingvehiclevolume,12518,12500
650.totalpassingvehiclevolume,7954,7900
229.locationvalue,"(41.885023, -87.675556)","(41.998732, -87.763298)"
195.trafficvolumecountlocationaddress,2029 Wesrt,2029 West
1261.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / SouthBound: 9800,North Bound: 8800 / South Bound: 9800
1119.totalpassingvehiclevolume,4907,4900
519.trafficvolumecountlocationaddress,443South,443 South
82.id,1328.0,226
1032.dateofcount,09/2/2006,09/28/2006
384.locationvalue,"(41.830382, -87.67q602)","(41.830382, -87.67602)"
243.locationvalue,"(41.855898, -87.661264)","(41.955399, -87.836687)"
25.locationvalue,"(41.777072, -87.62526)","(41.919237, -87.648548)"
282.dateofcount,03/14/006,03/14/2006
69.id,960.0,486
236.locationvalue,"(41.777072, -87.62526)","(41.71675, -87.585043)"
220.id,506.0,202
1228.locationvalue,"(41.770241, -87.56655)","(41.770241, -87.566558)"
758.vehiclevolumebyeachdirectionoftraffic,North Bound:g 13800 / South Bound: 12200,North Bound: 13800 / South Bound: 12200
1141.trafficvolumecountlocationaddress,8128 West,1828 West
1065.dateofcount,10/05/006,10/05/2006
218.id,442.0,815
822.trafficvolumecountlocationaddress,617 South,6017 South
199.id,960.0,451
1010.totalpassingvehiclevolume,10370,10300
602.dateofcount,02/28/206,02/28/2006
863.vehiclevolumebyeachdirectionoftraffic,North Bound: 12100 / / Oneway North Boyund,North Bound: 12100 / / Oneway North Bound
169.locationvalue,"(41.885023, -87.675556)","(41.868169, -87.774229)"
271.vehiclevolumebyeachdirectionoftraffic,East Bound: 22900 / West Boulnd: 21100,East Bound: 22900 / West Bound: 21100
309.locationvalue,"(41.777072, -87.62526)","(41.881907, -87.724652)"
1024.dateofcount,08/29g/2006,08/29/2006
464.locationvalue,"(41.878908l, -87.644032)","(41.878908, -87.644032)"
330.vehiclevolumebyeachdirectionoftraffic,North Bound: 8900 / South Bound: 8600,North Bound: 9800 / South Bound: 8600
79.locationvalue,"(41.792663, -87.582231)","(41.940634, -87.697862)"
965.trafficvolumecountlocationaddress,7747 North,7477 North
313.locationvalue,"(41.94867, -87.688793)","(41.964867, -87.688793)"
640.vehiclevolumebyeachdirectionoftraffic,East Bound: 9200 / West Bound: g9000,East Bound: 9200 / West Bound: 9000
259.vehiclevolumebyeachdirectionoftraffic,North Bound: 3400 / South Bound: 1600,East Bound: 7800 / West Bound: 7600
1070.vehiclevolumebyeachdirectionoftraffic,Noth Bound: 13300 / South Bound: 10400,North Bound: 13300 / South Bound: 10400
133.id,379.0,953
252.vehiclevolumebyeachdirectionoftraffic,East Bound: 400 / West Bound: 300,North Bound: 19200 / South Bound: 18500
263.locationvalue,"(41.788454, -87.606097)","(41.931324, -87.711125)"
289.id,960.0,293
381.trafficvolumecountlocationaddress,996 oSuth,996 South
126.id,819.0,55
191.locationvalue,"(41.892668, -87.71135)","(41.761454, -87.576196)"
1246.dateofcount,r05/02/2006,05/02/2006
717.trafficvolumecountlocationaddress,646k North,646 North
402.vehiclevolumebyeachdirectionoftraffic,East Bound: 10200 / West oBund: 10300,East Bound: 10200 / West Bound: 10300
114.id,277.0,1000
145.id,414.0,698
1105.street,Ashland Aev,Ashland Ave
236.trafficvolumecountlocationaddress,9750 oSuth,9750 South
241.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,North Bound: 86200 / South Bound: 79000
68.locationvalue,"(41.788454, -87.606097)","(41.723931, -87.614195)"
35.id,379.0,259
36.id,176.0,1011
871.trafficvolumecountlocationaddress,324 Soutjh,324 South
907.trafficvolumecountlocationaddress,173 South,713 South
38.vehiclevolumebyeachdirectionoftraffic,North Bound: 1100 / South Bound: 1400,North Bound: 10800 / South Bound: 11100
1002.trafficvolumecountlocationaddress,34x0 West,340 West
250.id,979.0,974
835.street,Dearbron St,Dearborn St
1080.dateofcount,03/28/0206,03/28/2006
398.street,Parnll Ave,Parnell Ave
793.vehiclevolumebyeachdirectionoftraffic,North Bound: 9100 / South Boujnd: 8100,North Bound: 9100 / South Bound: 8100
171.vehiclevolumebyeachdirectionoftraffic,North Bound: 12500 / South Bound: 11100***,North Bound: 12500 / South Bound: 11100
85.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / West Bound: 4800,East Bound: 9300 / West Bound: 8400
909.trafficvolumecountlocationaddress,101p01 South,10101 South
280.id,1367.0,446
852.trafficvolumecountlocationaddress,90 West,901 West
569.locationvalue,"(4.794355, -87.742622)","(41.794355, -87.742622)"
305.locationvalue,"(41.887904, -87.771064)","(41.796652, -87.622518)"
302.locationvalue,"(41.756542, -87.617335)","(41.739836, -87.551476)"
179.id,1308.0,879
359.trafficvolumecountlocationaddress,2827 Norht,2827 North
1188.street,Clrk St,Clark St
70.dateofcount,03/23/206,03/23/2006
843.locationvalue,"(4.849975, -87.64032)","(41.849975, -87.64032)"
625.dateofcount,80/17/2006,08/17/2006
143.locationvalue,"(41.930851, -87.797915)","(41.803741, -87.674569)"
278.id,309.0,708
59.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8100,North Bound: 5100 / South Bound: 5600
30.id,979.0,961
175.dateofcount,10/16/2060,10/16/2006
828.street,Aenue L,Avenue L
97.vehiclevolumebyeachdirectionoftraffic,East Bound: 5100 / West Bound: 8100,East Bound: 3800 / West Bound: 4800
989.trafficvolumecountlocationaddress,580 West,5850 West
114.locationvalue,"(41.992042, -87.714036)","(41.972841, -87.689047)"
688.vehiclevolumebyeachdirectionoftraffic,East Boud: 4300 / West Bound: 4500,East Bound: 4300 / West Bound: 4500
254.locationvalue,"(41.890186, -87.632548)","(41.968013, -87.748871)"
489.street,acker Dr,Wacker Dr
424.street,79th fSt,79th St
190.locationvalue,"(41.890186, -87.632548)","(41.970273, -87.708529)"
686.vehiclevolumebyeachdirectionoftraffic,North Bound: 6800 / oSuth Bound: 6000,North Bound: 6800 / South Bound: 6000
16.vehiclevolumebyeachdirectionoftraffic,North Bound: 1100 / South Bound: 1400,North Bound: 17400 / South Bound: 14400
480.vehiclevolumebyeachdirectionoftraffic,North Bound: 11300 / South Bound 12100,North Bound: 11300 / South Bound: 12100
52.trafficvolumecountlocationaddress,440 Eat,440 East
165.locationvalue,"(41.885023, -87.675556)","(41.876698, -87.630742)"
61.id,414.0,1153
1031.trafficvolumecountlocationaddress,828 South,8228 South
653.vehiclevolumebyeachdirectionoftraffic,East Boundn: 3400 / West Bound: 3800,East Bound: 3400 / West Bound: 3800
374.street,Damen Avye,Damen Ave
1062.vehiclevolumebyeachdirectionoftraffic,East Bound: 15600  /West Bound: 14300,East Bound: 15600 / West Bound: 14300
74.locationvalue,"(41.849302, -87.622658)","(41.767951, -87.576347)"
219.id,176.0,851
509.street,Sheirdan Ave,Sheridan Ave
312.dateofcount,04/27/2060,04/27/2006
1010.street,Cental Park Ave,Central Park Ave
606.locationvalue,"(a41.852859, -87.633451)","(41.852859, -87.633451)"
872.locationvalue,"(41d.86852, -87.656729)","(41.86852, -87.656729)"
208.id,1367.0,94
