sexandraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,NULL,NULL,2000,229.0,2.3,NULL
Total ,NULL,NULL,2001,NULL,NULL,Data not available.
Total ,NULL,NULL,2002,NULL,NULL,Data not available.
Total ,NULL,NULL,2003,242.0,0.6,NULL
Total ,NULL,NULL,2004,NULL,NULL,Data not available.
Total ,NULL,NULL,2005,244.0,0.5,NULL
Total ,NULL,NULL,2006,NULL,NULL,Data not available.
Total ,NULL,NULL,2007,246.0,0.7,NULL
Total ,NULL,NULL,2008,NULL,NULL,Data not available.
Total ,NULL,NULL,2009,249.0,0.5,NULL
Total ,NULL,NULL,2010,NULL,NULL,Data not available.
Total ,NULL,NULL,2011,249.0,0.6,NULL
Total ,NULL,NULL,2012,NULL,NULL,Data not available.
Total ,NULL,NULL,2013,248.0,0.5,NULL
Total ,Male,NULL,2000,233.0,2.7,NULL
Total ,Male,NULL,2001,NULL,NULL,Data not available.
Total ,Male,NULL,2002,NULL,NULL,Data not available.
Total - Male,Male,NULL,2003,244.0,0.7,NULL
Total ,Male,NULL,2004,NULL,NULL,Data not available.
Total - Male,Male,NULL,2005,247.0,0.6,NULL
Total ,Male,NULL,2006,NULL,NULL,Data not available.
Total ,Male,NULL,2007,248.0,0.7,NULL
Total ,Male,NULL,2008,NULL,NULL,Data not available.
Total ,Male,NULL,2009,252.0,0.6,NULL
Total ,Male,NULL,2010,NULL,NULL,Data not available.
Total ,Male,NULL,2011,252.0,0.8,NULL
Total ,Male,NULL,2012,NULL,NULL,Data not available.
Total - Male,Male,NULL,2013,251.0,0.6,NULL
Total - Female,Female,NULL,2000,221.0,3.0,NULL
Total - Female,Female,NULL,2001,NULL,NULL,Data not available.
Total - Female,Female,NULL,2002,NULL,NULL,Data not available.
Total - Female,Femgale,NULL,2003,237.0,0.9,NULL
Total - Female,Feemale,NULL,2004,NULL,NULL,Data not available.
Total - Female,Female,NULL,2005,239.0,0.7,NULL
Total - Female,Femazle,NULL,2006,NULL,NULL,Data not available.
Total - Female,jFemale,NULL,2007,241.0,1.0,NULL
Total - Female,Fmale,NULL,2008,NULL,NULL,Data not available.
Total - Female,Femael,NULL,2009,243.0,0.9,NULL
Total - Female,Feale,NULL,2010,NULL,NULL,Data not available.
Total - Female,Female,NULL,2011,244.0,0.9,NULL
Total - Female,Female,NULL,2012,NULL,NULL,Data not available.
Total - Female,Femaale,NULL,2013,243.0,0.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,239.0,2.5,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2001,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,253.0,0.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,255.0,0.5,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,257.0,0.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,260.0,0.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,260.0,0.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2013,259.0,0.6,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2000,206.0,3.6,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2001,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2002,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2003,219.0,1.1,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2004,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2005,222.0,1.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2006,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2007,226.0,1.3,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2008,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2009,229.0,1.1,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2010,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2011,231.0,1.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2012,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2013,232.0,0.7,NULL
Total - Hispanic,NULL,Hispanic,2000,218.0,5.1,NULL
Total - Hispanic,NULL,Hispanic,2001,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2002,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2003,228.0,1.5,NULL
Total - Hispanic,NULL,Hispanic,2004,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2005,229.0,1.0,NULL
Total - Hispanic,NULL,Hispanic,2006,NULL,NULL,Data not available.
