1786.latitude,2.34,42.34
86.spdes_permit_number,NY0210803,NY0264300
1849.facility_name,ELMtA SD #4 BRIGGSWOOD,ELMA SD #4 BRIGGSWOOD
88.spdes_permit_number,NY0223107,NY0229172
915.groundor_surface,Surfaec,Surface
69.spdes_permit_number,NY0025461,NY0199214
29.location_one,"(42.94, -73.65)","(43.75, -73.46)"
30.spdes_permit_number,NY0236616,NY0264652
63.spdes_permit_number,NY0223107,NY0265276
1786.city,HUDSN,HUDSON
2085.groundor_surface,Surfalce,Surface
33.spdes_permit_number,NY0023680,NY0296465
1481.latitude,0.81,40.81
1973.groundor_surface,Surfaec,Surface
915.latitude,40.9j2,40.92
183.latitude,w40.96,40.96
1786.location_one,"(42.3, -73.74)","(42.34, -73.74)"
1193.street,RIVERVIEW RD - 0.5 MI E OF ROOMS RD,RIVERVIEW RD - 0.5 MI E OF GROOMS RD
78.spdes_permit_number,NY0259616,NY0060992
1205.zip_code,10601q.0,10601.0
22.spdes_permit_number,NY0026310,NY0206181
40.spdes_permit_number,NY0271420,NY0261475
56.spdes_permit_number,NY0023680,NY0260347
1786.facility_name,STOCKPORT WATER DIST 2#,STOCKPORT WATER DIST #2
49.spdes_permit_number,NY0236616,NY0028495
1892.facility_name,ENWTOWN CREEK WASTEWATER RESOURCE RECOVERY FACILITY,NEWTOWN CREEK WASTEWATER RESOURCE RECOVERY FACILITY
436.longitude,7-6.44,-76.44
102.spdes_permit_number,NY0272817,NY0282677
1849.groundor_surface,Suface,Surface
39.location_one,"(44.08, -76.15)","(42.47, -73.79)"
996.latitude,40c.96,40.96
1237.facility_name,SCSD #28 - FAIRFIELrD STP,SCSD #28 - FAIRFIELD STP
73.spdes_permit_number,NY0246492,NY0022713
18.spdes_permit_number,NY0026310,NY0093637
1631.longitude,-72.6,-72.26
1237.zip_code,y11784.0,11784.0
915.zip_code,w11933.0,11933.0
33.location_one,"(42.74, -73.36)","(44.08, -73.5)"
1369.city,ASnTORIA,ASTORIA
1193.groundor_surface,Surfce,Surface
26.location_one,"(41.48, -74.01)","(40.57, -74.2)"
1838.location_one,(40.85 -73.93),"(40.85, -73.93)"
374.longitude,-72.2o6,-72.26
16.location_one,"(42.54, -73.76)","(43.33, -75.74)"
57.spdes_permit_number,NY0271420,NY0252344
1904.street,122-c68 FLATLANDS AVE,122-68 FLATLANDS AVE
101.spdes_permit_number,NY0272817,NY0021822
1838.facility_name,CRjOTON AQUEDUCT-SHAFT 24 & 25,CROTON AQUEDUCT-SHAFT 24 & 25
108.spdes_permit_number,NY0246492,NY0075078
1040.latitude,40.b96,40.96
1786.zip_code,12543.0,12534.0
436.average_design_hydraulic_flow,0.58,0.85
336.city,ATICA,ATTICA
46.spdes_permit_number,NY0272817,NY0084689
1798.street,5786 State Route 96|OMULUS,5786 State Route 96|ROMULUS
77.spdes_permit_number,NY0272817,NY0094251
1369.zip_code,11105.q0,11105.0
1892.latitude,40.l73,40.73
11.location_one,"(42.54, -73.76)","(43.62, -75.31)"
1838.city,NuEW YORK,NEW YORK
25.spdes_permit_number,NY0259616,NY0098736
1369.longitude,-g73.89,-73.89
5.spdes_permit_number,NY0223107,NY0269573
1230.longitude,-7.375,-73.75
336.zip_code,1401.0,14011.0
58.spdes_permit_number,NY0259616,NY0215911
1631.latitude,4p0.96,40.96
24.location_one,"(41.99, -73.88)","(43.72, -75.4)"
436.location_one,"(42.96,-76.44)","(42.96, -76.44)"
1074.latitude,0.89,40.89
51.spdes_permit_number,NY0259616,NY0246506
1892.zip_code,1s1222.0,11222.0
26.spdes_permit_number,NY0223107,NY0276499
83.spdes_permit_number,NY0210803,NY0006092
1237.street,21 MORICHES RD,221 MORICHES RD
1193.location_one,"(42.83, -73.t87)","(42.83, -73.87)"
1786.groundor_surface,Surfcae,Surface
1904.latitude,40.56,40.65
1369.location_one,"(0.78, -73.89)","(40.78, -73.89)"
100.spdes_permit_number,NY0246492,NY0259772
1566.longitude,-7c2.26,-72.26
1973.average_design_hydraulic_flow,4.a1,4.1
1904.groundor_surface,Surfce,Surface
1237.average_design_hydraulic_flow,014,0.14
1329.latitude,4b0.96,40.96
1892.street,29-69 GREENPOINT AVE,329-69 GREENPOINT AVE
1753.latitude,04.96,40.96
1973.zip_code,14701d.0,14701.0
1892.location_one,"(40.73, -73.9)5","(40.73, -73.95)"
1849.longitude,-7r8.65,-78.65
436.street,26 FENNEL ST,26 FENNELL ST
915.average_design_hydraulic_flow,.01,0.01
635.longitude,72.26,-72.26
1866.facility_name,"CSSD #24, GABBRESKI AIRPORT STP","SCSD #24, GABBRESKI AIRPORT STP"
39.spdes_permit_number,NY0271420,NY0022772
31.location_one,"(41.49, -74.01)","(42.78, -77.61)"
1322.longitude,-27.26,-72.26
27.location_one,"(42.01, -74.27)","(40.77, -73.99)"
1866.longitude,-27.63,-72.63
48.spdes_permit_number,NY0259616,NY0257753
1973.street,15 GIFFORD AVE,51 GIFFORD AVE
85.spdes_permit_number,NY0236616,NY0159930
1237.groundor_surface,Grund,Ground
64.spdes_permit_number,NY0246492,NY0231878
80.spdes_permit_number,NY0210803,NY0029262
1230.street,WBB RD,WEBB RD
14.spdes_permit_number,NY0246492,NY0257940
1786.longitude,-73.7j4,-73.74
61.spdes_permit_number,NY0025461,NY0250929
37.location_one,"(41.12, -73.75)","(44.37, -73.39)"
54.spdes_permit_number,NY0271420,NY0157121
876.latitude,4.81,40.81
1369.street,43-10 BERRAIN BLVD,43-10 BERRIAN BLVD
1892.city,BROOKLN,BROOKLYN
11.spdes_permit_number,NY0259616,NY0002372
1477.latitude,0.96,40.96
929.longitude,-z72.26,-72.26
1230.city,CAVERACK,CLAVERACK
2085.city,MACEDNO,MACEDON
44.spdes_permit_number,NY0246492,NY0242896
928.longitude,-7.288,-72.88
1798.average_design_hydraulic_flow,0.66***,0.66
34.spdes_permit_number,NY0271420,NY0257851
40.location_one,"(40.94, -72.97)","(42.33, -73.61)"
