plant_type,spdes_permit_number,facility_name,groundor_surface,average_design_hydraulic_flow,street,city,state,country,zip_code,latitude,longitude,location_one
Industrial,NY0210803,NEW MILLER PLACE LAUNDROMAT,Ground,0.01,725 ST RTE 25A,MILLER PLACE,NY,USA,11764.0,40.94,-72.97,"(40.94, -72.97)"
Industrial,NY0223107,TACONIC,Ground,NULL,136 COONBROOK RD,PETERSBURG,NY,USA,12138.0,42.74,-73.36,"(42.74, -73.36)"
Industrial,NY0259616,LUCKY PETROLEUM,Ground,0.0,4131 ST RTE 28,BOICEVILLE,NY,USA,12412.0,42.01,-74.27,"(42.01, -74.27)"
Municipal,NY0025461,VILLAGE OF MINOA STP,Surface,0.99,KALINE DR,MINOA,NY,USA,13116.0,43.08,-76.0,"(41.99, -73.88)"
Municipal,NY0223107,CANASERAGA WWTP,Surface,0.1,ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE,CANASERAGA,NY,USA,14822.0,42.47,-77.77,"(42.47, -77.77)"
Municipal,NY0271420,VILLAGE OF RED HOOK STP,Surface,0.02,US RTE 9 - W SIDE BETWEEN CAMBRIDGE & GARDEN STS,RED HOOK,NY,USA,NULL,41.99,-73.88,"(41.99, -73.88)"
Municipal,NY0259616,Corinth WWTP,Surface,0.79,37 White St,Corinth,NY,USA,12822.0,43.25,-73.82,"(41.71, -74.56)"
Municipal,NY0272817,WOODRIDGE GREENFIELD RD WWTP,Surface,0.8,GREENFIELD RD & KRIEGER PARK RD,WOODRIDGE,NY,USA,12789.0,41.71,-74.56,"(41.71, -74.56)"
Municipal,NY0271420,HILLSDALE SEWER PROJECT,Ground,0.04,ST RTES 22 & 23 - SE OF INTERSECTION,HILLSDALE,NY,USA,12529.0,42.18,-73.52,"(42.18, -73.52)"
Industrial,NY0246492,SILGAN PLASTICS CORPORATION,Surface,0.18,40 POWELL LANE,PENN YAN,NY,USA,14527.0,42.67,-77.06,"(42.67, -77.06)"
Industrial,NY0259616,LYONSDALE PAPER MILL,Surface,1.1,7801 LYONSDALE RD (CO RTE 39) @ LOWDALE RD,LYONS FALLS,NY,USA,13368.0,43.62,-75.31,"(42.54, -73.76)"
