Period,Abstracts,Downloads,Unnamed: 3
2015 Jul,1,13,
2015 Jun,0,14,
2015 May,0,15,
2015 Apr,2,25,
2015 Mar,1,18,
2015 Feb,1,20,
2015 Jan,0,19,
2014 Dec,1,12,
2014 Nov,0,23,
2014 Oct,0,31,
2014 Sep,0,18,
2014 Aug,1,24,
2014 Jul,0,35,
2014 Jun,2,29,
2014 May,0,22,
2014 Apr,0,21,
2014 Mar,0,21,
2014 Feb,0,5,
2014 Jan,1,14,
2013 Dec,0,7,
2013 Nov,0,13,
2013 Oct,0,6,
2013 Sep,1,17,
2013 Aug,1,20,
2013 Jul,2,10,
2013 Jun,1,15,
2013 May,1,9,
2013 Apr,0,0,
2013 Mar,0,6,
2013 Feb,1,14,
2013 Jan,1,31,
2012 Dec,1,14,
2012 Nov,2,21,
2012 Oct,1,19,
2012 Sep,3,4,
2012 Aug,3,8,
2012 Jul,14,5,
2012 Jun,4,14,
2012 May,0,12,
2012 Apr,0,18,
2012 Mar,2,15,
2012 Feb,0,7,
2012 Jan,1,11,
2011 Dec,1,16,
2011 Nov,3,13,
2011 Oct,1,18,
2011 Sep,3,17,
2011 Aug,0,21,
2011 Jul,1,19,
2011 Jun,1,15,
2011 May,0,6,
2011 Apr,0,14,
2011 Mar,0,12,
2011 Feb,0,13,
2011 Jan,1,14,
2010 Dec,3,6,
2010 Nov,2,9,
2010 Oct,3,25,
2010 Sep,5,18,
2010 Aug,3,5,
2010 Jul,2,12,
2010 Jun,2,21,
2010 May,4,16,
2010 Apr,1,18,
2010 Mar,1,23,
2010 Feb,7,17,
2010 Jan,7,28,
2009 Dec,2,26,
2009 Nov,3,24,
2009 Oct,8,22,
2009 Sep,4,18,
2009 Aug,4,24,
2009 Jul,1,23,
2009 Jun,4,23,
2009 May,3,34,
2009 Apr,3,32,
2009 Mar,4,45,
2009 Feb,0,26,
2009 Jan,25,96,
2008 Dec,21,32,
2008 Nov,8,33,
2008 Oct,1,46,
2008 Sep,6,206,
2008 Aug,6,29,
2008 Jul,5,69,
2008 Jun,11,79,
2008 May,20,67,
2008 Apr,11,47,
2008 Mar,15,17,
