yearvalue,statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone,facidtwo,facidthree,county,infectioncount,patientdays,sir,sirninefivecilowerlimit,sirninefiveciupperlimit,comparison,notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,40000122.0,630012960,.,Kings-Fresno,2.0,42875.0,0.76,0.13,2.5,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",.,.,40000124.0,.,.,Fresno,0.0,5970.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim",.,.,60000002.0,.,.,Orange,3.0,51929.0,1.15,0.29,3.13,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Center, Oakland","Alameda County Medical Center-Fairmont Campus, San Leandro",.,140000034.0,140000184,.,Alameda,7.0,55590.0,2.09,0.91,4.12,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,.,.,140000011.0,.,.,Alameda,0.0,11520.0,0.0,0.0,2.88,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,.,.,930000005.0,.,.,Los Angeles,0.0,19433.0,0.0,0.0,2.01,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,140000012.0,140000006,.,Alameda,0.0,87153.0,0.0,0.0,0.9,Lower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000425.0,140000203,.,Alameda,4.0,66733.0,0.65,0.21,1.57,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center, Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",.,90000013.0,090000839,.,San Diego,3.0,30896.0,1.54,0.39,4.2,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valley Hospital, Lancaster",.,.,930000008.0,.,.,Los Angeles,6.0,98897.0,1.05,0.43,2.19,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Arrowhead Regional Medical Center, Colton",.,.,240000100.0,.,.,San Bernardino,14.0,109458.0,1.35,0.77,2.21,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Heart Hospital,.,.,120001330.0,.,.,Kern,0.0,16641.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Memorial Hospital,.,.,120000338.0,.,.,Kern,4.0,68579.0,0.86,0.27,2.07,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Banner Lassen Medical Center, Susanville",.,.,230000008.0,.,.,Lassen,0.0,4772.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Barstow Community Hospital,.,.,240000001.0,.,.,San Bernardino,0.0,7666.0,0.0,0.0,1.66,.,† See Data Dictionary
