yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,40000122.0,630012960,.,Kings-Fresno,2.0,42875.0,0.76,0.13,2.5,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",.,.,40000124.0,.,.,Fresno,0.0,87153.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,60000002.0,.,.,Orange,3.0,51929.0,1.15,0.29,3.13,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Center, Oakland",.,.,140000034.0,140000184,.,Alameda,7.0,55590.0,2.09,0.91,4.12,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,Adventist Medical Center-Selma,.,140000011.0,.,.,Alameda,0.0,109733.0,0.0,0.0,2.88,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,Adventist Medical Center-Selma,.,60000002.0,.,.,Los Angeles,0.0,42875.0,0.0,0.0,2.01,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,140000012.0,140000006,,Alameda,0.0,87153.0,0.0,0.0,0.9,Lower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,60000002.0,140000203,.,Alameda,4.0,66733.0,0.65,0.21,1.57,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center, Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",,90000013.0,090000839,.,San Diego,3.0,109733.0,1.54,0.39,4.2,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valley Hospital, Lancaster",.,e.,930000008.0,140000006,.,Los Angeles,6.0,66733.0,1.05,0.43,2.19,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital of Orange County, Orange",.,w.,90000013.0,220000002,.,San Bernardino,14.0,87153.0,1.35,0.77,2.21,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Heart Hospital,Adventist Medical Center-Selma,t.,120001330.0,.,.,Kern,0.0,109733.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital of Orange County, Orange","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,930000008.0,.,.,Kern,4.0,109733.0,0.86,0.27,2.07,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,Adventist Medical Center-Selma,***,140000014.0,.,.,Lassen,0.0,109733.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000011.0,.,***,San Bernardino,0.0,109733.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barton Memorial Hospital, South Lake Tahoe",.,***,40000124.0,090000839,***,El Dorado,0.0,42875.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Bear Valley Community Hospital, Big Bear Lake","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,120001330.0,.,,San Bernardino,0.0,42875.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",.,b.,930000012.0,140000006,z.,Los Angeles,1.0,66733.0,0.44,0.02,2.19,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,.,,140000014.0,090000839,.,Yolo,0.0,42875.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Center, Oakland",.,,140000014.0,220000002,.,Butte,0.0,109733.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Hospital Medical Center, Los Angeles","Alvarado Hospital Medical Center, Campus #2, San Diego",***,90000013.0,.,.,Los Angeles,5.0,87153.0,1.23,0.45,2.72,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,Adventist Medical Center-Selma,.,60000002.0,.,***,Solano,0.0,66733.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",s.,60000002.0,.,.,San Luis Obispo,0.0,55590.0,0.0,0.0,1.66,.,† See Data Dictionary
