CT,BLPAD,BLPAN,BLWAD,BLWAN,BLMAD,BLMAN
10300,422,13,197,5,225,8
20100,2610,59,1242,22,1368,37
20300,354,11,175,3,179,8
30500,859,84,553,59,306,25
40200,388,29,233,19,155,10
40500,215,13,121,8,94,5
40600,197,15,91,6,106,9
40900,659,56,348,29,311,27
50100,768,51,458,33,310,18
50600,771,51,454,33,317,18
50900,481,25,292,19,189,6
51000,451,26,278,17,173,9
51100,50,3,34,1,16,2
60300,1043,59,533,35,510,24
60500,633,29,337,11,296,18
70300,815,21,414,10,401,11
70500,920,17,469,8,451,9
70600,841,23,479,12,362,11
70800,673,13,364,6,309,7
70900,1410,37,754,13,656,24
80200,730,59,401,35,329,24
80400,510,24,257,12,253,12
80600,851,22,440,14,411,8
80700,561,13,309,2,252,11
80900,746,45,401,29,345,16
90100,817,40,426,23,391,17
90200,1142,74,649,36,493,38
90300,650,44,351,19,299,25
100500,1067,86,611,42,456,44
101100,896,42,482,18,414,24
101400,1725,94,950,45,775,49
101600,397,26,226,16,171,10
101700,665,34,403,22,262,12
101800,1383,100,777,54,606,46
110200,1803,59,987,23,816,36
110600,1412,45,782,24,630,21
111300,909,49,513,27,396,22
111400,496,21,269,15,227,6
111500,1079,60,625,39,454,21
120300,607,35,374,22,233,13
120400,277,18,163,11,114,7
120700,256,20,165,12,91,8
120800,289,17,176,12,113,5
130100,619,36,386,19,233,17
130200,389,34,247,22,142,12
130300,483,44,296,26,187,18
130400,348,25,197,10,151,15
130600,1229,82,718,41,511,41
140100,1299,32,660,11,639,21
140200,853,15,417,6,436,9
140300,1802,51,942,21,860,30
140400,1378,34,718,12,660,22
140500,825,41,475,20,350,21
140600,1765,52,938,21,827,31
140800,2454,78,1272,32,1182,46
141000,540,17,304,9,236,8
141100,785,48,423,23,362,25
141300,1998,69,1056,32,942,37
141400,2867,131,1482,54,1385,77
151600,1219,74,653,36,566,38
151700,2411,137,1266,75,1145,62
160800,991,53,507,29,484,24
160900,914,55,487,31,427,24
170200,1161,61,575,38,586,23
170600,574,39,288,21,286,18
180300,779,42,440,25,339,17
180700,801,63,439,34,362,29
190300,821,53,468,26,353,27
191100,1041,72,542,31,499,41
191400,979,72,546,39,433,33
191500,781,59,404,28,377,31
191600,1766,126,935,69,831,57
191700,1644,98,886,51,758,47
191800,2682,166,1498,78,1184,88
191900,1014,43,566,19,448,24
192000,1558,112,838,59,720,53
202200,1131,80,629,40,502,40
202300,1804,138,985,62,819,76
210700,793,57,460,36,333,21
220600,606,29,308,14,298,15
240600,929,95,471,40,458,55
241200,371,38,192,19,179,19
250300,450,14,236,7,214,7
250700,202,11,111,6,91,5
250900,409,37,226,16,183,21
260200,940,51,511,21,429,30
260700,759,39,402,17,357,22
260900,467,16,261,8,206,8
261200,563,42,291,21,272,21
261400,765,60,450,34,315,26
261500,544,39,312,19,232,20
262000,962,99,540,51,422,48
270100,1119,78,654,40,465,38
270300,651,51,367,23,284,28
270400,406,22,232,14,174,8
270800,1321,108,730,52,591,56
271500,1112,73,615,34,497,39
281400,1077,69,602,36,475,33
281500,630,54,340,27,290,27
290100,988,63,533,33,455,30
290200,2049,131,1137,71,912,60
290400,1903,137,1053,66,850,71
300100,1419,112,794,73,625,39
310200,1842,170,961,74,881,96
310300,589,44,316,22,273,22
320400,945,70,519,31,426,39
320600,1159,52,625,24,534,28
320700,854,60,450,29,404,31
401100,2585,242,1450,125,1135,117
401200,1116,106,617,62,499,44
401300,1457,132,782,73,675,59
402000,1465,151,775,78,690,73
403500,1728,145,942,79,786,66
404000,734,65,394,31,340,34
405000,683,50,348,20,335,30
406000,1337,143,694,56,643,87
407001,2694,201,1427,96,1267,105
407002,3556,248,1864,108,1692,140
408001,2891,181,1536,95,1355,86
408002,3483,145,1817,71,1666,74
409000,6394,167,3249,57,3145,110
410000,641,25,317,12,324,13
411000,3162,101,1645,41,1517,60
412001,4517,152,2336,55,2181,97
412002,2938,109,1497,41,1441,68
413100,3276,169,1715,66,1561,103
413201,1946,99,1023,42,923,57
413202,1430,63,774,35,656,28
413300,2677,162,1420,74,1257,88
413400,2498,129,1323,44,1175,85
413500,2819,186,1535,87,1284,99
414101,3211,141,1685,66,1526,75
414102,3987,229,2102,103,1885,126
414200,3303,164,1701,76,1602,88
415001,2556,131,1286,58,1270,73
415002,1494,75,777,39,717,36
416000,767,68,411,36,356,32
417100,1057,80,556,39,501,41
417200,591,52,301,21,290,31
418000,933,80,525,38,408,42
419000,1486,108,816,57,670,51
420000,720,62,427,40,293,22
421100,2772,112,1446,52,1326,60
421200,2709,107,1427,44,1282,63
422000,3357,95,1715,29,1642,66
423000,1330,51,755,34,575,17
424000,1577,106,887,63,690,43
425000,1751,105,942,46,809,59
426300,3530,228,1922,107,1608,121
426400,2457,169,1335,88,1122,81
426700,1238,110,659,52,579,58
426800,3132,211,1664,92,1468,119
427000,1446,81,804,42,642,39
427100,3253,190,1721,81,1532,109
427200,2583,166,1411,93,1172,73
428100,604,76,327,33,277,43
428200,1214,111,649,49,565,62
429100,1178,86,644,44,534,42
429201,2301,143,1201,62,1100,81
429202,2624,150,1448,67,1176,83
429300,3060,249,1680,117,1380,132
429400,2212,131,1197,56,1015,75
429500,2105,140,1199,69,906,71
429600,1652,104,928,52,724,52
429700,1240,109,659,48,581,61
430100,973,59,539,29,434,30
430200,2500,173,1380,90,1120,83
431100,1207,78,685,32,522,46
431400,790,43,445,15,345,28
431500,1182,60,644,31,538,29
432300,932,85,524,54,408,31
432400,1062,85,617,43,445,42
434000,977,33,517,18,460,15
435000,1228,80,647,37,581,43
437000,3116,129,1614,49,1502,80
439000,660,31,347,10,313,21
445500,1834,81,1030,36,804,45
446000,929,26,485,16,444,10
447000,637,19,346,10,291,9
448000,506,49,290,26,216,23
449000,1158,122,595,54,563,68
450700,1234,122,662,56,572,66
450800,995,90,541,52,454,38
451101,1761,108,954,49,807,59
451102,1756,137,923,59,833,78
451104,1798,81,940,35,858,46
451105,1657,114,864,50,793,64
451300,3857,246,2020,107,1837,139
452000,2183,143,1177,65,1006,78
453003,983,78,506,35,477,43
453004,2728,166,1470,82,1258,84
455000,768,70,393,31,375,39
456001,1067,47,569,17,498,30
456003,2278,123,1215,64,1063,59
456004,2282,133,1265,57,1017,76
457100,657,48,366,24,291,24
457200,1691,141,928,77,763,64
458000,4466,335,2404,154,2062,181
459101,890,62,462,26,428,36
459102,2867,171,1518,69,1349,102
459201,2912,182,1543,92,1369,90
459202,319,17,189,10,130,7
460001,2523,202,1381,94,1142,108
