fid(long),objectid(long),lupaid,palocali,lupid,lupanm,adminst,lupstatus,bndryinac,gisacres(double precision),lastedi_one,shape_st_ar(double precision),shape_st_le(double precision),shape_length(double precision),shape_area(double precision)
1,12,LUPA001616,,LUP-NV-016,Nellis,NV,EXIST,2008/08/20 00:00:00+00,29842.0,2017/09/29 00:00:00+00,0.0122825282792,1.03881676983,104236.896435983,120765112.617346
2,14,LUPA001602,,LUP-NV-002,Walker,NV,HIST,2001/05/09 00:00:00+00,4059574.0,2017/09/29 00:00:00+00,1.70181399657,7.82540084384,763242.162284545,16429393776.9705
3,15,LUPA001604,,LUP-NV-004,Egan,NV,HIST,2008/08/20 00:00:00+00,4592865.0,2017/09/29 00:00:00+00,1.94263374022,6.8505909066,681916.342601523,18586957907.8169
4,16,LUPA001605,,LUP-NV-005,Schell,NV,HIST,2008/08/20 00:00:00+00,4969761.0,2017/09/29 00:00:00+00,2.08233822599,8.83010306573,899422.624157466,20111988621.5057
5,17,LUPA001606,,LUP-NV-006,Caliente,NV,HIST,2008/08/20 00:00:00+00,3408884.0,2017/09/29 00:00:00+00,1.40452621918,7.32872967426,720509.497923997,13797008574.043
6,18,LUPA001603,,LUP-NV-003,Nellis Airforce Range,NV,HIST,2004/07/01 00:00:00+00,2202652.0,2017/09/29 00:00:00+00,0.908392703141,8.80125648689,860272.008945586,8913326326.99114
7,19,LUPA001607,,LUP-NV-007,Paradise-Denio,NV,HIST,2015/05/22 00:00:00+00,5127532.0,2017/09/29 00:00:00+00,2.23669139979,7.44482887148,706929.763556773,20750470619.0033
8,20,LUPA001601,,LUP-NV-001,Lahontan,NV,HIST,2001/05/09 00:00:00+00,4281198.0,2017/09/29 00:00:00+00,1.81132379545,9.99132909328,975661.727945562,17288286979.6176
9,21,LUPA001608,,LUP-NV-008,Sonoma-Gerlach,NV,HIST,2015/05/22 00:00:00+00,5998912.0,2017/09/29 00:00:00+00,2.57978730794,10.1501290907,978353.604723994,24276851172.7121
10,23,LUPA001622,,LUP-NV-022,Battle Mountain,NV,PRGS,2008/08/20 00:00:00+00,13476771.6168896,2017/10/05 00:00:00+00,5.6604225279,15.9919677507,1567433.18287086,54538559723.0048
11,25,LUPA001623,,LUP-NV-023,Basin and Range NM,NV,PRGS,2008/08/20 00:00:00+00,708023.24803385,2017/10/05 00:00:00+00,0.293693113397,3.95303432961,391405.102028645,2865268427.93307
12,1,LUPA001611,,LUP-NV-011,Elko Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,6121214.0,2021/10/19 00:00:00+00,2.6571052788,7.98238466211,777033.651744498,24771772403.6704
13,2,LUPA001609,,LUP-NV-009,Wells Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,6101344.0,2021/10/19 00:00:00+00,2.64484903913,8.04696611828,783324.076576321,24691375446.3198
14,3,LUPA001619,,LUP-NV-019,Ely Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,12874955.0,2021/10/19 00:00:00+00,5.38837352031,12.7513567184,1274965.23809172,52103291915.6762
15,4,LUPA001612,,LUP-NV-012,Tonopah Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,7675315.0,2021/10/19 00:00:00+00,3.19474921873,12.8479899476,1250078.7304562,31061021239.7891
16,5,LUPA001610,,LUP-NV-010,Shoshone-Eureka Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,5801403.0,2021/10/19 00:00:00+00,2.46568025098,8.91542268765,876926.649477171,23477537766.6078
17,6,LUPA001618,,LUP-NV-018,Sloan Canyon National Conservation Area Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,48490.0,2021/10/19 00:00:00+00,0.0195724167311,0.816863958449,81672.1993695898,196042216.939404
18,7,LUPA001617,,LUP-NV-017,Red Rock Canyon National Conservation Area Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,197721.0,2021/10/19 00:00:00+00,0.0804346581644,2.34109111905,238733.501395006,802317063.767159
19,8,LUPA001613,,LUP-NV-013,Las Vegas Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,4908838.0,2021/10/19 00:00:00+00,1.99031133976,13.3973209966,1335248.24261128,19863468737.6062
20,9,LUPA001625,,LUP-NV-025,Carson City Field Office Consolidated Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,8463614.0,2021/11/16 00:00:00+00,3.77368341053,11.7582394955,1153613.10542869,36184867558.0159
21,10,LUPA001615,,LUP-NV-015,Black Rock Desert-High Rock Canyon National Conservation Area Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,1222838.0,2021/10/19 00:00:00+00,0.531104426716,8.20893402523,776791.191802192,4948519516.85724
22,11,LUPA001621,,LUP-NV-021,Nevada Test and Training Range Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,2126690.0,2021/11/16 00:00:00+00,0.87721181294,8.50968048074,838574.134435398,8606521235.44512
23,13,LUPA001620,1311,LUP-NV-020,Winnemucca District Resource Management Plan,NV,EXIST,2008/08/20 00:00:00+00,10093840.2811083,2021/10/19 00:00:00+00,4.36823437532,16.8614359023,1610584.62300348,40848471342.1341
24,22,LUPA001614,,LUP-NV-014,Carson City District Resource Management Plan Revision,NV,PRGS,2008/08/20 00:00:00+00,8941475.93997383,2021/10/19 00:00:00+00,3.77368023575,11.7425740012,1151981.23388068,36184869332.9529
25,24,LUPA001626,***,LUP-NV-026,Las Vegas,NV,PRGS,2008/08/20 00:00o:00+00,4908857.14224006,2021/11/16 00:00:00+00,7.99031133976,67.3973209966,1335248.24261128,19863468766.6062
