objectid(long),id_three_zero_five_b,cyclevalue(long),namevalue,locationvalue,nhdbasin(long),acres(double precision),aquaticlife,recreation,fishconsumption,drinkingwatersupply,impaired,shape_area(double precision),shape_length(double precision)
1,CT7103-00-2-L5_01,2012,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",1100006,2.74,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,119447.385192871,3245.84224236113
2,CT8104-00-2-L5_01,2012,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,2030101,85.9,Not Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,3741697.38323975,11258.4021938887
3,CT7409-00-1-L3_01,3000,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",1100006,95.56,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting,Yes,4162510.79046631,14645.9219289646
5,CT7103-00-2-L3_01,2012,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",1100006,15.79,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,687951.067810059,4462.58250700232
6,CT7103-00-2-L4_01,2012,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",1100006,4.97,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,216249.04095459,3312.56720848001
7,CT5200-00-4-L2_01,2012,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",1100004,70.53,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,3072259.65930176,11639.4607225449
9,CT5207-02-1-L1_01,2012,Allen Brook Pond (North Haven/Wallingford),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.",1100004,4.79,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,208496.927490234,2759.56665168017
14,CT5111-09-1-L1_01,2012,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",1100004,21.58,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,940092.739685059,4467.48722353844
15,CT5111-09-1-L2_01,2012,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",1100004,22.92,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,998367.83996582,4155.48366401178
16,CT5305-00-3-L1_01,2012,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",1100004,2.72,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,118638.844787598,1654.87117050694
17,CT3700-00-2+L1_01,2087,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,1100001,189.28,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8245167.04309082,24334.3122219758
30,CT6000-00-5+L2_01,2012,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside).",1100005,580.57,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,25289589.4596558,72327.8061340757
34,CT3708-00-1-L1_01,2012,Roseland Lake (Woodstock),Southeast section of Woodstock.,1100001,96.38,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,4198419.69787598,10217.3549885235
45,CT3700-00-5+L4_01,2012,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",1100001,308.86,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,13453792.1264038,64711.4490705193
47,CT3805-00-3-L7_01,2012,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",1100002,57.2,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,2491844.77581787,14935.9782479158
54,CT3002-02-1-L2_01,2012,Amos Lake (Preston),"East of Rte 164, Preston.",1100003,112.42,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,4897161.93151855,13730.4604963511
58,CT1001-00-1-L1_01,2012,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.",1090005,98.94,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,4309780.11901855,13629.4506635298
61,CT6000-00-5+L2_02,2012,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",1100005,339.25,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,14777856.5875244,60747.8782723668
66,CT2205-02-1-L1_01,2012,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",1100003,29.59,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,1288826.92077637,5134.89383571494
92,CT6016-00-1-L3_01,2012,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook.",1100005,65.66,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2860026.72747803,9102.20490686439
93,CT6909-00-2-L1_01,1319,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",1100005,5.3,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,230909.922790527,2783.445119483
99,CT6916-00-3-L4_01,2012,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",1100005,25.77,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,1122637.76074219,9200.12640639479
100,CT6402-00-1-L1_01,2012,Ball Pond (New Fairfield),New Fairfield,1100005,80.7,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,3515310.78204346,9286.3574751367
102,CT6600-01-1-L3_01,2012,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",1100005,56.75,Fully Supporting,Not Supporting,Fully Supporting,Fully Supporting,Yes,2472100.46374512,8916.19982310384
