OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,OFFSET_FT,LEGAL_DESCR,ADMIN_ST,GlobalID,Shape_Length
33,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{BA41BB12-A4D1-4B1C-AFCD-DD70B9A61A14},76.6311427420414
34,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{71CB74E9-8C29-4980-B47E-65F3FEAA8E0D},4768.68850289798
35,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{151D6A58-BAC9-4FCA-92CF-8F09E8A22BD5},16.9725394514589
38,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{2A9E0DE2-B11D-4F6D-91F2-DC264E8BBEF0},0.602814935794453
40,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{9832CC91-E4BA-4633-88F4-F78B39319863},84.7996904475046
43,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{F65698C8-EBC4-4608-9AE4-B435486C4A8F},4.37387264663733
46,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{1880CC60-4CF4-47A6-B3FA-75D2A3B4D819},76.6897611365525
47,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{0ACF2A9B-C172-4E78-80C5-241701ABBE57},4623.37255594845
49,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{BEB0CA58-4CC2-4642-9305-75C572271FB6},84.7996904475046
51,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{31158CCD-2D36-48D9-97C2-DB272458006A},4873.89260719695
53,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{ADD7C947-73C4-4887-9BBF-29F2E78934B2},82688.4585435858
58,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{0125E8CC-DA0B-4376-BAA9-0DC686B4AA12},76.6311427420414
59,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{F0405F94-762D-4BD9-9EED-02BDA5782A5E},60238.4354108966
61,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{18ECF838-A980-40CC-B9C1-FBDEC4578A0E},9073.97845911764
62,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{734CDD3A-7508-426A-A8F8-5C395ECF9B32},50263.8876960666
64,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{A406B8A6-B9E3-40DF-BD34-6176EC457E18},51525.3750987029
67,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{DA7C57E2-079D-4916-8B25-8BA0AEE159D6},146.598871909301
70,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{31D49758-23C1-40FD-B501-175B5EB70518},16.9725394514589
74,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{3DE970F8-BA6E-45D8-BE6B-B8A70A31F044},945.372585495474
75,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{10ED637A-4F71-4F17-B279-5F0928B881ED},27.5742141423648
77,UNK,,UNK,,-1,0,As set by PL 116-9,UT,{6B5A623E-5C9C-4891-88B8-CDE30FA9FF65},170.205030031656
