319.boardpresident,Kylse Jones,Kyles Jones
523.countyname,TULSA       ***,TULSA       
488.phone,(580) 439-2d467,(580) 439-2467
369.districtname,OKULGEE                      ,OKMULGEE                      
194.superintendentsemail,tmorris@keoota.k12.ok.us,tmorris@keota.k12.ok.us
383.address,213 S WgWard,213 S Wg Ward
84.city,Swikn,Swink
64.districtname,SPRIGER                      ,SPRINGER                      
521.superintendent,Sherry Dqurkee,Sherry Durkee
198.websiteurl,wwwc.alvin.k12.ok.us,www.calvin.k12.ok.us
404.city,Cuhing,Cushing
536.address,125 sSouth Main,125 South Main
296.address,300 North Maple Swtreet,300 North Maple Street
127.address,9352 South 43T6h West Avenue,9352 South 436Th West Avenue
144.websiteurl,ww.kansasps.com,www.kansasps.com
302.superintendentsemail,cjellisor@bbisd.og,cjellisor@bbisd.org
272.statevalue,KO,OK
280.districtname,ADAIR                        ,ADAIR                         
102.websiteurl,wwwBishop.K12.ok.us,www.Bishop.K12.ok.us
234.districtname,BUFFALO VALLEsY                ,BUFFALO VALLEY                
427.superintendent,lCiff Johnson,Cliff Johnson
42.code,08I-012,08-I012
474.code,6o7-I015,67-I015
406.countyname,dPAYNE       ,PAYNE       
135.city,Thoas,Thomas
327.countyname,NOsWATA      ,NOWATA      
286.city,Wshington,Washington
506.phone,(580) 667-5286,(580) 667-5268
493.fax,(580) 252g-4231,(580) 252-4231
389.fax,(198) 885-6742,(918) 885-6742
401.phone,(918) 32-4567,(918) 372-4567
275.address,510 W Mcarthzur,510 W Mcarthur
377.code,57-0C03,57-C003
375.address,88k67 Chestnut Road,8867 Chestnut Road
1.boardpresident,Edwad Gass,Edward Gass
125.websiteurl,http://www.mannford.ka12.ok.us/,http://www.mannford.k12.ok.us/
39.boardpresident,Jim Hodosn,Jim Hodson
39.countyname,BYAN       ,BRYAN       
108.fax,(580) 58-6319,(580) 585-6319
192.statevalue,kOK,OK
458.websiteurl,nhttp://www.catoosaps.net/,http://www.catoosaps.net/
258.websiteurl,www.stroud.k12.ok.us***,www.stroud.k12.ok.us
88.code,12-I093,12-I039
353.phone,(405) 347-820,(405) 347-2820
484.websiteurl,wwwm.gans.k12.ok.us,www.gans.k12.ok.us
370.code,6-I002,56-I002
447.boardpresident,Randy Hammonzs,Randy Hammons
490.address,1030 Ash Aveneu,1030 Ash Avenue
250.fax,(918 567-3507,(918) 567-3507
185.address,507 West 6Th Stret,507 West 6Th Street
281.code,46-I0f16,46-I016
66.superintendent,Mer iJayne Miller,Meri Jayne Miller
508.countyname,TILLMAN     ***,TILLMAN     
185.websiteurl,www.granite.kv12.ok.us,www.granite.k12.ok.us
523.superintendentsemail,lwilson@bxbyps.org,lwilson@bixbyps.org
421.code,61I063,61-I063
519.countyname,TULSA       ***,TULSA       
349.superintendent,FredRhodes,Fred Rhodes
508.fax,(580) 479-3k381,(580) 479-3381
495.city,Manrlow,Marlow
101.code,16-C48,16-C048
5.city,Stilwel,Stilwell
199.statevalue,OlK,OK
215.statevalue,K,OK
168.code,25-0I72,25-I072
290.boardpresident,Jill Trqapp,Jill Trapp
286.countyname,MpCCLAIN     ,MCCLAIN     
95.address,111 S T4h,111 S 4Th
59.websiteurl,www.unioncity.k12.ok.us***,www.unioncity.k12.ok.us
94.districtname,NORMAN            e            ,NORMAN                        
256.fax,(98) 377-2553,(918) 377-2553
176.code,6-I068,26-I068
187.city,Lavenre,Laverne
67.address,1860 iHewitt Road,1860 Hewitt Road
254.code,41-C00s5,41-C005
322.websiteurl,www.perry.k2.ok.us,www.perry.k12.ok.us
174.code,26-I05u1,26-I051
205.superintendentsemail,gfouse@teral.k12.ok.us,gfouse@terral.k12.ok.us
132.countyname,CREEK       ***,CREEK       
314.superintendent,Dixie Sweringen,Dixie Swearingen
53.boardpresident,Miwke Keller,Mike Keller
455.countyname,ROGER MLLS ,ROGER MILLS 
161.phone,(40e5) 238-3021,(405) 238-3021
288.superintendent,Jason Mdikiff,Jason Midkiff
388.districtname,sWOODLAND                      ,WOODLAND                      
473.fax,(4p05) 382-3339,(405) 382-3339
49.address,708 N. Brodway,708 N. Broadway
358.countyname,OKLAHOMAh    ,OKLAHOMA    
