Population_Served,Fiscal_Year,Outcomes,Number_of_people_served,Date,ObjectId
Domestic Violence,17/18,Crisis basic needs were met,461,2018/06/30 07:00:00+00,1
Domestic Violence,17/18,Provided plan for continued safety,24,2018/06/30 07:00:00+00,2
Domestic Violence,17/18,Obtained permanent or stable housing,82,2018/06/30 07:00:00+00,3
Domestic Violence,17/18,Increased income by obtaining employment or improving employment status,22,2018/06/30 07:00:00+00,4
Working Poor,17/18,Gained knowledge about public services,1613,2018/06/30 07:00:00+00,5
Working Poor,17/18,Obtained Kids Save Financial education,412,2018/06/30 07:00:00+00,6
Working Poor,17/18,Secured legal services to maintain healthy safe & habitable housing for those facing homelessness,146,2018/06/30 07:00:00+00,7
Working Poor,17/18,Obtained meals to decrease food insecurity,13870,2018/06/30 07:00:00+00,8
Working Poor,17/18,Community Land Trust homes developed in Tempe,3,2018/06/30 07:00:00+00,9
Working Poor,17/18,Claimed Federal Tax Credits to increase household income and financial stability,1666,2018/06/30 07:00:00+00,10
Individuals with Disabilities,17/18,Maintain or improve ability to function independently and decrease isolation,528,2018/06/30 07:00:00+00,11
Individuals with Disabilities,17/18,Caregivers increase skills to care for family/friends with Alzheimer's,180,2018/06/30 07:00:00+00,12
Individuals with Disabilities,17/18,Increase job readiness skills,102,2018/06/30 07:00:00+00,13
Individuals with Disabilities,17/18,Maintained or improved their ability to perform activities of daily life,162,2018/06/30 07:00:00+00,14
Individuals with Disabilities,17/18,Received home upgrades to improve resident quality of life,3,2018/06/30 07:00:00+00,15
Seniors,17/18,Improved overall health and well-being including decreasing social isolation,610,2018/06/30 07:00:00+00,16
Seniors,17/18,Maintained independent living status & increased access to community resources,109,2018/06/30 07:00:00+00,17
Seniors,17/18,Maintained independent living status & received quality home care services,632,2018/06/30 07:00:00+00,18
Seniors,17/18,Increased access to basic needs,168,2018/06/30 07:00:00+00,19
Homeless,18/19,"Provided basic needs, rent assistance & ID's",645,2019/06/30 07:00:00+00,20
Homeless,18/19,Shelter where children receive 24 hr. care,36,2019/06/30 07:00:00+00,21
Homeless,18/19,"CAP Services, emergency rent/mortgage/utility assistance",325,2019/06/30 07:00:00+00,22
Homeless,18/19,Shelter and services,53,2019/06/30 07:00:00+00,23
Homeless,18/19,Shelter and services for women and babies,89,2019/06/30 07:00:00+00,24
Homeless,18/19,"Basic needs, case management and rent/utilities assistance",4904,2019/06/30 07:00:00+00,25
Homeless,18/19,Emergency Food boxes and backpacks,3016,2019/06/30 07:00:00+00,26
Homeless,18/19,Family shelter and services,58,2019/06/30 07:00:00+00,27
Homeless,18/19,Family transitional housing,61,2019/06/30 07:00:00+00,28
Homeless,18/19,Residential group home LBGTQ youth,47,2019/06/30 07:00:00+00,29
Homeless,18/19,Holistic healthcare and services,1220,2019/06/30 07:00:00+00,30
Homeless,18/19,Rotating lodging program,1451,2019/06/30 07:00:00+00,31
Homeless,18/19,Family shelter and services,16,2019/06/30 07:00:00+00,32
Homeless,18/19,Shelter and services for veterans,8,2019/06/30 07:00:00+00,33
Homeless,18/19,Shelter and housing for Youth,220,2019/06/30 07:00:00+00,34
Homeless,18/19,Shelter and services for individuals,241,2019/06/30 07:00:00+00,35
Homeless,18/19,Mobile outreach for behavioral health,1851,2019/06/30 07:00:00+00,36
Homeless,18/19,Case Management in transitional housing,60,2019/06/30 07:00:00+00,37
Homeless,18/19,Case Management in transitional housing,47,2019/06/30 07:00:00+00,38
Youth,18/19,Providing essentials for students so they are ready to learn,403,2019/06/30 07:00:00+00,39
Youth,18/19,24-hour peer supported hotline to prevent teen suicide,1345,2019/06/30 07:00:00+00,40
Youth,18/19,Property improvement to house youth ,2,2019/06/30 07:00:00+00,41
Youth,18/19,School-base primary prevention,169,2019/06/30 07:00:00+00,42
Youth,18/19,Financial literacy for students,3727,2019/06/30 07:00:00+00,43
Youth,18/19,Support to foster and adoptive homes,64,2019/06/30 07:00:00+00,44
Youth,18/19,"Academic support, character, citizenship and healthy lifestyles",500,2019/06/30 07:00:00+00,45
Youth,18/19,Supporting parents and caregivers,88,2019/06/30 07:00:00+00,46
Youth,18/19,Trained peer educators,4049,2019/06/30 07:00:00+00,47
Youth,18/19,Prevention programming in the schools and community locations,3045,2019/06/30 07:00:00+00,48
Youth,18/19,Early literacy,3280,2019/06/30 07:00:00+00,49
Youth,18/19,Healthy emotional and social skills for children and parents,394,2019/06/30 07:00:00+00,50
Youth,18/19,Survivors of suicide support,1332,2019/06/30 07:00:00+00,51
Youth,18/19,"Academic support, character, citizenship and healthy lifestyles",843,2019/06/30 07:00:00+00,52
Youth,18/19,One-to-one mentoring for youth 6-18,163,2019/06/30 07:00:00+00,53
Youth,18/19,Tutoring sessions for youth in shelter,47,2019/06/30 07:00:00+00,54
Seniors,18/19,Support to age in place,874,2019/06/30 07:00:00+00,55
Seniors,18/19,Alzheimer's disease support services,703,2019/06/30 07:00:00+00,56
Seniors,18/19,Non-medical homecare and support services,82,2019/06/30 07:00:00+00,57
Seniors,18/19,Case Management to seniors and caregivers,193,2019/06/30 07:00:00+00,58
Seniors,18/19,Day program for at-risk seniors,37,2019/06/30 07:00:00+00,59
Seniors,18/19,"Home delivered meals, activities and congregate meals",1656,2019/06/30 07:00:00+00,60
Seniors,18/19,Transportation for deaf seniors,49,2019/06/30 07:00:00+00,61
Working Poor,18/19,Food distribution and storage,163560,2019/06/30 07:00:00+00,62
Working Poor,18/19,Food distribution and storage,1875,2019/06/30 07:00:00+00,63
Working Poor,18/19,Food and connection to resources,29723,2019/06/30 07:00:00+00,64
Working Poor,18/19,Information and referral services,15121,2019/06/30 07:00:00+00,65
Working Poor,18/19,Latino adults and families education,559,2019/06/30 07:00:00+00,66
Working Poor,18/19,Free civil law services,162,2019/06/30 07:00:00+00,67
Youth,16/17,Participated in well-child literacy program,2704,2017/06/30 07:00:00+00,68
Youth,16/17,Improved resiliency and protective factors  related to suicide prevention,1843,2017/06/30 07:00:00+00,69
Youth,16/17,Achieved academic success in after school programs,1117,2017/06/30 07:00:00+00,70
Youth,16/17 ,Increased financial literacy,1083,2017/06/30 07:00:00+00,71
Youth,16/17,Demonstrated strong leadership skills,456,2017/06/30 07:00:00+00,72
Youth,16/17,Youth gained practical life skills & practiced healthy living,453,2017/06/30 07:00:00+00,73
Youth,16/17,Title I students prepared for school entry,264,2017/06/30 07:00:00+00,74
Youth,16/17,Increased skills & knowledge through Phone Friend program,198,2017/06/30 07:00:00+00,75
Youth,16/17,Increased knowledge about child abuse prevention,176,2017/06/30 07:00:00+00,76
Youth,16/17,Attended social skills training,123,2017/06/30 07:00:00+00,77
Youth,16/17,Demonstrated reduction in negative behaviors,106,2017/06/30 07:00:00+00,78
Youth,16/17,Developed their own case management plan (homeless teens),28,2017/06/30 07:00:00+00,79
Youth,16/17,Obtained certification for foster care/adoption,10,2017/06/30 07:00:00+00,80
Homeless,16/17,Prevented homelessness - avoiding eviction and utility cancellation,3762,2017/06/30 07:00:00+00,81
Homeless,16/17,Took steps to address their substance abuse or mental health issues beyond crisis,706,2017/06/30 07:00:00+00,82
Homeless,16/17,Created an action plan to end homelessness,556,2017/06/30 07:00:00+00,83
Homeless,16/17,Received on-site supportive services designed to reduce homelessness,115,2017/06/30 07:00:00+00,84
Homeless,16/17,Increased their level of self sufficiency including employment,68,2017/06/30 07:00:00+00,85
Homeless,16/17,Obtained stable housing,63,2017/06/30 07:00:00+00,86
Homeless,16/17,Achieved permanent housing,55,2017/06/30 07:00:00+00,87
Homeless,16/17,Acquired parenting skills training & education,55,2017/06/30 07:00:00+00,88
Homeless,16/17,"Developed monthly budget, addressed credit issues & established savings accounts",15,2017/06/30 07:00:00+00,89
Domestic Violence,16/17,Crisis basic needs were met,450,2017/06/30 07:00:00+00,90
Domestic Violence,16/17,Provided plan for continued safety,63,2017/06/30 07:00:00+00,91
Domestic Violence,16/17,Obtained permanent housing,37,2017/06/30 07:00:00+00,92
Domestic Violence,16/17,Increased income by obtaining employment or improving employment status,22,2017/06/30 07:00:00+00,93
Working Poor,16/17,Gained knowledge about public services,1613,2017/06/30 07:00:00+00,94
Working Poor,16/17,Obtained Kids Save Financial education,412,2017/06/30 07:00:00+00,95
Working Poor,16/17,Secured legal services to maintain healthy safe & habitable housing for those facing homelessness,119,2017/06/30 07:00:00+00,96
Working Poor,16/17,Obtained/maintained employment after being previously incarcerated,92,2017/06/30 07:00:00+00,97
Working Poor,16/17,Community Land Trust homes developed in Tempe,4,2017/06/30 07:00:00+00,98
Individuals with Disabilities,16/17,Maintain or improve ability to function independently and decrease isolation,756,2017/06/30 07:00:00+00,99
Individuals with Disabilities,16/17,Provided quality care for persons with Alzheimer's,517,2017/06/30 07:00:00+00,100
Individuals with Disabilities,16/17,Obtained employment,364,2017/06/30 07:00:00+00,101
