year,state,hai,operative_procedure,facid_one,facility_name_one,facid_two,facility_name_two,facid_three,facility_name_three,county,procedure_count,infection_count,notes
2013,California,SSI, Heart transplant,220000022,"California Pacific Medical Center, Pacific Campus Hospital, SF",220000002,"California Pacific Medical Center, CA West Campus  Hospital, SF",.,.,San Francisco,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,930000004,"Cedars-Sinai Medical Center, Los Angeles",.,.,***,,Los Angeles,140.0,1.0,NULL
2013,California,SSI, Heart transplant,930000034,Childrens Hospital of Los Angeles,.,.,.,.,Los Angeles,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,930000912,Childrens Hospital of Los Angeles,.,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",.,.,Los Angeles,20.0,0.0,NULL
2013,California,SSI, Heart transplant,930000004,"Loma Linda UNIV Medical Center, Loma Linda",.,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,930000034,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",220000002,.,c.,.,Santa Clara,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,220000022,"Ronald Reagan UCLA Medical Center, Los Angeles",220000002,.,.,.,Los Angeles,58.0,0.0,NULL
2013,California,SSI, Heart transplant,930000004,"Sharp Memorial Hospital, San Diego",.,.,.,.,San Diego,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,70001357,"Loma Linda UNIV Medical Center, Loma Linda",220000002,.,.,.,Santa Clara,45.0,0.0,NULL
2013,California,SSI, Heart transplant,30000151,"Cedars-Sinai Medical Center, Los Angeles",030000112,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",.,.,Sacramento,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Heart transplant,220000031,"Loma Linda UNIV Medical Center, Loma Linda",220000015,.,.,.,San Francisco,NULL,NULL,~ See Data Dictionary
