No.,Part #,Part # / Description,List Price,Price,Unnamed: 5
2,8-97179-673-1,"8-97179-673-1 / RAIL ASSY., L. FUEL INJECTOR",$100.18,$70.93,
2,8-97179-672-1,"8-97179-672-1 / RAIL ASSY., R. FUEL INJECTOR",-,-,
4,8-17113-399-0,8-17113-399-0 / INJECTOR ASSY.,$158.25,$112.04,
12,8-25354-054-0,"8-25354-054-0 / CLIP, INJECTOR",$3.23,$2.29,
12,8-25354-054-0,8-25354-054-0 / CLIP INJECTOR,$3.23,$2.29,
12,8-25354-054-0,8-25354-054-0 / CLIP INJECTOR,$3.23,$2.29,
23,8-25166-846-1,"8-25166-846-1 / METER ASSY., AIR FLOW",-,-,
56,8-16212-460-0,"8-16212-460-0 / SENSOR, MAP",$107.87,$76.37,
191,0-28050-612-0,"0-28050-612-0 / BOLT, SHROUD",$1.62,$1.14,
65,8-97367-984-1,8-97367-984-1 / CLIP BAND,$2.42,$1.71,
65,8-97367-984-1,"8-97367-984-1 / CLIP, TRANSMISSION HARNESS (ID=8.5)",$2.42,$1.71,
67,8-97254-845-0,8-97254-845-0 / REGULATOR ASM PRESS,$110.82,$78.46,
196,8-97148-892-1,"8-97148-892-1 / CLIP, FUEL HOSE (12MM)",$2.08,$1.48,
196,8-97148-892-1,"8-97148-892-1 / CLIP, RUBBER HOSE FUEL (ID=12)",$2.08,$1.48,
196,8-97148-892-1,8-97148-892-1 / CLAMP RUBBER HOSE,$2.08,$1.48,
184,0-28050-816-0,"0-28050-816-0 / BOLT, LK PLATE",$1.33,$0.94,
188,0-01558-300-0,"0-01558-300-0 / HOSE, RUBBER FUEL",$239.58,$169.63,
193,8-94386-089-0,8-94386-089-0 / BOLT (5X12),$2.18,$1.55,
195A,8-97257-804-0,"8-97257-804-0 / HOSE, FUEL RUBBER (A =106) (W/PROTECTOR )",$24.97,$17.68,
195B,8-97136-350-0,"8-97136-350-0 / HOSE, RUBBER FUEL",$24.32,$17.22,
219,8-97136-347-2,"8-97136-347-2 / BRACKET, MAP SENSOR",$18.25,$12.92,
230,8-97136-254-2,"8-97136-254-2 / PIPE, FUEL",$50.25,$35.58,
278,8-97166-646-2,"8-97166-646-2 / HOSE, PRESSURE REGULATOR",$3.98,$2.82,
278,8-97166-646-2,8-97166-646-2 / HOSE PRESSURE REG,$3.98,$2.82,
293,8-17113-400-0,"8-17113-400-0 / GASKET, INJECTOR",$30.83,$21.83,
333,8-97179-766-0,"8-97179-766-0 / GASKET, FUEL RETURN",-,-,
339,8-97148-718-2,"8-97148-718-2 / PROTECTOR, PRESSURE REGULATOR",$13.25,$9.38,
340,9-05820-816-0,"9-05820-816-0 / BOLT, SENSOR ROTOR (P=1.25)",$1.82,$1.29,
353,8-97119-713-0,"8-97119-713-0 / CONNECTOR, L. PRESSURE",$1.68,$1.19,
