license_no(long),license_type,issue_date,license_status,expiredate,legal_name,street_one,street_two,city,statevalue,zip,county_code(long)
70159035,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,WALGREEN EASTERN CO INC,112 W STEUBEN ST,,CRAFTON,PA,15205-2604,2
70167117,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,5300 RTE 8,HAMPTON,GIBSONIA,PA,15044,2
70159040,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,1741 WASHINGTON RD,,PITTSBURGH,PA,15241-1201,2
70159042,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4 OLD CLAIRTON RD,,PITTSBURGH,PA,15236-3905,2
70159043,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,10707 FRANKSTOWN RD,,PITTSBURGH,PA,15235-3040,2
2220396,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,JAVED I AHMED INC,421 BUTLER ST,,ETNA,PA,15223,2
70167122,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,899 FREEPORT RD,,CREIGHTON,PA,15030-1065,2
70159049,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,5956 PENN CIR S,,PITTSBURGH,PA,15206-3830,2
2265114,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2269 NOBLESTOWN RD,,PITTSBURGH,PA,15205,2
2265115,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,3915 WILLIAM FLYNN HIGHWA,,ALLISON PARK,PA,15101,2
2265116,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,4630 WILLIAM FLYNN HWY,,ALLISON PARK,PA,15101-2440,2
2265117,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,4775 MCKNIGHT RD,,PITTSBURGH,PA,15237-3417,2
2265118,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,6250 LIBRARY RD,,BETHEL PARK,PA,15102-4016,2
2265120,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,8136 OHIO RIVER BLVD,,PITTSBURGH,PA,15202-1578,2
2265121,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,650 CLAIRTON BLVD,,PITTSBURGH,PA,15236-3812,2
2265124,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2 HECKEL RD,,MC KEES ROCKS,PA,15136-1652,2
2265128,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,1102 PERRY HWY,,PITTSBURGH,PA,15237-2113,2
2265130,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,10594 PERRY HWY,,WEXFORD,PA,15090-9244,2
2265134,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,6106 SALTSBURG RD,,VERONA,PA,15147-3524,2
70159052,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,133 W 8TH AVE,,HOMESTEAD,PA,15120-1008,2
70159056,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,6201 SALTSBURG ROAD,,PITTSBURGH,PA,15235,2
70159062,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,324 HULTON RD,,OAKMONT,PA,15139-1917,2
2266598,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,3955 FORBES AVE,,PITTSBURGH,PA,15213,2
2268188,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,1101 BROOKLINE BLVD,,PITTSBURGH,PA,15226,2
2268882,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,333 THOMPSON RUN RD,,PITTSBURGH,PA,15237-3367,2
70167159,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,1505 PITTSBURGH ST,,CHESWICK,PA,15024-1521,2
70167160,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,2003 GOLDEN MILE HWY,,PITTSBURGH,PA,15239,2
70159068,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,30 PINE CREEK RD,,WEXFORD,PA,15090-9314,2
70159069,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4885 MCKNIGHT RD,,PITTSBURGH,PA,15237-3400,2
70159070,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,1701 WILLIAM FLYNN HWY,,GLENSHAW,PA,15116-1747,2
2200015,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,WAGNERS MARKET INC,4978 MIDDLE RD,,GIBSONIA,PA,15044,2
2010617,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,TOM BETER INC,908 LITTLE DEER CRK VLYRD,,RUSSELLTON,PA,15076,2
2011514,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,STANTON NEGLEY DRUG CO,804 N NEGLEY AVE,,PGH,PA,15206,2
70167195,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,251 CURRY HOLLOW RD,PLEASANT HILLS,PITTSBURGH,PA,15236,2
