449.countyname,ROEGRS,ROGERS
143.countyname,DELAWAER,DELAWARE
105.phone,(580) 57-6900,(580) 357-6900
348.websiteurl,http://www.cnpzschools.org/,http://www.cnpschools.org/
388.websiteurl,http://www.pawnee.k12.ok.us/***,http://www.pawnee.k12.ok.us/
507.code,72I080,72I008
118.websiteurl,http://ww.gypsy.k12.ok.us,http://www.gypsy.k12.ok.us
82.districtname,SWIK,SWINK
374.boardpresident,Michaezl Godfrey,Michael Godfrey
172.code,26Ig051,26I051
259.websiteurl,http://www.arga.k12.ok.us/,http://www.agra.k12.ok.us/
20.fax,(918) 696-2192,(580) 625-3690
359.boardpresident,Gry Hudgens,Gary Hudgens
263.boardpresident,Carl Wiliams,Carl Williams
79.fax,(91j8) 772-2766,(918) 772-2766
316.superintendent,Kayiln Coody,Kaylin Coody
34.code,03I015,07I003
101.mailingaddress,"102 East H Ave
Cache, OK73527
(34.62352263100047, -98.62286048299967)","102 East H Ave
Cache, OK 73527
(34.62352263100047, -98.62286048299967)"
358.fax,(405) 87-0443,(405) 587-0443
192.districtname,MOS,MOSS
528.phone,(580) 256-663,(580) 256-6063
383.phone,(918) 675i-4316,(918) 675-4316
158.mailingaddress,"400 E Maine
Covington, OK 7373
(36.30586790900048, -97.58262078999968)","400 E Maine
Covington, OK 73730
(36.30586790900048, -97.58262078999968)"
81.phone,5(80) 326-8315,(580) 326-8315
461.websiteurl,http://www.strther.k12.ok.us,http://www.strother.k12.ok.us
44.superintendent,aWde Stafford,Wade Stafford
186.code,r30I004,30I004
332.districtname,GRAHAM-DUSTNI,GRAHAM-DUSTIN
527.websiteurl,http:/www.freedom.k12.ok.us,http://www.freedom.k12.ok.us
439.districtname,LEDEY,LEEDEY
140.fax,(918) 786-9635,(918) 786-9365
288.websiteurl,http://www.blanchard.k1.2ok.us,http://www.blanchard.k12.ok.us
294.mailingaddress,"200 Northeast Avenue C
Idabel, OK 74745
(3.389796201500047, -94.82535811499969)","200 Northeast Avenue C
Idabel, OK 74745
(33.89796201500047, -94.82535811499969)"
301.fax,(58l0) 584-9482,(580) 584-9482
467.fax,(9f18) 875-3201,(918) 875-3201
50.fax,(918) 422-5556,(405) 656-2267
10.mailingaddress,"401 Main St.
Burlington, OK 73722
(36.90600242400046, -98.42300518099967)","89660 S 4637 Rd
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)"
27.phone,(580) 431-2501,(580) 526-3476
483.phone,(80) 338-6712,(580) 338-6712
134.phone,(580e) 323-1800,(580) 323-1800
24.superintendent,Jeff Daugerty,Jeff Daugherty
501.boardpresident,Krisat Polanski,Krista Polanski
188.countyname,HASfKELL,HASKELL
481.phone,(c580) 658-6858,(580) 658-6858
447.code,s66I003,66I003
298.fax,(580) 2447-583,(580) 244-7583
334.phone,(405) 427-7371,(405) 427-3771
115.districtname,BLUJACKET,BLUEJACKET
522.phone,(580) 56-4844,(580) 562-4844
529.code,77I0u02,77I002
470.websiteurl,http://wwwmuldrowps.org/,http://www.muldrowps.org/
79.code,11I061,11I016
443.phone,(50) 473-2221,(580) 473-2221
439.fax,w(580) 488-3428,(580) 488-3428
43.phone,(580) 596-3391,(580) 654-1470
481.mailingaddress,"Rural Route 3 Box 249
Marlow, OK 73055
(34.63555282000044, -97.9319498219997)","Rural Route 3, Box 249
Marlow, OK 73055
(34.63555282000044, -97.9319498219997)"
59.mailingaddress,"729 North Perry Street
Bennington, OK 74723
(34.00723543500044, -96.0382560869997)","906 South Heights Drive
Mustang, OK 73064
(35.38545347000047, -97.7307527589997)"
352.code,5I5012,55I012
23.countyname,BEAVR,BEAVER
376.code,7I030,57I030
296.phone,580) 933-7232,(580) 933-7232
164.mailingaddress,"301 North Chickasaw
Pauls Valley, OK 73075
(34741869102000464, -97.22115568799967)","301 North Chickasaw
Pauls Valley, OK 73075
(34.741869102000464, -97.22115568799967)"
436.superintendent,Randal Erwin,Randall Erwin
53.websiteurl,htytp://www.darlingtonps.com,http://www.darlingtonps.com
454.mailingaddress,"617 N. Timmons
Seminole, OK 74868
(35.23924354000047, -h96.66801813699965)","617 N. Timmons
Seminole, OK 74868
(35.23924354000047, -96.66801813699965)"
206.fax,(580) 22-83428,(580) 228-3428
480.superintendent,Vicki Daviscon,Vicki Davison
108.boardpresident,rent Peters,Brent Peters
124.phone,(198) 352-9567,(918) 352-9567
495.code,71I49,71I249
66.code,09C070,10I043
463.countyname,SEQUOYHA,SEQUOYAH
