countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
ADAIR,01C019,PEAVINE,"77943 Hwy 59 N. Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Jack Ritchie,Billy Craig
ADAIR,01C022,MARYETTA,"Rural Route 6, Box 2840 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Mesans,Larry Eagleton
ADAIR,01C024,ROCKY MOUNTAIN,"Rural Route 1, Box 665 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7509,(918) 696-3654,http://www.rockymtn.k12.ok.us,Terry Mays,Tonya Tidwell
ADAIR,02I001,ZION,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7866,(918) 696-6226,http://www.zionjets.com,Charlse Benham,Gary Horn
ADAIR,01C029,DAHLONEGAH,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7807,(918) 696-2192,http://www.dahlonegah.k12.ok.us,Jeff Limore,Randy Mccarter
ADAIR,01C032,GREAmSY,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(918) 696-7768,(580) 646-3499,http://Butner.k12.ok.us,Mary Fletcher,Arthur Ross
ADAIR,01I004,WATTS,"401 Main St. Burlington, OK 73722 (36.90600242400046, -98.42300518099967)",(918) 422-5311,(918) 422-5556,http://Butner.k12.ok.us,Lisa Weaver,Melissa Reynolds
ADAIR,01I011,WESTVILLE,"Rural Route 6, Box 2840 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,Joe Funburg
ADAIR,01I030,STILWELL,"Rural Route 1, Box 665 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,Bill Muskrat
ADAIR,01I030,CAVE SPRINGS,"401 Main St. Burlington, OK 73722 (36.90600242400046, -98.42300518099967)",(918) 775-2364,(918) 723-3042,http://www.cavesprings.k12.ok.us,Terry Mays,Dale Winkler
ALFALFA,02I001,BURLINGTON,"401 Main St. Burlington, OK 73722 (36.90600242400046, -98.42300518099967)",(580) 431-2501,(918) 422-5556,http://www.burlingtonschool.cnom/,Glen Elliott,Terry Graham
ALFALFA,06I105,CHEROKEE,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 596-3391,(918) 696-2193,http://cherokee.k12.ok.us/,Cory Ellis,Amber Wilhite
ALFALFA,02I093,TIMBERLAKE,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 852-3307,(580) 852-3280,http://www.tlake.k12.ok.us,Brent Rousey,Anne Overton
ATOKA,01I011,HARMONY,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(580) 889-3687,(580) 852-3280,http://www.harmonyps.org,Mark Thomas,Cecil Mackey
ATOKA,03I015,LANE,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(580) 889-2743,(918) 696-2193,http://lanepublicschool.com/,Roland Smith,Rebecca Sandmann
ATOKA,06I105,STRINGTOWN,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 346-7423,(580) 346-7223,http://www.stringtown.k12.ok.us,Tony Potts,Jerry Elrod
ATOKA,03I015,ATOKA,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 889-6611,(918) 696-2193,http//www.atoka.org,Dwayne Noble,Keith Cochran
ATOKA,03I019,TUSHKA,"401 Main St. Burlington, OK 73722 (36.90600242400046, -98.42300518099967)",(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Billy Pingleton,Bennie Evans
ATOAK,03I026,CANEY,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(580) 889-1996,(580) 889-5033,http://www.caneyisd.org,Lori Boehme,Mandy Lawson
