Case_Id,Case_Status,Case_ProgramYear,ZipCode,Contact_DistrictLocation,Contact_Neighborhood,InquiryForm_1978,InquiryForm_Children,InquiryForm_Disabled,InquiryForm_Elderly,Household_Size,Household_AMIRatio,Borrower_1_Ethnicity,Borrower_1_Gender,Borrower_1_Race,Funding_ARP_AmericanRescuePlan,ObjectId
10757,Initial Inspection,2022,40212,5,Shawnee,Yes,No,Yes,Yes,1,21.80%,Non-Hispanic,Male,African American, $-   ,1
10776,Initial Inspection,2022,40216,3,Shively,Yes,Yes,No,No,4,33.86%,Non-Hispanic,Female,African American,"$2,139.51 ",2
11919,Case in Progress,2022,40211,5,Shawnee,Yes,No,No,Yes,2,44.88%,Non-Hispanic,Female,African American, $-   ,3
11933,Case Closed,2022,40210,3,Algonquin,Yes,No,Yes,Yes,1,21.52%,Non-Hispanic,Female,African American,"$24,334.52 ",4
11934,Initial Inspection,2022,40210,6,Park Hill,Yes,No,No,No,2,77.08%,Unknown,Female,African American,"$5,108.39 ",5
11954,Case Closed,2022,40216,3,Shively,Yes,No,No,No,3,44.35%,Unknown,Female,African American,"$13,175.00 ",6
11975,Ready for Assignment,2023,40216,3,,Yes,No,No,Yes,1,30.02%,Non-Hispanic,Female,African American, $-   ,7
11983,Initial Inspection,2022,40211,4,California,Yes,No,Yes,No,2,69.10%,Non-Hispanic,Male,African American,"$24,178.15 ",8
11990,Case Closed,2022,40211,4,Parkland,No,No,Yes,Yes,1,64.08%,Non-Hispanic,Male,African American, $-   ,9
12001,Initial Inspection,2022,40210,3,Sunnydale,Yes,Yes,Yes,Yes,1,70.12%,Non-Hispanic,Female,African American,"$5,108.39 ",10
12004,Case Closed,2022,40211,1,Park Duvalle,No,No,No,No,2,12.36%,Non-Hispanic,Female,African American,"$10,555.39 ",11
12016,Case Closed,2022,40211,4,Russell,Yes,Yes,No,Yes,1,20.05%,Non-Hispanic,Female,,"$24,895.63 ",12
12035,Initial Inspection,2022,40216,3,Cloverleaf,Yes,No,Yes,No,1,19.54%,Non-Hispanic,Male,African American, $-   ,13
12038,Initial Inspection,2022,40216,12,Pleasure Ridge park,Yes,No,Yes,Yes,2,57.97%,Non-Hispanic,Male,White, $-   ,14
12418,Case in Progress,2022,40211,5,Chickasaw ,Yes,No,Yes,Yes,1,44.21%,Non-Hispanic,Female,African American, $-   ,15
12627,Case in Progress,2022,40212,5,Shawnee,Yes,No,No,No,1,36.50%,Non-Hispanic,Male,African American,"$29,314.63 ",16
12642,Case Closed,2022,40216,3,Shively,Yes,No,Yes,Yes,5,20.03%,Non-Hispanic,Female,African American,"$23,560.45 ",17
12739,Initial Inspection,2022,40212,5,Russell,Yes,No,No,No,1,94.41%,Non-Hispanic,Male,African American,$813.54 ,18
12752,Initial Inspection,2022,40211,5,Russell,Yes,No,No,No,1,74.33%,Non-Hispanic,Male,African American, $-   ,19
12821,Application In Progress,2022,40215,15,Wyandotte,No,Yes,No,No,3,55.08%,Unknown,Female,Unknown, $-   ,20
12870,Application In Progress,2022,40211,1,Park Duvalle,No,No,No,No,1,147.92%,Non-Hispanic,Male,African American, $-   ,21
12984,Case In Progress 2,2022,40210,2,Newburg,Yes,No,No,Yes,1,22.61%,Non-Hispanic,Female,African American,"$30,850.00 ",22
