psapid,psap_name,county,city,state,typeof_changefulltext,date_last_modified,geocode_city_level
5093,Hamburg Public Safety,Erie,Erie,NY,No Changes have been made.,NULL,"Erie, NY"
445,Hopi Police Department,Navajo,NULL,AZ,No Changes have been made.,NULL,"Gallup, NM
(35.519123, -108.739769)"
2619,Miami County E9-1-1,Miami,Peru,IN,No Changes have been made.,NULL,"Peru, IN
(40.753762, -86.069115)"
2321,Markham,Cook,Markham,IL,No Changes have been made.,NULL,"Markham, IL
(41.593513, -87.694621)"
2984,Martin County 9-1-1,Martin,Inez,KY,No Changes have been made.,NULL,"Inez, KY
(37.866646, -82.539105)"
2984,Hometown Etsb,Cook,Hometown,IL,No Changes have been made.,NULL,"Hometown, IL
(41.73199, -87.73231)"
2619,Burnham Police,Cook,Burnham,IL,No Changes have been made.,NULL,"Burnham, IL
(41.641544, -87.541402)"
2984,Tioga County 9-1-1,Tioga,Owego,NY,No Changes have been made.,NULL,"Owego, NY
(42.103237, -76.263163)"
4972,State Police-gallup,Mckinley,Gallup,NM,No Changes have been made.,NULL,"Gallup, NM
(35.519123, -108.739769)"
5475,Parma Police,Ashtabula,Parma,OH,No Changes have been made.,NULL,"Parma, OH
(41.384498, -81.734664)"
5688,Cheyenne City Police,Laramie,Cheyenne,WY,No Changes have been made.,NULL,"Cheyenne, WY
(41.14024, -104.818802)"
7531,Waupaca County Sheriff,Waupaca,Waupaca,WI,No Changes have been made.,NULL,"Waupaca, WI
(44.358804, -89.084882)"
7344,Sauk-suiattle Tribal Police Department,Snohomish,Darrington,WA,No Changes have been made.,NULL,"Darrington, WA
(48.255271, -121.604924)"
4972,Casper Police Department,Natrona,Casper,WY,No Changes have been made.,NULL,"Casper, WY
(42.850087, -106.325203)"
2984,Seattle Police Department,King,Seattle,WA,No Changes have been made.,NULL,"Seattle, WA
(47.603229, -122.33028)"
5137,New York City Police Department -brooklyn,New York,Brooklyn,NY,No Changes have been made.,NULL,"Brooklyn, NY
(40.692529, -73.990996)"
4972,Del Rio Police Department,Val Verde,Del Rio,TX,No Changes have been made.,NULL,"Del Rio, TX
(29.365723, -100.897922)"
7656,Torrington Police Department,Goshen,Torrington,WY,No Changes have been made.,NULL,"Torrington, WY
(42.067992, -104.182981)"
5137,E-com Dispatch Center,Cook,Homewood,IL,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL
(41.563348, -87.668329)"
6574,Everman Police Department,Tarrant,Everman,TX,No Changes have been made.,NULL,"Everman, TX
(32.632014, -97.287121)"
7344,Taylor County,Taylor,Medford,WI,No Changes have been made.,NULL,"Medford, WI
(45.14287, -90.342964)"
5211,Suffolk County Police Department,Suffolk,Yaphank,NY,No Changes have been made.,NULL,"Yaphank, NY
(40.837128, -72.912138)"
3354,Clare County Central Dispatch,Clare,Harrison,MI,No Changes have been made.,NULL,"Harrison, MI
(42.58763, -82.81854)"
2619,Daniels County Sheriffs Office,Daniels,Scobey,MT,No Changes have been made.,NULL,"Scobey, MT
(48.79142, -105.420396)"
4972,Largo Police Department,Pinellas,Largo,FL,No Changes have been made.,NULL,"Largo, FL
(27.91829, -82.774936)"
2847,Caledonia Police,Racine,Caledonia,WI,No Changes have been made.,NULL,"Caledonia, WI
(42.814847, -87.914135)"
