yearvalue,statevalue,hai,operativeprocedure,facidone,facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount,infectioncount,notes
2013,California,SSI,Heart transplant,220000022.0,"California Pacific Medical Center, Pacific Campus Hospital, SF",220000002,"California Pacific Medical Center, CA West Campus Hospital, SF",.,.,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000004.0,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,.,Los Angeles,140.0,1.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000034.0,Childrens Hospital of Los Angeles,.,.,.,.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000912.0,"Keck Hospital of USC, Los Angeles",.,.,.,.,Los Angeles,20.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,240000027.0,"Loma Linda UNIV Medical Center, Loma Linda",240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,70001349.0,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,.,.,Santa Clara,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000162.0,"Ronald Reagan UCLA Medical Center, Los Angeles",.,.,.,.,Los Angeles,58.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,80000036.0,"Sharp Memorial Hospital, San Diego",.,.,.,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,70001357.0,"Stanford Hospital, Stanford",.,.,.,.,Santa Clara,45.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,30000151.0,"Sutter General Hospital, Sacramento",030000112,"Sutter Memorial Hospital, Sacramento",.,.,Sacramento,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,220000031.0,"UCSF Medical Center, San Francisco",220000015,"UCSF Medical Center at Mount Zion, San Francisco",.,.,San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,90000154.0,"University of California, San Diego Medical Center",090001116,"UCSD-La Jolla, John M.& Sally B. Thornton Hospital",.,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,60000002.0,"AHMC Anaheim Regional Medical Center, Anaheim",.,.,.,.,Orange,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,40000122.0,"Adventist Medical Center, Hanford",630012960,Adventist Medical Center-Selma,.,.,Kings-Fresno,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000034.0,"Alameda County Medical Center, Oakland",140000184,"Alameda County Medical Center-Fairmont Campus, San Leandro",.,.,Alameda,29.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000012.0,"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley",140000006,"Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,.,Alameda,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000425.0,"Alta Bates Summit Medical Center, Oakland",140000203,"Alta Bates Summit Medical Center, Summit Campus, Oakland",.,.,Alameda,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,90000013.0,"Alvarado Hospital Medical Center, Campus #1, San Diego",090000839,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,.,San Diego,21.0,0.0,~ See Data Dictionary
