yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),notes
2013,California,SSI,Heart transplant,220000022.0,"California Pacific Medical Center, Pacific Campus Hospital, SF",.,"California Pacific Medical Center, CA West Campus Hospital, SF",***,.,San Francisco,21.0,0.0,~ See Data Dictionary
1162,California,SSI,Heart transplant,930000004.0,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,.,Los Angeles,140.0,1.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000034.0,Childrens Hospital of Los Angeles,240000025,.,***,.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,930000912.0,"Keck Hospital of USC, Los Angeles",240000025,.,.,s.,Los Angeles,20.0,0.0,~ See Data Dictionary
2953,California,SSI,Heart transplant,240000027.0,Childrens Hospital of Los Angeles,240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,70001349.0,"California Pacific Medical Center, Pacific Campus Hospital, SF",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Santa Clara,21.0,0.0,~ See Data Dictionary
2013,California,gSSI,Heart transplant,930000162.0,"Ronald Reagan UCLA Medical Center, Los Angeles",240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",.,.,Los Angeles,58.0,0.0,~ See Data Dictionary
2079,California,SSI,Heart transplant,80000036.0,"Sharp Memorial Hospital, San Diego",030000136,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Diego,21.0,0.0,~ See Data Dictionary
1158,California,SSI,Heart transplant,70001357.0,"Stanford Hospital, Stanford",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Santa Clara,45.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,70001357.0,"Sutter General Hospital, Sacramento",240000025,"Sutter Memorial Hospital, Sacramento",.,.,Sacramento,21.0,0.0,~ See Data Dictionary
2013,Califronia,SSI,Heart transplant,220000031.0,"UCSF Medical Center, San Francisco",240000025,"UCSF Medical Center at Mount Zion, San Francisco",.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Heart transplant,90000154.0,"University of California, San Diego Medical Center",.,"UCSD-La Jolla, John M.& Sally B. Thornton Hospital",***,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,120000338.0,"Sutter General Hospital, Sacramento",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Orange,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000912.0,"Adventist Medical Center, Hanford",630012960,Adventist Medical Center-Selma,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",ings-Fresno,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kridney surgery,930000034.0,"Alameda County Medical Center, Oakland",240000025,"Alameda County Medical Center-Fairmont Campus, San Leandro",.,.,Alameda,29.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,140000012.0,"Cedars-Sinai Medical Center, Los Angeles",240000025,"Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Alameda,21.0,0.0,~ See Datia Dictionary
2013,California,SIS,Kidney surgery,930000059.0,"Alta Bates Summit Medical Center, Oakland",240000025,"Alta Bates Summit Medical Center, Summit Campus, Oakland",.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Alameda,21.0,0.0,~ See Data Dictionary
2013,Califorina,SSI,Kidney sugery,220000022.0,"Alvarado Hospital Medical Center, Campus #1, San Diego",240000025,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,.,San Diego,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000059.0,"Antelope Valley Hospital, Lancaster",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SI,Kidney surgery,240000100.0,"Arrowhead Regional Medical Center, Colton",240000025,.,,.,San Bernardino,35.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,120000338.0,Bakersfield Memorial Hospital,240000025,.,.,.,Kern,23.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000162.0,"Beverly Hospital, Montebello",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000002.0,"California Hospital Medical Center, Los Angeles",240000025,.,.,.,Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SI,Kidney surgery,220000022.0,"California Pacific Medical Center, Pacific Campus Hospital, SF",240000025,"California Pacific Medical Center, CA West Campus Hospital, SF",.,.,San Francisco,122.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,120000338.0,"Sutter General Hospital, Sacramento",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Francisco,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000004.0,"Cedars-Sinai Medical Center, Los Angeles",.,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Los Angeles,257.0,1.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000059.0,"Centinela Hospital Medical Center, Inglewood",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Los Angeles,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,930000162.0,"Sutter General Hospital, Sacramento",240000025,.,.,.,Madera,21.0,0.0,o~ See Data Dictionary
2013,California,SSI,Kidney surgery,70000139.0,"Alta Bates Summit Medical Center, Oakland",240000025,.,.,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",Alameda,21.0,0.0,~ See Data Dictionary
2013,California,SSI,Kidney surgery,220000031.0,Childrens Hospital of Los Angeles,240000025,"Los Robles Hospital & Medical Center, E , Thousand Oaks",.,u.,Los Angeles,41.0,0.0,~ See Data Dictionary
