yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,California,Stanislaus,Surgical Site Infection (SSI),30000129,Central Valley Specialty Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sacramento,Surgical Site Infection (SSI),30000907,Vibra Hospital of Sacramento,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Maripoas,Surgical Site Infection (SSI),40000105,John C. Fremont Healthcare District,Critical Access,12,No sutrgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Fresno,Surgical Site Infection (SSI),40000613,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Barbara,Surgical Site Infection (SSI),50000030,Santa Ynez Valley Cottage Hospital,Critcal Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Ventura,Surgical Site Infection (SSI),50000553,"Los Robles Hospital & Medical Center, East Campus",rFree-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008,College Hospital Costa Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,range,Surgical Sit eInfection (SSI),60000017,"Kindred Hospital ,Westminster",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001097,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001360,"Kindred Hospital, Brea",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60001674,"Healthbridge Children's Hospital, Orange",Pedatric,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Clara,Surgicl Site Infection (SSI),70000154,Missio Oaks Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,alifornia,San Diego,Surgical Site Infection (SSI),80000142,Palomar Health Downtown Campus,"Community, o<125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSfI),90000048,"Kindred Hospital, San Diego",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000977,Vibra Hospital of San Diego,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sonoma,Surgical Site Infection (SSI),110000038,Sonoma Specialty Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Hmuboldt,Surgical Site Infection (SSI),110000057,Jerold Phelps Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Claifornia,Humboldt,Surgical Site Infection (SSI),110000069,The General Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Marin,Surgical Site Infection (SSI),110000946,Kentfield Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Surgical Site Infection (SSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Tulare,Surgical Site Infection (SSI),120001444,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehbailitation Unit,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alameda,Surgical Site Infection (SSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alaeda,Surgical Site Infection (SSI),140000184,FairmontHospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
