112.datecode,200260,200206
82.datecode,200210,200201
46.weekending,11/24/0201,11/24/2001
19.datecode,200141,200143
23.datecode,200140,200143
54.season,2001-2y002,2001-2002
89.datecode,20022,200202
28.season,2001-202,2001-2002
35.datecode,200140,200145
13.weekending,10/6/2001,10/20/2001
41.weekending,x11/17/2001,11/17/2001
66.weekending,12/1/2001,12/15/2001
59.weekending,1/28/2001,12/8/2001
88.datecode,f200202,200202
45.season,2001-002,2001-2002
106.season,2001-2002***,2001-2002
84.season,001-2002,2001-2002
94.weekending,10/6/2001,1/19/2002
80.season,20f01-2002,2001-2002
52.weekending,12/1/2001***,12/1/2001
18.weekending,10/202001,10/20/2001
11.datecode,200140,200141
120.season,2001-2002***,2001-2002
52.season,2001-200r2,2001-2002
36.weekending,11/10/20a01,11/10/2001
100.season,200-12002,2001-2002
69.weekending,1222/2001,12/22/2001
107.weekending,10/6/2001,2/2/2002
73.weekending,10/6/2001,12/29/2001
101.datecode,20024,200204
71.season,2001-2002***,2001-2002
22.datecode,200140,200143
72.season,2001-20m02,2001-2002
122.datecode,2u00208,200208
114.season,2001-002,2001-2002
117.datecode,00207,200207
74.season,2001-200o2,2001-2002
104.datecode,2002s05,200205
14.datecode,200140,200142
113.season,2001-002,2001-2002
86.weekending,10/6/2001,1/12/2002
54.weekending,21/1/2001,12/1/2001
47.season,2001-202,2001-2002
39.datecode,200140,200146
92.weekending,10/6/2001,1/19/2002
47.weekending,11/24/201,11/24/2001
112.season,201-2002,2001-2002
65.season,2001-2002***,2001-2002
140.weekending,10/6/2001,3/16/2002
76.weekending,10/6/2001,12/29/2001
126.season,2001y-2002,2001-2002
98.weekending,10/6/2001,1/26/2002
32.datecode,200140,200145
119.season,200-12002,2001-2002
119.datecode,020207,200207
77.datecode,201052,200152
50.season,0201-2002,2001-2002
20.datecode,200141,200143
122.season,2g001-2002,2001-2002
48.weekending,10/6/2001,11/24/2001
62.season,2001-g2002,2001-2002
83.weekending,10/6/2001,1/5/2002
45.weekending,11/24/2001***,11/24/2001
28.datecode,200140,200144
46.season,2001-2020,2001-2002
110.weekending,10/6/2001,2/9/2002
125.weekending,10/6/2001,2/23/2002
10.weekending,10/6/2001,10/13/2001
57.weekending,12/8/p2001,12/8/2001
30.weekending,11/3/201,11/3/2001
101.season,200-2002,2001-2002
90.datecode,200220,200202
58.season,2001-002,2001-2002
42.datecode,200141,200146
66.season,2001-202,2001-2002
25.datecode,200140,200144
72.weekending,12/22s/2001,12/22/2001
102.season,200-12002,2001-2002
84.datecode,20020o1,200201
64.weekending,z12/15/2001,12/15/2001
17.datecode,200140,200142
93.season,2001-2020,2001-2002
60.season,20012-002,2001-2002
81.datecode,00201,200201
74.weekending,10/6/2001,12/29/2001
102.datecode,00204,200204
34.datecode,200140,200145
70.season,2001-m2002,2001-2002
120.datecode,020207,200207
26.datecode,200141,200144
