OBJECTID,SURVTYP,SURVTYPTXT,GlobalID,SHAPE_Length,SHAPE_Area
1,W,Meandered Water,{83BA9419-D577-4049-AB4E-6DC3349C647F},0.0237049752323544,2.1942286060857e-05
2,W,Meandered Water,{FD486330-86D7-4DD7-8486-24C9AD13B603},0.0240231764290218,3.35799543281441e-05
3,W,Meandered Water,{8ACE200F-40A3-45F4-9E0C-976082E32571},0.0316849737789205,3.88124581195981e-05
4,W,Meandered Water,{809F9A5A-F1B2-4E28-AC81-8B27A8476C89},0.0629607541595076,0.000135371825429155
5,W,Meandered Water,{FBD5F010-84C5-49DE-9ACE-C371A83848EB},0.0252353132058575,2.44559251118412e-05
6,W,Meandered Water,{CDA2589F-09CD-478E-9431-348377A5A030},0.0300383974142581,4.60541966472496e-05
7,W,Meandered Water,{E35B4D18-774B-48AD-A970-129DF5F4F6A0},0.0400283393193684,6.80583957104065e-05
8,W,Meandered Water,{8FB0A820-BE3F-4DD7-B438-E8C5E52F22BB},0.0130763866233046,6.98900037617006e-06
9,W,Meandered Water,{91DC3B1A-1AEE-4F5C-890C-348073F5646D},0.0255918897586877,2.47175979206517e-05
10,W,Meandered Water,{AAA06B1C-67C2-4252-86DD-388A7101F597},0.0359350142201183,5.28653203798489e-05
11,W,Meandered Water,{E3580281-B051-41BF-8386-2C41DB39504D},0.0186721997608484,1.19385181979179e-05
12,W,Meandered Water,{21AFF5CF-2C24-4FA7-8819-BC7F02AAC078},0.0296896299193019,3.62943273347768e-05
13,W,Meandered Water,{F52D56DD-5F5A-460A-B284-DFA742E79D99},0.0630048339523997,0.000206881553113454
14,W,Meandered Water,{32AEDF83-FFB7-4838-B245-F30564E904C4},0.0231061470337774,2.17299105134133e-05
15,W,Meandered Water,{1A903BD4-9677-4506-B674-50DF0AD850DF},0.0259355993778196,1.89390735893266e-05
16,W,Meandered Water,{346D6C64-8CBD-458A-AF5B-3E5FC1A536AB},0.0255581159307091,2.75817553178684e-05
17,W,Meandered Water,{592D699E-255B-49FD-AC18-3B178C4D0FAE},0.0472779561627013,2.00077175288464e-05
18,W,Meandered Water,{634C8B79-8F50-4335-BAD0-8B8B9FE64D24},0.192878033118195,0.000532946196313281
