OBJECTID,FORTY,P_AREA,SHAPE_Length,SHAPE_Area
1,1,792.82301071,138.283731122122,792.823500349042
2,1,880.63062999,154.767867917946,880.63083235353
3,1,647.15758041,121.440623054961,647.157054026595
4,1,523.83500063,88.8544774100662,523.834176146357
5,1,585.32798883,102.10890946522,585.326799624454
6,1,389.72027098,78.4852471057406,389.719975559694
7,1,266.45416677,85.5571966105159,266.454665858643
8,1,529.40000178,88.5898687783512,529.400317384964
9,1,684.05814155,109.003518854039,684.057556917806
10,1,989.06701892,167.725855550718,989.066523441284
11,1,403.47567447,83.1464014220106,403.475341464955
12,1,344.42150242,76.2879651948606,344.421635259733
13,1,352.51497687,78.5672880949563,352.514533556832
14,1,5486.22543027,531.210590818135,5486.2266000063
15,1,1112.78726151,154.215204222155,1112.78767678898
16,1,365.50995007,74.9286877699815,365.509935510596
17,1,836.15839882,116.584620723929,836.158153788727
18,1,776.33360296,123.770283957271,776.333677569136
19,1,929.07883017,118.845535099134,929.079118025253
20,1,639.13940906,98.5203550372656,639.139149329542
21,1,595.93713019,91.7228049223043,595.936530222306
22,1,451.19225263,87.1682808007681,451.192232640141
23,1,441.25284396,81.1302306027243,441.252781259645
24,1,506.00896959,98.6197087515553,506.008844558138
25,1,731.83354387,105.609771915816,731.833010328135
26,1,426.69067027,81.4585769103558,426.690788948233
27,1,524.37151186,95.1984681938453,524.37166782433
28,1,877.49905006,128.994062033895,877.499376200777
29,1,516.55102056,96.3915135090015,516.551355046569
30,1,404.20670001,81.3531325968023,404.207183881796
31,1,5562.49698686,643.208296008953,5562.4964939793
32,1,675.89022504,100.941021198054,675.890389791628
33,1,3316.52800405,474.794471332085,3316.52988469129
34,1,367.72412151,76.430093937805,367.724339309507
35,1,1596.46954177,204.967462638124,1596.46928699844
36,1,674.13359734,107.205385474398,674.131927581018
37,1,4663.62137316,533.172217714191,4663.62350994039
38,1,612.14768938,97.045668707717,612.147958376787
39,1,758.94969957,114.190401515771,758.949363729489
40,1,318.02687392,77.7859414161739,318.027030267251
41,1,1235.88176235,167.854963395262,1235.88225102917
42,1,3900.99605779,467.387482080359,3900.99586913756
43,1,530.11923052,95.3381601633687,530.119978045169
44,1,458.28272803,90.7271646391854,458.28385541205
45,1,1889.38307448,230.470111486869,1889.38278038783
46,1,943.85342056,123.816828204358,943.853455175799
47,1,678.46785719,99.5976524196973,678.468163547732
48,1,485.01158875,84.5516474757394,485.01061680113
49,1,469.93905688,84.6468005442609,469.939919837589
50,1,851.03593965,120.815922737255,851.035806217769
51,1,756.48711185,110.54559180609,756.485672458383
52,1,365.40132639,73.4006295344187,365.402506524571
53,1,935.59770327,157.674597243726,935.597434381896
54,1,208.56456799,74.4486072435666,208.564955827682
55,1,309.70018618,70.5291878497671,309.699425046201
56,1,461.29951623,86.5930759436083,461.299872412339
57,1,463.1147222,86.6824890739605,463.114173961111
58,1,1934.33726058,191.987496111143,1934.33508802441
59,1,810.13460184,136.218940862063,810.135505682652
60,1,1930.84776364,193.244401967345,1930.84783412566
61,1,3456.15553635,306.572483404573,3456.15587427726
62,1,879.47496705,120.556809969167,879.474905117695
63,1,1987.31966024,212.289770907456,1987.31975117295
64,1,1976.57024816,225.484959358293,1976.56881295597
