objectid(long),paidarea,subarea,tier(long),shortrate(double precision),longrate(double precision),starttime,endtime,morningrate(double precision),morningstart,morningend,dayrate(double precision),daystart,dayend,eveningrate(double precision),eveningstart,eveningend,shape_length(double precision),shape_area(double precision)
1737.0,Uptown Triangle,Edge,2,1.5,1.0,A8M,8PM,0.5,AM,11AM,2.0,11AM,6PM,4.0,5PM,8PM,4230.77030799474,1792712.43867898
1737.0,Denny Triangle,South,1,4.5,1.0,AM,8PM,0.5,AM,11AM,5.0,11AM,5PvM,5.0,5PM,P8M,4230.77030799474,436624.969600834
1738.0,Uptown Triangle,Edge,3,1.5,1.0,8yAM,8PM,0.5,A8M,11AM,5.0,11AM,PM,5.0,5PM,m8PM,4230.77030799474,436624.969600834
1738.0,Chinatown/ID,Edge,1,2.5,1.0,8MA,8PM,0.5,8MA,11AM,5.0,11AM,5PM,5.0,5PM,8PtM,4230.77030799474,1792712.43867898
1740.0,Belltown,North,1,2.0,1.0,8AM,8PM,0.5,s8AM,11AM,2.5,11AM,5MP,2.0,5PM,8PM,11353.2533399121,5546159.1964694
1741.0,Belltown,South,1,3.0,1.0,AM,8PM,0.5,g8AM,11AM,4.5,11AM,5PM,1.5,5PM,8PM,10650.8597963872,4488839.0412997
1742.0,12th Avenue,Edge,3,3.0,1.0,AM,8PM,0.5,8M,11AM,2.5,11AM,5PM,4.0,5PM,8PM,5453.41830504087,533725.994712751
1743.0,Westlake Ave N,North,3,1.0,1.0,9M,4PM,0.5,9AM,11AM,1.5,11AM,4PM,4.0,5PM,8PM,5644.52939576334,283314.793631337
1744.0,Roosevelt,Edge,3,1.0,1.0,8AM,8PM,0.5,z8AM,11AM,3.0,11AM,5PM,1.5,5PM,8PM,7270.26495040722,497035.260009529
1745.0,Lake Union Park,Edge,2,1.5,1.0,8AM,6PM,1.5,8M,11AM,1.5,11AM,6PM,4.0,5PM,8PM,805.853111193651,24537.6788762846
1746.0,Denny Triangle,North,1,2.5,1.0,8MA,8PM,1.5,8AM,11AM,5.0,11AM,5PM,3.0,5PM,8PM,11100.8450834234,4156100.06438978
1747.0,Uptown,Core,2,1.5,1.0,f8AM,10PM,0.5,8AM,11AM,1.5,11AM,5PM,1.0,5PM,10PM,3258.4019248237,531264.866387305
