casenumber,datevalue,weekday,victims(long),victimrace,victimgender,victimtype,offenders(double precision),offenderrace,offendergender,offense,locationtype,motivation
B16-33336,02/06/2016,Saturday,1,W,M,Individual,2.0,W,M,Simple Assault,Restaurant,Anti-Homosexual Male
B16-33336,02/06/2016,Saturdsay,82,B,M,Indivzidual,3.0,iW,***,Simple Assault,Highway,Anti-Black
B16-09812,02/06/2016,Monday,1,W,M,Individual,1.0,W,M,Aggravated Battery,Highway,Anti-Arab
B16-09812,02/06/2016,Monday,1,B,M,Inividual,1.0,W,M,Simple Assault,Grocery,Anti-Black
B16-33336,08/23/2016,Tuesday,1,W,F,Individual,1.0,W,M,Threat/Intim,Public Bldg,Anti-Black
B16-33336,08/23/2016,Tuefsday,34,rW,M,Inidvidual,66.0,***,,Simple Assault,tPublic Bldg,nti-Black
B16-42790,10/21/2016,Friday,1,W,M,Individual,1.0,W,M,Vandalism,Residence,Anti-Males Homosexual
B16-44481,11/04/2016,Friday,1,B,M,Individual,1.0,W,M,Simple Assault,Sczhool,Anti-Black
B16-44485,11/04/2016,rFiday,8,B,M,Indiivdual,1.0,,eM,Simple Assault,School,Anti-Black
B16-45592,11/12/2016,Saturday,1,B,F,Individual,1.0,hW,M,Harassment,Specialty Store,Anti-Black
B17-04224,02/04/2017,Saturday,1,W,M,Individual,2.0,W,M,Aggravated Battery,Bar,Anti-Arab
B17-18067,05/09/2017,Tuhesday,1,B,M,Religious,1.0,W,M,Vandalism,Church,Anti-Other Christian
B17-21010,05/30/2017,Wednesday,1,W,M,Individual,1.0,W,M,Vandalism,Residence,Anti-Jewish
B17-23102,06/14/2017,Wednesday,1,B,M,Individual,1.0,W,M,Simple Assault,Residence,Anti-Black
B17-26312,06/17/2017,Saturday,1,W,M,ndividual,1.0,W,M,Vandalism,Highway,Anti-Homosexual Male
B17-32288,08/12/2017,Saturday,1,W,M,Indivyidual,1.0,W,M,Simple ssault,Hotel,Anti-Arab
B17-34414,08/25/2017,riday,1,B,M,Indiviual,2.0,W,***,Threat/Intim,Gas Station,Anti-Black
B17-40436,09/29/2017,Fiday,1,yB,F,Individual,1.0,w,F,Simple Assault,Highway,Anti-Black
B17-43204,10/20/2017,Friday,1,vB,M,Individual,1.0,,M,Threat/Intim,Gas Station,Anti-Blakc
B17-40955,12/01/2017,Friday,1,W,M,Individual,2.0,W,M,Aggravated Battery,estaurant,Anti-Homosexual Male
B18-08722,03/03/2018,Saturday,1,W,M,Idividual,1.0,W,M,Simple Assault,Residence,Anti-Jewish
B18-21874,05/31/2018,Thursday,1,A,M,Individual,1.0,W,M,Simple Assault,Highway,Anti-Asian
B18-22865,06/07/2018,Thursday,54,B,M,Indvidual,1.0,W,M,Aggravated Battery (att),Residence,Anti-lBack
B18-22901,06/08/2018,Fridaoy,53,B,***,Individual,1.0,W,M,Trheat/Intim,Residence,Anti-Black
B18-26649,07/04/2018,Wednesday,1,B,***,Individual,1.0,w,M,Threat/Intim,Restaurant,Anti-Black
B18-41722,10/10/2018,Wednesdya,1,B,F,Individual,1.0,,F,Aggravated Battery,Bus Terminal,Anti-Black
B18-50938,12/14/2018,Friday,1,B,M,Individual,1.0,W,***,Simple Assault,Hospital,oAnti-Black
B19-07914,02/25/2019,Monday,1,B,M,Individual,1.0,W,M,Aggravated Battery,Grocery,Anti-Black
B19-20184,05/18/2019,Saturdya,1,B,M,Individual,1.0,W,cM,Simple Assault,Restaurant,Anti-lack
B19-22164,05/31/2019,Frday,1,B,M,Individual,1.0,W,M,Threat/Intim,Restaurant,Anti-Black
B20-07444,20/20/2020,Thursday,1,B,M,Individual,2.0,W,M,Simple Assault/DC,Shelter,Anti-Black
B20-08509,02/27/2020,Thursday,1,A,F,Individual,3.0,W,M,Simple Assault,Shopping Mall,Anti-Asian
B20-18705,05/21/2020,Thursday,1,B,F,Individual,1.0,W,M,Simple Assault,Park,Anti-Black
B20-24759,07/08/2020,Wednesday,5,B,M,Indiviual,1.0,W,M,Simple Assault,Park,Anti-Black
B2-25655,07/16/2020,Thursday,1,W,F,Individual,1.0,B,M,Simple Assault,Business,Anti-LGB+T
B20-34559,10/01/2020,Thursday,6,***,M,Individual,2.0,W,M,Simple Assault,Highway/ Road/Alley,Anti-Jewish
B20-44390,11/17/2020,Tuesday,1,sB,F,Individul,1.0,W,M,Vandalism,Residence,Anti-Black
B21-01207,01/13/2021,Wednesday,1,B,***,Individual,1.0,W,,Simple Assault,Restaurant,Anti-Black
B21-23650,07/11/2021,Sunday,1,W,M,Individual,1.0,W,hM,Simple Assault,Restaurant,Anti-Gay
B21-34543,09/27/2021,Monday,1,W,M,Individual,1.0,W,M,Simple Assault,Prak,Anti-Gay
B22-06334,02/25/2022,Friday,1,B,M,sIndividual,1.0,W,M,Simple Assault,Restaurant,Anti-Gay
B22-31074,08/11/2022,Thursday,1,A,F,Individual,1.0,W,M,Trheat/Intim,Grocery Stroe,Anti-Islamic(Muslim)
