rain_season,month,rain_barrels,residential_small_cisterns,medium_cisterns,large_cisterns
2016/2017,Apr 2017,8,60,1,0
2015/2016,Apr 2017,8733,2,0,0
2014/2015,Apr 2017,73,0,0,0
2016/2017,Mar 2017,311,15,2,1
2017/2018,Jul 2018,12,2,0,0
2017/2018,Sep 2018,14,0,0,1
2015/2016,Mar 2016,4131,3,0,0
2017/2018,Dec 2017,16,12,1,0
2017/2018,Aug 2018,19,2,0,0
2017/2018,Oct 2017,32,24,1,0
2014/2015,May 2015,141,0,0,0
2017/2018,Nov 2017,31,31,0,0
2013/2014,Dec 2013,0,0,0,0
2015/2016,Feb 2016,257,0,0,0
2015/2016,Jan 2016,341,0,0,0
2014/2015,Mar 2015,305,0,0,0
2014/2015,Jun 2015,320,0,0,0
2015/2016,May 2016,23931,16,0,0
2013/2014,Oct 2013,0,0,0,0
2016/2017,Jun 2017,88,7,0,0
2014/2015,Jan 2015,48,0,0,0
2015/2016,Oct 2015,574,0,0,0
2016/2017,Dec 2016,2571,29,0,0
2016/2017,Nov 2016,340,0,0,0
2016/2017,May 2017,237,70,0,0
2014/2015,Apr 2015,233,0,0,0
2014/2015,Feb 2015,155,0,0,0
2016/2017,Oct 2016,250,1,0,0
2015/2016,Apr 2016,2768,1,0,0
2015/2016,Dec 2015,439,0,0,0
2015/2016,Nov 2015,422,0,0,0
2013/2014,Nov 2013,0,0,0,0
2014/2015,Nov 2014,24,0,0,0
2016/2017,Feb 2017,290,1,0,0
2016/2017,Jan 2017,368,117,0,1
2014/2015,Oct 2014,29,0,0,0
2014/2015,Aug 2015,284,0,0,0
2013/2014,Feb 2014,0,0,0,0
2012/2013,Sep 2013,0,0,0,0
2014/2015,Sep 2015,152,0,0,0
2014/2015,Jul 2015,173,0,0,0
2015/2016,Aug 2016,6968,0,0,0
2012/2013,Jul 2013,0,0,0,0
2016/2017,Aug 2017,16,2,0,0
2013/2014,Apr 2014,0,0,0,0
2013/2014,Jun 2014,0,0,0,0
2015/2016,Jul 2016,20985,5,0,0
2016/2017,Jul 2017,37,1,0,0
2016/2017,Sep 2017,0,0,0,0
2013/2014,May 2014,0,0,0,0
2012/2013,Aug 2013,0,0,0,0
2013/2014,Aug 2014,125,0,0,0
2013/2014,Mar 2014,0,0,0,0
2013/2014,Jul 2014,116,0,0,0
2015/2016,Sep 2016,10938,3,0,0
2013/2014,Sep 2014,56,0,0,0
2013/2014,Jan 2014,0,0,0,0
2017/2018,Jan 2018,55,36,0,0
2017/2018,Feb 2018,12,5,0,0
2017/2018,Mar 2018,34,24,1,0
2017/2018,Apr 2018,7,1,0,0
2017/2018,May 2018,60,21,0,0
2017/2018,Jun 2018,26,11,0,0
