OBJECTID,GNLCCCODE,NORWEST,PATCH_ID,MINTEMPC,SLOPE,BT_0BRK,BT_25BRK,BT_50BRK,BT_75BRK,BT_100BRK,LENGTH_KM,NHDVERSION,SHAPELEN
79681,CW_104,Clearwater,104,9.88,14.6,0.048658,0.048658,0.048658,0.048658,0.048658,4.41,1,0.0423870362323264
79682,CW_113,Clearwater,113,9.8,11.83,0.077538,0.077538,0.077538,0.077538,0.077538,4.18,1,0.032495031705754
79683,CW_124,Clearwater,124,9.21,10.64,0.135466,0.135466,0.135466,0.135466,0.135466,5.01,1,0.055221935122038
79684,CW_193,Clearwater,193,9.32,12.8,0.086129,0.086129,0.086129,0.086129,0.086129,3.73,1,0.0430987279860055
79685,CW_195,Clearwater,195,8.67,13.08,0.118894,0.118894,0.118894,0.118894,0.118894,3.64,1,0.0401931977268958
79686,CW_226,Clearwater,226,9.28,9.68,0.150424,0.130431,0.112743,0.097186,0.083573,5.12,1,0.0595423384188826
79687,CW_229,Clearwater,229,9.03,8.46,0.216448,0.186394,0.159663,0.136125,0.115579,6.45,1,0.0641432208645905
79688,CW_241,Clearwater,241,8.53,14.82,0.098495,0.098495,0.098495,0.098495,0.098495,3.5,1,0.0391926713082209
79689,CW_243,Clearwater,243,9.64,10.38,0.103466,0.103466,0.103466,0.103466,0.103466,3.78,1,0.0451253101158353
79690,CW_250,Clearwater,250,9.27,8.33,0.167903,0.149242,0.132324,0.117061,0.103348,3.5,1,0.0346947711580211
79691,CW_252,Clearwater,252,8.68,12.83,0.121528,0.121528,0.121528,0.121528,0.121528,3.5,1,0.0423317970119109
79692,CW_255,Clearwater,255,8.73,13.26,0.110967,0.110967,0.110967,0.110967,0.110967,3.5,1,0.0418087264773803
79693,CW_264,Clearwater,264,9.05,12.39,0.110787,0.110787,0.110787,0.110787,0.110787,4.39,1,0.0478174505781606
79694,CW_279,Clearwater,279,8.64,14.25,0.101055,0.101055,0.101055,0.101055,0.101055,3.55,1,0.0442049019618568
79695,CW_283,Clearwater,283,9.49,9.91,0.121978,0.107034,0.093724,0.081918,0.071482,3.97,1,0.045753586563833
79696,CW_290,Clearwater,290,9.02,11.07,0.134618,0.134618,0.134618,0.134618,0.134618,4.12,1,0.0437860008058924
79697,CW_294,Clearwater,294,9.74,11.42,0.082252,0.082252,0.082252,0.082252,0.082252,3.5,1,0.0391840232047888
79698,CW_302,Clearwater,302,8.87,9.33,0.19368,0.169542,0.147861,0.128523,0.111384,4.91,1,0.0524425002768244
79699,CW_303,Clearwater,303,9.24,8.44,0.193249,0.166222,0.142309,0.121335,0.103081,6.23,1,0.070162233466613
79700,CW_304,Clearwater,304,9.15,11.13,0.124415,0.124415,0.124415,0.124415,0.124415,4.14,1,0.0466146722488644
79701,CW_305,Clearwater,305,8.71,14.07,0.102228,0.102228,0.102228,0.102228,0.102228,3.97,1,0.040252796261483
79702,CW_308,Clearwater,308,8.97,12.64,0.104421,0.104421,0.104421,0.104421,0.104421,3.19,1,0.0399437781547381
79703,CW_310,Clearwater,310,8.34,12.78,0.149048,0.149048,0.149048,0.149048,0.149048,3.68,1,0.0460049570629838
79704,CW_316,Clearwater,316,9.06,8.04,0.204701,0.18047,0.158535,0.138815,0.121194,4.5,1,0.0500297299690051
79705,CW_318,Clearwater,318,8.33,10.46,0.222383,0.222383,0.222383,0.222383,0.222383,5.24,1,0.0618336139648305
79706,CW_320,Clearwater,320,7.88,9.25,0.320598,0.284342,0.250673,0.219767,0.191696,5.5,1,0.0687344526164191
79707,CW_323,Clearwater,323,8.7,7.57,0.247115,0.221998,0.198761,0.177401,0.157884,3.5,1,0.0379158991608162
79708,CW_324,Clearwater,324,8.55,8.8,0.26423,0.228765,0.196787,0.168304,0.143208,6.7,1,0.0724637466222254
79709,CW_326,Clearwater,326,9.11,12.54,0.099475,0.099475,0.099475,0.099475,0.099475,3.45,1,0.0371208325123132
79710,CW_327,Clearwater,327,8.98,7.35,0.221822,0.198598,0.177251,0.157748,0.140025,3.5,1,0.0427660824426089
79711,CW_328,Clearwater,328,7.87,11.1,0.246208,0.246208,0.246208,0.246208,0.246208,4.44,1,0.0515540960213783
79712,CW_329,Clearwater,329,9.24,7.57,0.18925,0.168697,0.149963,0.132977,0.117648,3.5,1,0.0418906164895576
79713,CW_330,Clearwater,330,9.55,7.45,0.172431,0.151293,0.132332,0.115424,0.100426,4.5,1,0.0436369890729252
79714,CW_332,Clearwater,332,8.4,10.03,0.216883,0.216883,0.216883,0.216883,0.216883,4.31,1,0.0508918564210193
79715,CW_334,Clearwater,334,8.34,12.8,0.144517,0.144517,0.144517,0.144517,0.144517,3.16,1,0.0396852348418932
79716,CW_336,Clearwater,336,8.71,9.31,0.218101,0.189865,0.164515,0.141957,0.12204,5.63,1,0.0647643299796441
79717,CW_337,Clearwater,337,8.13,9.33,0.261405,0.234902,0.210321,0.187681,0.166962,3.63,1,0.0387818875340152
79718,CW_338,Clearwater,338,9.09,7.93,0.214527,0.187043,0.162352,0.140358,0.120913,5.47,1,0.0603894811139082
79719,CW_339,Clearwater,339,7.8,11.24,0.286402,0.286402,0.286402,0.286402,0.286402,7.38,1,0.0794994391006956
79720,CW_342,Clearwater,342,8.16,9.27,0.275686,0.244384,0.215577,0.189316,0.165578,4.93,1,0.0592639366358025
79721,CW_344,Clearwater,344,8.12,7.79,0.369499,0.323421,0.280533,0.241304,0.20599,7.48,1,0.0865464728876717
79722,CW_346,Clearwater,346,8.43,7.59,0.299393,0.266016,0.235111,0.206786,0.181065,5.05,1,0.0537916079277467
79723,CW_348,Clearwater,348,9.3,12.71,0.087122,0.087122,0.087122,0.087122,0.087122,3.5,1,0.0424157359631547
79724,CW_44,Clearwater,44,8.71,9.6,0.188803,0.168289,0.149592,0.132641,0.117346,3.5,1,0.0348336581052542
79725,CW_46,Clearwater,46,8.48,10.69,0.18743,0.18743,0.18743,0.18743,0.18743,3.96,1,0.0385384917290907
79726,CW_47,Clearwater,47,8.1,12.89,0.171271,0.171271,0.171271,0.171271,0.171271,4.2,1,0.0493136691044394
79727,CW_51,Clearwater,51,9.82,13.32,0.067195,0.067195,0.067195,0.067195,0.067195,5.87,1,0.0665447309864924
79728,CW_52,Clearwater,52,8.96,14.32,0.085298,0.085298,0.085298,0.085298,0.085298,3.98,1,0.046530307516159
79729,CW_58,Clearwater,58,8.79,13.4,0.105146,0.105146,0.105146,0.105146,0.105146,3.5,1,0.042038306012443
79730,CW_63,Clearwater,63,9,12.68,0.118406,0.118406,0.118406,0.118406,0.118406,5.85,1,0.0632745842976347
79731,CW_64,Clearwater,64,8.95,10.22,0.177936,0.177936,0.177936,0.177936,0.177936,6.41,1,0.0683312233669367
79732,CW_65,Clearwater,65,9.29,6.79,0.258825,0.219261,0.184242,0.153715,0.127455,8.37,1,0.0916673973881676
79733,CW_69,Clearwater,69,8.9,14.7,0.089772,0.089772,0.089772,0.089772,0.089772,5.27,1,0.062654719611921
79734,CW_74,Clearwater,74,8.45,12.99,0.134785,0.134785,0.134785,0.134785,0.134785,3.5,1,0.0370416178357512
79735,MC_1001,MidColumbia,1001,8.39,14,0.120429,0.120429,0.120429,0.120429,0.120429,3.5,1,0.0369470228768075
79736,MC_1003,MidColumbia,1003,8.19,3.87,0.52011,0.468849,0.418237,0.36929,0.322892,7.58,1,0.0794805326513411
79737,MC_1005,MidColumbia,1005,9.33,7.39,0.194775,0.171465,0.150424,0.131555,0.114733,4.5,1,0.0554800679279822
79738,MC_1017,MidColumbia,1017,9.86,3.13,0.260959,0.231823,0.205038,0.18062,0.15853,4.57,1,0.0467478781000166
79739,MC_1018,MidColumbia,1018,8.1,4.98,0.439868,0.401866,0.365007,0.329666,0.296151,4.5,1,0.0525594379838891
79740,MC_1025,MidColumbia,1025,8.76,9.07,0.207921,0.18336,0.16111,0.141094,0.1232,4.52,1,0.0461354603652475
79741,MC_1027,MidColumbia,1027,8.07,9.51,0.261423,0.235307,0.211054,0.188684,0.16818,3.5,1,0.0356460678847379
79742,MC_1030,MidColumbia,1030,8.07,12.17,0.24303,0.24303,0.24303,0.24303,0.24303,9.01,1,0.0956010642160451
79743,MC_1031,MidColumbia,1031,7.62,14.4,0.181618,0.181618,0.181618,0.181618,0.181618,4.5,1,0.0464176587955073
79744,MC_1032,MidColumbia,1032,8.43,12.38,0.152404,0.152404,0.152404,0.152404,0.152404,3.96,1,0.046743287780659
79745,MC_1033,MidColumbia,1033,8.38,7.66,0.336023,0.29239,0.25227,0.215975,0.18362,7.42,1,0.0894826866125802
79746,MC_1034,MidColumbia,1034,6.98,8.6,0.663163,0.577816,0.487553,0.398096,0.314963,17.48,1,0.176098204758033
79747,MC_1035,MidColumbia,1035,7.52,7.17,0.863052,0.760288,0.614826,0.445476,0.287905,37.66,1,0.413761261310925
79748,MC_1037,MidColumbia,1037,7.76,12.37,0.236084,0.236084,0.236084,0.236084,0.236084,5.82,1,0.0721743511269283
79749,MC_1038,MidColumbia,1038,5.88,12.84,0.48348,0.48348,0.48348,0.48348,0.48348,5.78,1,0.0612541123620349
79750,MC_1039,MidColumbia,1039,7.93,10.52,0.271697,0.271697,0.271697,0.271697,0.271697,5.61,1,0.0687724231196121
79751,MC_1041,MidColumbia,1041,8.39,8.33,0.274141,0.243826,0.215867,0.190307,0.167128,4.63,1,0.05772613870398
79752,MC_1044,MidColumbia,1044,7.94,6.79,0.405899,0.365312,0.326553,0.290027,0.256033,5.46,1,0.0622096982504961
79753,MC_1046,MidColumbia,1046,7.23,8.08,0.511435,0.456387,0.402384,0.350649,0.302202,8.54,1,0.0964505937268443
79754,MC_1049,MidColumbia,1049,5.48,10.09,0.72674,0.72674,0.72674,0.72674,0.72674,11.1,1,0.124437448245435
79755,MC_1051,MidColumbia,1051,6.1,8.83,0.775404,0.703544,0.619961,0.528602,0.435286,18.18,1,0.209667068058519
79756,MC_1054,MidColumbia,1054,8.62,8.46,0.268631,0.232298,0.199538,0.170373,0.1447,6.86,1,0.0704875433950971
79757,MC_1055,MidColumbia,1055,6.47,6.19,0.758895,0.700125,0.633941,0.562281,0.487925,13.42,1,0.149617454539235
79758,MC_1056,MidColumbia,1056,9.66,6.43,0.195244,0.169999,0.14742,0.12738,0.109713,5.33,1,0.0641602117882869
79759,MC_1058,MidColumbia,1058,8.08,10.97,0.235556,0.235556,0.235556,0.235556,0.235556,5.26,1,0.0523965061833277
79760,MC_1059,MidColumbia,1059,8.32,7.8,0.74576,0.605545,0.445498,0.296008,0.180364,35.22,1,0.380116195696969
79761,MC_1060,MidColumbia,1060,7.83,3.71,0.977575,0.936541,0.833229,0.628451,0.364118,62.44,1,0.672137472446593
79762,MC_1063,MidColumbia,1063,9.42,7.47,0.173921,0.154883,0.137582,0.121935,0.107845,3.42,1,0.0267955126764177
79763,MC_1064,MidColumbia,1064,9.56,8.45,0.143438,0.126571,0.111429,0.097895,0.085847,3.79,1,0.0425474488961221
79764,MC_1070,MidColumbia,1070,9.24,9.99,0.133696,0.133696,0.133696,0.133696,0.133696,3.33,1,0.0399147481398835
79765,MC_1072,MidColumbia,1072,9.35,6.61,0.203512,0.181757,0.161855,0.14375,0.127362,3.5,1,0.0418188883684388
79766,MC_1074,MidColumbia,1074,9.21,3.78,0.332809,0.296563,0.26271,0.23145,0.202886,5.26,1,0.0651510547845594
79767,MC_1077,MidColumbia,1077,8.5,10.81,0.198179,0.198179,0.198179,0.198179,0.198179,5.56,1,0.0592913952662046
79768,MC_1080,MidColumbia,1080,9.12,8.82,0.195562,0.168159,0.14391,0.122642,0.104134,6.28,1,0.0699180610120201
79769,MC_1081,MidColumbia,1081,9.56,5.62,0.252966,0.216386,0.183793,0.155138,0.130238,7.5,1,0.0846928731159326
79770,MC_1082,MidColumbia,1082,8.92,9.78,0.174764,0.153186,0.13384,0.116601,0.101322,4.6,1,0.0462773160578083
79771,MC_1084,MidColumbia,1084,8.98,10.4,0.152483,0.152483,0.152483,0.152483,0.152483,4.26,1,0.0437615003636691
79772,MC_598,MidColumbia,598,9.76,3.97,0.238793,0.213172,0.189615,0.168105,0.148588,3.91,1,0.0439363462355813
79773,MC_603,MidColumbia,603,9.69,5.58,0.196537,0.175323,0.155955,0.138368,0.122476,3.52,1,0.0365468274253841
79774,MC_606,MidColumbia,606,9.18,5.14,0.266321,0.239874,0.215283,0.192574,0.171736,3.5,1,0.0362818885661282
79775,MC_608,MidColumbia,608,6.71,6.02,0.807672,0.737198,0.652027,0.555881,0.455361,19.97,1,0.221059461846965
79776,MC_610,MidColumbia,610,7.24,4.74,0.725113,0.657836,0.58355,0.505265,0.426721,14.52,1,0.164228222503062
79777,MC_612,MidColumbia,612,7.84,6.42,0.414113,0.378681,0.344498,0.311852,0.280973,4.01,1,0.0447863461364743
79778,MC_614,MidColumbia,614,5.28,6.76,0.790421,0.759609,0.725839,0.689265,0.650164,5.81,1,0.0649898126870617
79779,MC_615,MidColumbia,615,6.64,3.84,0.746481,0.704935,0.659684,0.611319,0.560659,7.81,1,0.0799419765389074
79780,MC_617,MidColumbia,617,7.51,2.94,0.757352,0.692522,0.619083,0.53976,0.458371,15.14,1,0.156332986127055
79781,MC_621,MidColumbia,621,5.22,2.6,0.967113,0.946174,0.913102,0.862658,0.789678,26.91,1,0.288631005191912
79782,MC_622,MidColumbia,622,7.52,6.38,0.460412,0.42516,0.390653,0.357207,0.325096,3.68,1,0.0401267437769803
79783,MC_624,MidColumbia,624,8.61,2.88,0.448095,0.409601,0.372183,0.336237,0.302093,4.58,1,0.0554690653448848
79784,MC_625,MidColumbia,625,8.16,0.26,0.692317,0.640463,0.585107,0.527516,0.469184,9.35,1,0.103981070803544
79785,MC_626,MidColumbia,626,8.01,3.61,0.588507,0.530412,0.47148,0.413333,0.357507,9.5,1,0.111736451428277
79786,MC_627,MidColumbia,627,8.2,4.41,0.431591,0.39784,0.365034,0.333435,0.303265,3.44,1,0.0394476100051373
79787,MC_629,MidColumbia,629,8.33,5.45,0.436997,0.386211,0.337786,0.292539,0.251055,7.87,1,0.0933863215247172
79788,MC_630,MidColumbia,630,7.19,1.92,0.7195,0.68153,0.640985,0.59832,0.554112,6.07,1,0.0644113977042696
79789,MC_631,MidColumbia,631,7.87,5.88,0.488574,0.437147,0.387037,0.339209,0.294452,7.69,1,0.0920016370821357
79790,MC_632,MidColumbia,632,9.33,1.29,0.387751,0.354541,0.322677,0.292379,0.263818,3.65,1,0.0361875344893301
79791,MC_633,MidColumbia,633,8.02,5.91,0.433535,0.391001,0.35006,0.311216,0.274859,5.73,1,0.0687614514249883
79792,MC_634,MidColumbia,634,8.42,0.63,0.569662,0.531078,0.492119,0.453255,0.414953,4.5,1,0.0431359993869284
79793,MC_636,MidColumbia,636,8,3.52,0.495013,0.461579,0.428486,0.396021,0.364447,3.13,1,0.0333696950453601
79794,MC_638,MidColumbia,638,7.25,1.94,0.803461,0.749787,0.687162,0.616873,0.541332,14.16,1,0.145912058620076
79795,MC_643,MidColumbia,643,8.82,4.4,0.452115,0.388871,0.329159,0.274498,0.225858,11,1,0.130342380089676
79796,MC_645,MidColumbia,645,9.18,4.1,0.328637,0.291862,0.257624,0.226119,0.197442,5.5,1,0.0669406531764375
79797,MC_650,MidColumbia,650,6.12,7.05,0.93431,0.879896,0.790513,0.660293,0.500294,36.21,1,0.413560665028909
79798,MC_651,MidColumbia,651,8.7,9.2,0.243832,0.208047,0.176289,0.148471,0.124379,7.56,1,0.0812196562561381
79799,MC_652,MidColumbia,652,8.59,13.95,0.109005,0.109005,0.109005,0.109005,0.109005,3.61,1,0.0344577491554945
79800,MC_656,MidColumbia,656,6.77,11.91,0.388778,0.388778,0.388778,0.388778,0.388778,6.11,1,0.0659627829991605
79801,MC_657,MidColumbia,657,8.4,11.42,0.182015,0.182015,0.182015,0.182015,0.182015,4.5,1,0.0418272063873661
79802,MC_659,MidColumbia,659,7.78,12.36,0.265562,0.265562,0.265562,0.265562,0.265562,8.5,1,0.0840273201727743
79803,MC_661,MidColumbia,661,9.08,14.54,0.074853,0.074853,0.074853,0.074853,0.074853,3.5,1,0.0364234200903877
79804,MC_662,MidColumbia,662,7.93,10.66,0.253766,0.253766,0.253766,0.253766,0.253766,4.5,1,0.0421031683573367
79805,MC_663,MidColumbia,663,9.27,14.96,0.062721,0.062721,0.062721,0.062721,0.062721,3.5,1,0.0322867802780993
79806,MC_664,MidColumbia,664,5.55,8.35,0.993261,0.977454,0.927284,0.789517,0.524563,71.23,1,0.758361065969317
79807,MC_665,MidColumbia,665,7.05,8.03,0.670993,0.587346,0.498333,0.409425,0.326069,17.23,1,0.189673462969032
79808,MC_667,MidColumbia,667,6.91,11.06,0.525998,0.525998,0.525998,0.525998,0.525998,14.16,1,0.152853983729684
79809,MC_671,MidColumbia,671,7.97,5.85,0.500874,0.442543,0.385755,0.331915,0.282138,9.4,1,0.100688941659556
79810,MC_672,MidColumbia,672,8.47,6.69,0.447176,0.375683,0.309227,0.249823,0.19855,13.24,1,0.147396611998562
79811,MC_674,MidColumbia,674,7.04,3.99,0.893801,0.829483,0.737646,0.619061,0.484346,29.01,1,0.321413876389389
79812,MC_676,MidColumbia,676,6.81,10.76,0.402631,0.402631,0.402631,0.402631,0.402631,4.41,1,0.0479740521600046
79813,MC_679,MidColumbia,679,8.68,5.85,0.334003,0.296893,0.262283,0.230385,0.201309,5.5,1,0.061435033120409
79814,MC_680,MidColumbia,680,6.86,9.08,0.53729,0.479928,0.423089,0.368217,0.316556,9.11,1,0.101475296872079
79815,MC_681,MidColumbia,681,9.33,6.23,0.215993,0.193228,0.172335,0.153271,0.13597,3.5,1,0.0430833930524225
79816,MC_682,MidColumbia,682,9.06,4.61,0.312833,0.280314,0.249945,0.221852,0.196091,4.5,1,0.05363512870913
79817,MC_683,MidColumbia,683,7.33,9.59,0.555296,0.469049,0.384613,0.3066,0.238283,16.38,1,0.184106201347533
79818,MC_687,MidColumbia,687,7.65,9.44,0.479303,0.402229,0.3297,0.264464,0.208128,14.33,1,0.170536979484195
79819,MC_690,MidColumbia,690,4.34,12.44,0.691612,0.691612,0.691612,0.691612,0.691612,3.13,1,0.0350441519061714
79820,MC_697,MidColumbia,697,8.48,12.01,0.153684,0.153684,0.153684,0.153684,0.153684,3.64,1,0.0410292603992776
79821,MC_700,MidColumbia,700,5.81,6.05,0.999992,0.999857,0.997438,0.955773,0.545391,175.44,1,1.97369264599207
79822,MC_701,MidColumbia,701,8.62,11.95,0.152005,0.152005,0.152005,0.152005,0.152005,4.68,1,0.0500326301942512
79823,MC_704,MidColumbia,704,9.18,12.77,0.093343,0.093343,0.093343,0.093343,0.093343,3.66,1,0.0365523428439672
79824,MC_708,MidColumbia,708,8.41,7.98,0.328452,0.283357,0.242221,0.205345,0.172803,8.04,1,0.091743075878817
79825,MC_709,MidColumbia,709,9.34,8.88,0.184958,0.156074,0.130977,0.109392,0.090991,7.54,1,0.0729116418621306
79826,MC_712,MidColumbia,712,8.27,8.32,0.345963,0.297092,0.252459,0.212505,0.177373,8.77,1,0.100949708861585
79827,MC_718,MidColumbia,718,5.72,10.96,0.712166,0.712166,0.712166,0.712166,0.712166,14.67,1,0.172011605300161
79828,MC_721,MidColumbia,721,7.68,3.57,0.610475,0.560938,0.510156,0.459164,0.409012,7.52,1,0.0849944645645455
79829,MC_724,MidColumbia,724,9.09,8.16,0.187771,0.167538,0.149085,0.132341,0.117219,3.41,1,0.0393712586537501
79830,MC_727,MidColumbia,727,7.96,11,0.244551,0.244551,0.244551,0.244551,0.244551,4.92,1,0.0564832341179217
79831,MC_728,MidColumbia,728,9.45,9.54,0.128349,0.113484,0.100143,0.088214,0.077584,3.5,1,0.0418084246942568
