OBJECTID,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION,SHAPEAREA,SHAPELEN,S_USAEcosys_BaileysEcoregionAREA
1,236636.84,2,17,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.119980941405429,3.07000869689097,894884992
2,94848.617,3,171,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.0294112247062926,1.18241253858414,221730608
3,13632.412,4,172,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.000781634887561898,0.170453422986825,5848493
4,14192.126,5,173,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.000952059991528768,0.175523238436494,7127738.5
5,19903.473,6,174,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00230824257658966,0.244041091575441,17286422
6,3107817,7,2,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section,27.2724641815601,65.7052370031264,120000000000
7,1809.923,8,175,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,2.7230525697284e-05,0.0207495322386109,204322.43
8,1657.395,9,176,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,2.6042543057722e-05,0.0198954301087003,195433.56
9,1915.265,10,177,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section,4.248972564382e-05,0.037880400649079,193386.59
10,1767.296,11,178,M121A,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Foothills Section,4.21992122396015e-05,0.0271583163633879,192222.65
11,57983.949,12,179,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00354832101555694,0.980545504335517,14869546
12,43585.398,13,180,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00205163775006542,0.646966007533778,8670955
13,12132.211,14,181,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000571130071749802,0.253831636417323,2380932
14,3905.997,15,182,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000153221997073254,0.0688932389422002,645551.81
15,50757.969,16,183,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00324764639374654,1.29793308175296,13523011
16,7114.129,17,184,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000288343226211117,0.09996442691612,1224362.2
17,3172369.5,18,1,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,11.5892042976271,64.4714780186177,48200000000
18,55645.199,19,185,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00256651487477248,0.740102433111333,10960255
19,50668.77,20,186,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00280492530921007,0.493068371750971,12107537
20,16365.339,21,187,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00083670410174144,0.384710846189252,3484947.2
21,9923.333,22,188,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000522076905932037,0.155726705825531,2265940.7
22,20557.703,23,189,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00153502564870771,0.480074559478151,6380668
23,24334.57,24,191,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.0014922584836134,0.617484954145809,6038466
24,3680.865,25,192,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000147179245524248,0.0631416968350646,595698.56
25,3965.706,26,193,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000230577385225482,0.0714762352271676,956964.31
26,3344.026,27,194,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.00012801208380986,0.0641035500175831,531659.93
27,2909.136,28,195,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000122351456696112,0.0491227671573723,495581.62
28,4075.883,29,196,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000206130850171443,0.0599072807851061,858578.31
29,10732.174,30,197,-125A,POLAR DOMAIN,Tundra Division,Bering Tundra (Northern) Province,Kotzbue Sound Lowlands Section,0.0015242008785731,0.158044968745083,7737846.5
30,6355.7,31,198,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000414255557306689,0.0796199364306787,1727216.1
31,387198.78,32,7,M125A,POLAR DOMAIN,Tundra Regime Mountains,Seward Peninsula Tundra-Meadow Province,Seward Mountains Section,0.412714029267005,6.37561550139016,2270000000
32,1381.294,33,199,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,1.683828514975e-05,0.0162308396311682,127078.5
33,19529.678,34,200,M127B,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Aleutian Islands Section,0.00262670101531296,0.242552248451967,19834544
34,2285895,35,3,M121B,POLAR DOMAIN,Tundra Regime Mountains,Brooks Range Tundra-Polar Desert Province,Mountains Section,30.5532079105819,49.0271390999688,140000000000
35,8791.274,36,201,-124A,POLAR DOMAIN,Tundra Division,Arctic Tundra Province,Coastal Plain Section,0.000490515657846132,0.224204594483701,1941455.8
